OnTime (ms), Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1093, 1970-01-01 00:00:01,0,0,0,0.52,0,1,1.3,0,0,12.48,27.62,26.55,31.8,-9.75,0.94,0,10,0
2186, 1970-01-01 00:00:02,0,0,0,0.55,0,1,1.3,0,0,12.48,27.66,26.67,31.82,-9.75,0.93,0,10,0
3279, 1970-01-01 00:00:03,0,0,0,0.56,0,1,1.3,0,0,12.52,27.62,26.76,31.8,-9.75,0.95,0,10,0
4279, 1970-01-01 00:00:04,0,0,0,0.55,0,1,1.3,0,0,12.51,27.62,26.76,31.76,-9.75,0.94,0,10,0
5280, 1970-01-01 00:00:05,0,0,0,0.53,0,1,1.3,0,0,12.5,27.73,26.78,31.78,-9.75,0.93,0,10,0
6280, 1970-01-01 00:00:06,0,0,0,0.56,0,1,1.3,0,0,12.47,27.7,26.72,31.78,-9.75,0.94,0,10,0
7280, 1970-01-01 00:00:07,0,0,0,0.56,0,1,1.3,0,0,12.5,27.65,26.7,31.75,-9.75,0.94,0,10,0
8280, 1970-01-01 00:00:08,0,0,0,0.52,0,1,1.3,0,0,12.46,27.67,26.73,31.77,-9.75,0.93,0,10,0
9280, 1970-01-01 00:00:09,0,0,0,0.53,0,1,1.3,0,0,12.47,27.65,26.76,31.73,-9.75,0.94,0,10,0
10281, 1970-01-01 00:00:10,0,0,0,0.56,0,1,1.3,0,0,12.49,27.65,26.68,31.6,-9.75,0.94,0,10,0
11281, 1970-01-01 00:00:11,0,0,0,0.53,0,1,1.3,0,0,12.49,27.55,26.66,31.67,-9.75,0.94,0,10,0
12281, 1970-01-01 00:00:12,0,0,0,0.55,0,1,1.3,0,0,12.48,27.65,26.81,31.66,-9.75,0.93,0,10,0
13281, 1970-01-01 00:00:13,0,0,0,0.56,0,1,1.3,0,0,12.51,27.63,26.7,31.65,-9.75,0.91,0,10,0
14281, 1970-01-01 00:00:14,0,0,0,0.53,0,1,1.3,0,0,12.46,27.65,26.7,31.6,-9.75,0.93,0,10,0
15302, 1970-01-01 00:00:15,0,0,0,0.53,0,1,1.3,0,0,12.48,27.59,26.8,31.65,-9.75,0.94,0,10,0
16389, 1970-01-01 00:00:16,0,0,0,0.54,0,1,1.3,0,0,12.48,27.55,26.65,31.59,-9.75,0.93,0,10,0
17482, 1970-01-01 00:00:17,0,0,0,0.56,0,1,1.3,0,0,12.5,27.55,26.68,31.55,-9.75,0.94,0,10,0
18575, 1970-01-01 00:00:18,0,0,0,0.53,0,1,1.3,0,0,12.49,27.64,26.66,31.58,-9.74,0.94,0,10,0
19668, 1970-01-01 00:00:19,0,0,0,0.54,0,1,1.3,0,0,12.49,27.68,26.7,31.59,-9.74,0.94,0,10,0
20668, 1970-01-01 00:00:20,0,0,0,0.56,0,1,1.3,0,0,12.48,27.6,26.68,31.57,-9.75,0.94,0,10,0
21669, 1970-01-01 00:00:21,0,0,0,0.53,0,1,1.3,0,0,12.49,27.67,26.7,31.49,-9.74,0.94,0,10,0
22669, 1970-01-01 00:00:22,0,0,0,0.54,0,1,1.3,0,0,12.5,27.65,26.77,31.55,-9.75,0.94,0,10,0
23669, 1970-01-01 00:00:23,0,0,0,0.53,0,1,1.3,0,0,12.49,27.59,26.72,31.49,-9.75,0.93,0,10,0
24669, 1970-01-01 00:00:24,0,0,0,0.55,0,1,1.3,0,0,12.51,27.54,26.78,31.49,-9.75,0.94,0,10,0
25669, 1970-01-01 00:00:25,0,0,0,0.56,0,1,1.3,0,0,12.51,27.62,26.7,31.36,-9.75,0.96,0,10,0
26669, 1970-01-01 00:00:26,0,0,0,0.52,0,1,1.3,0,0,12.48,27.68,26.7,31.4,-9.75,0.94,0,10,0
27669, 1970-01-01 00:00:27,0,0,0,0.52,0,1,1.3,0,0,12.48,27.63,26.72,31.41,-9.75,0.94,0,10,0
28669, 1970-01-01 00:00:28,0,0,0,0.53,0,1,1.3,0,0,12.5,27.64,26.73,31.44,-9.75,0.94,0,10,0
29669, 1970-01-01 00:00:29,0,0,0,0.54,0,1,1.3,0,0,12.48,27.59,26.81,31.33,-9.75,0.94,0,10,0
30669, 1970-01-01 00:00:30,0,0,0,0.55,0,1,1.3,0,0,12.5,27.64,26.73,31.3,-9.75,0.94,0,10,0
31691, 1970-01-01 00:00:31,0,0,0,0.57,0,1,1.3,0,0,12.49,27.64,26.77,31.28,-9.75,0.92,0,10,0
32784, 1970-01-01 00:00:32,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.81,31.29,-9.74,0.94,0,10,0
33877, 1970-01-01 00:00:33,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.83,31.31,-9.75,0.94,0,10,0
34970, 1970-01-01 00:00:34,0,0,0,0.56,0,1,1.3,0,0,12.49,27.65,26.72,31.33,-9.75,0.94,0,10,0
35970, 1970-01-01 00:00:35,0,0,0,0.54,0,1,1.3,0,0,12.5,27.62,26.79,31.33,-9.75,0.94,0,10,0
36970, 1970-01-01 00:00:36,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.8,31.33,-9.75,0.9,0,10,0
37970, 1970-01-01 00:00:37,0,0,0,0.56,0,1,1.3,0,0,12.48,27.63,26.74,31.24,-9.75,0.94,0,10,0
38970, 1970-01-01 00:00:38,0,0,0,0.54,0,1,1.3,0,0,12.49,27.56,26.87,31.24,-9.75,0.94,0,10,0
39970, 1970-01-01 00:00:39,0,0,0,0.54,0,1,1.3,0,0,12.49,27.63,26.78,31.21,-9.75,0.94,0,10,0
40971, 2018-06-29 18:36:24,0,0,0,0.56,0,1,1.3,0,0,12.48,27.65,26.81,31.26,-9.74,0.94,0,10,0
41971, 2018-06-29 18:36:25,0,0,0,0.53,0,1,1.3,0,0,12.49,27.62,26.85,31.11,-9.75,0.9,0,10,0
42971, 2018-06-29 18:36:26,0,0,0,0.54,0,1,1.3,0,0,12.46,27.63,26.83,31.17,-9.75,0.93,0,10,0
43971, 2018-06-29 18:36:27,0,0,0,0.57,0,1,1.3,0,0,12.51,27.62,26.8,31.21,-9.75,0.94,0,10,0
44971, 2018-06-29 18:36:28,0,0,0,0.57,0,1,1.3,0,0,12.51,27.59,26.84,31.15,-9.75,0.94,0,10,0
45971, 2018-06-29 18:36:29,0,0,0,0.53,0,1,1.3,0,0,12.49,27.62,26.9,31.15,-9.75,0.94,0,10,0
46987, 2018-06-29 18:36:30,0,0,0,0.55,0,1,1.3,0,0,12.51,27.54,26.81,31.17,-9.74,0.94,0,10,0
47987, 2018-06-29 18:36:31,0,0,0,0.56,0,1,1.3,0,0,12.48,27.54,26.85,31.1,-9.75,0.93,0,10,0
48987, 2018-06-29 18:36:32,0,0,0,0.53,0,1,1.3,0,0,12.5,27.54,26.8,31.16,-9.75,0.93,0,10,0
49987, 2018-06-29 18:36:33,0,0,0,0.54,0,1,1.3,0,0,12.5,27.54,26.87,31.09,-9.75,0.93,0,10,0
50987, 2018-06-29 18:36:34,0,0,0,0.57,0,1,1.3,0,0,12.5,27.62,26.81,31.09,-9.75,0.94,0,10,0
51987, 2018-06-29 18:36:35,0,0,0,0.56,0,1,1.3,0,0,12.5,27.54,26.77,31.05,-9.75,0.93,0,10,0
52987, 2018-06-29 18:36:36,0,0,0,0.53,0,1,1.3,0,0,12.47,27.55,26.95,31.02,-9.75,0.92,0,10,0
53987, 2018-06-29 18:36:37,0,0,0,0.55,0,1,1.3,0,0,12.47,27.48,26.81,31.06,-9.75,0.94,0,10,0
54987, 2018-06-29 18:36:38,0,0,0,0.54,0,1,1.3,0,0,12.48,27.55,26.87,31.06,-9.74,0.92,0,10,0
