time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
902.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6798.24,7000.00,0.00,60.00,0.00,0.00,
1018.00,1750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7881.41,7000.00,0.00,60.00,0.00,0.00,
1135.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6000.00,7052.12,0.00,60.00,0.00,0.00,
1251.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5706.19,6006.36,0.00,60.00,0.00,0.00,
1367.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5965.78,5869.55,0.00,60.00,0.00,0.00,
1483.00,2750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6657.19,6130.35,0.00,60.00,0.00,0.00,
1598.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6564.80,6285.83,0.00,60.00,0.00,0.00,
1714.00,3250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6466.83,6275.51,0.00,60.00,0.00,0.00,
1831.00,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6330.08,6696.81,0.00,60.00,0.00,0.00,
1946.00,3750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6335.62,5937.61,0.00,60.00,0.00,0.00,
163308.00,1500.00,0.85,46.48,26.60,62.48,-158.42,nan,nan,nan,nan,nan,6488.66,7000.00,1.00,60.00,1777.00,0.00,
163424.00,1750.00,0.96,46.47,26.63,62.45,-142.70,1.51,46.38,25.60,62.56,-199.92,7881.41,7000.00,1.00,60.00,2143.00,172.00,
163541.00,2000.00,0.91,46.35,26.54,62.46,-199.92,1.23,46.44,25.47,62.66,-199.92,6000.00,7509.69,1.00,60.00,612.00,1541.00,
163659.00,2250.00,1.03,46.38,26.37,62.49,-199.92,1.03,46.63,25.21,62.85,-199.93,5706.19,6006.36,1.00,60.00,495.00,2033.00,
163776.00,2500.00,1.06,46.34,26.21,62.45,-199.92,1.01,47.20,24.90,63.11,-199.93,5965.78,5869.55,1.00,60.00,449.00,1811.00,
163893.00,2750.00,1.01,46.35,26.09,62.47,-199.92,0.99,48.01,24.70,63.42,-199.92,6657.19,6130.35,1.00,60.00,405.00,1487.00,
164008.00,3000.00,0.99,46.34,25.99,62.50,-199.92,0.97,48.53,24.43,63.73,-199.92,6564.80,6285.83,1.00,60.00,264.00,1481.00,
164123.00,3250.00,0.99,46.34,25.95,62.50,-199.92,0.92,48.72,24.24,64.08,-199.92,6466.83,6275.51,1.00,60.00,352.00,1474.00,
164275.00,3500.00,0.97,46.39,25.81,62.49,-199.92,0.95,49.74,24.09,64.48,-199.92,6330.08,6696.81,1.00,60.00,328.00,1309.00,
164396.00,3750.00,0.97,46.34,25.74,62.46,-199.92,1.01,50.29,24.41,64.83,-199.92,6335.62,5937.61,1.00,60.00,183.00,1281.00,
time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, tinj_1, tinj_2, sweep, temp, datapoints1, datapoints2
