OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1081.00,1970-01-01 00:00:01.081,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.24,52.66,74.08,-125.57,-0.40,0.01,17.00,10.00,0.00,0.00
2174.00,1970-01-01 00:00:02.174,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.25,52.59,74.07,-121.48,-0.41,0.03,17.00,10.00,0.00,0.00
3174.00,1970-01-01 00:00:03.174,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.18,52.60,74.15,-118.46,-0.37,0.04,17.00,10.00,0.00,0.00
4174.00,1970-01-01 00:00:04.174,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.18,52.50,74.22,-114.83,-0.40,0.01,17.00,10.00,0.00,0.00
5174.00,1970-01-01 00:00:05.174,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.13,52.55,74.22,-111.41,-0.43,0.03,17.00,10.00,0.00,0.00
6174.00,1970-01-01 00:00:06.174,0.00,0.23,0.00,0.81,0.00,1.00,1.00,999.00,0.00,12.16,52.52,74.23,-109.07,-0.42,0.03,17.00,10.00,0.00,0.00
7174.00,1970-01-01 00:00:07.174,2.77,0.70,0.00,0.80,0.00,1.00,1.00,999.00,0.00,12.16,52.50,74.20,-106.29,-0.45,0.02,17.00,10.00,0.00,0.00
7497.00,1970-01-01 00:00:07.497,2.77,0.70,0.00,0.80,0.00,1.00,1.00,999.00,0.00,12.18,52.49,74.27,-105.60,-0.43,0.03,17.00,10.00,0.00,1.00
7679.00,1970-01-01 00:00:07.679,0.00,0.70,0.00,0.80,1.00,1.00,1.00,999.00,0.00,7.68,52.42,74.22,-105.07,-0.58,0.02,23.00,10.00,0.00,1.00
7779.00,1970-01-01 00:00:07.779,0.00,0.70,0.00,0.80,1.00,1.00,1.00,999.00,0.00,6.09,52.42,74.22,-105.07,-0.58,-0.26,23.00,10.00,0.00,1.00
7879.00,1970-01-01 00:00:07.879,0.00,0.70,0.00,0.80,1.00,1.00,1.00,999.00,0.00,6.08,52.42,74.22,-105.07,-0.57,-0.26,23.00,10.00,0.00,1.00
7979.00,1970-01-01 00:00:07.979,2.75,0.94,0.00,0.81,1.00,1.00,1.00,999.00,0.00,8.73,52.52,74.20,-104.30,-0.50,-0.06,23.00,10.00,0.00,1.00
8079.00,1970-01-01 00:00:08.079,3.98,1.05,0.00,0.81,1.00,1.00,1.00,999.00,0.00,10.15,52.52,74.20,-104.30,-0.41,-0.00,23.00,10.00,0.00,1.00
8179.00,1970-01-01 00:00:08.179,3.98,1.05,14.80,0.81,1.00,1.00,1.00,199.60,0.01,9.22,52.52,74.20,-104.30,-0.48,-0.03,23.00,7000.00,-20.00,1.00
8279.00,1970-01-01 00:00:08.279,3.98,1.05,764.30,0.81,1.00,1.00,1.00,99.80,0.01,10.75,52.45,74.24,-103.77,-0.42,0.00,23.00,7000.00,-33.00,1.00
8379.00,1970-01-01 00:00:08.379,3.98,1.05,1223.37,0.81,0.00,1.00,1.00,66.53,0.02,10.57,52.45,74.24,-103.77,-0.39,0.04,21.00,7000.00,-42.00,1.00
8479.00,1970-01-01 00:00:08.479,0.00,1.05,1798.83,0.82,0.00,1.00,1.00,51.09,0.02,11.89,52.34,74.15,-102.30,-0.39,0.03,21.00,6252.38,-58.00,1.00
8579.00,1970-01-01 00:00:08.579,1.48,1.17,2290.69,0.80,0.00,1.00,1.00,39.16,0.04,11.96,52.34,74.15,-102.30,-0.42,0.05,21.00,6002.15,-76.00,1.00
8809.00,1970-01-01 00:00:08.809,5.98,1.64,2015.69,0.80,0.00,1.00,1.00,33.64,0.06,11.97,52.48,74.15,-109.67,-0.41,0.03,21.00,6067.28,-71.00,1.00
8909.00,1970-01-01 00:00:08.909,5.98,1.64,2126.72,0.80,0.00,1.00,1.00,28.26,0.07,11.97,52.48,74.15,-109.67,-0.42,0.04,21.00,6031.98,-73.00,1.00
9009.00,1970-01-01 00:00:09.009,5.98,1.64,2000.07,0.80,0.00,1.00,1.00,26.15,0.07,12.02,52.48,74.15,-109.67,-0.42,0.04,21.00,6072.25,-71.00,1.00
9109.00,1970-01-01 00:00:09.109,5.98,1.64,2179.28,0.83,0.00,1.00,1.00,22.78,0.09,11.99,52.45,74.19,-128.91,-0.40,0.02,21.00,6015.26,-74.00,1.00
9209.00,1970-01-01 00:00:09.209,0.00,1.64,2174.43,0.82,0.00,1.00,1.00,20.18,0.10,11.92,52.45,74.19,-128.91,-0.45,0.01,21.00,6016.81,-74.00,1.00
