time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2, 
29872.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6417.73,8025.60,1.00,0.00,0.00,
29982.00,1750.00,1.24,51.49,28.07,61.25,-140.49,1.25,51.48,26.73,61.25,-199.92,6210.72,7282.00,1.00,1565.00,223.00,
30093.00,2000.00,1.02,51.34,27.58,61.25,-199.92,0.92,51.60,26.47,61.25,-199.92,5969.06,7033.59,1.00,323.00,1305.00,
30203.00,2250.00,1.07,51.31,27.44,61.25,-199.92,0.95,51.59,25.91,61.25,-199.92,5890.56,5694.05,1.00,206.00,986.00,
30313.00,2500.00,1.03,51.25,27.34,61.25,-199.92,1.06,51.65,25.53,61.24,-199.92,5961.38,5714.76,1.00,123.00,861.00,
30424.00,2750.00,1.10,51.25,27.27,61.25,-199.92,1.06,51.86,25.24,61.42,-199.92,5735.29,5677.04,1.00,131.00,785.00,
30534.00,3000.00,1.17,51.25,27.23,61.25,-199.92,1.08,52.04,25.08,61.81,-199.92,6323.38,5816.78,1.00,89.00,574.00,
30644.00,3250.00,1.13,51.25,27.14,61.25,-199.92,1.06,52.13,24.96,62.17,-199.92,5915.50,5827.79,1.00,122.00,647.00,
30755.00,3500.00,1.17,51.33,27.09,61.25,-199.92,1.02,52.19,24.82,62.48,-199.92,6009.02,5751.43,1.00,49.00,528.00,
30865.00,3750.00,1.16,51.36,27.01,61.25,-199.92,1.04,52.13,24.86,62.82,-199.92,6068.57,5802.56,1.00,83.00,668.00,
31048.00,4000.00,1.12,51.35,26.98,61.25,-199.92,1.05,52.11,24.84,63.06,-199.92,5776.91,5913.87,1.00,4.00,276.00,
203597.00,1500.00,nan,nan,nan,nan,nan,1.51,51.14,27.95,63.58,-199.92,6417.73,8025.60,2.00,0.00,7.00,
203707.00,1750.00,1.19,51.04,28.98,63.58,-135.46,1.09,51.15,29.11,63.58,-199.92,6210.72,7282.00,2.00,1489.00,118.00,
203818.00,2000.00,1.00,51.03,28.62,63.58,-199.92,0.86,51.24,28.87,63.58,-199.92,5969.06,7033.59,2.00,259.00,1202.00,
203928.00,2250.00,1.05,51.08,28.53,63.58,-199.92,0.92,51.57,28.39,63.58,-199.92,5890.56,5694.05,2.00,244.00,956.00,
204039.00,2500.00,1.06,51.19,28.39,63.58,-199.92,1.06,51.69,28.08,63.58,-199.92,5961.38,5714.76,2.00,117.00,777.00,
204149.00,2750.00,1.05,51.20,28.37,63.58,-199.92,1.06,51.68,27.86,63.58,-199.92,5735.29,5677.04,2.00,135.00,657.00,
204259.00,3000.00,1.12,51.16,28.28,63.58,-199.92,1.06,51.68,27.74,64.30,-199.92,6323.38,5816.78,2.00,127.00,660.00,
204369.00,3250.00,1.09,51.15,28.24,63.58,-199.92,1.05,51.66,27.61,64.75,-199.92,5915.50,5827.79,2.00,112.00,504.00,
204523.00,3500.00,1.15,51.15,28.22,63.58,-199.92,1.03,51.66,27.50,65.07,-199.92,6009.02,5751.43,2.00,95.00,584.00,
204632.00,3750.00,1.20,51.15,28.09,63.58,-199.92,1.05,51.67,27.52,65.41,-199.92,6068.57,5802.56,2.00,41.00,584.00,
204741.00,4000.00,1.13,51.15,28.09,63.58,-199.92,1.10,51.63,27.55,65.64,-199.92,5776.91,5913.87,2.00,47.00,272.00,
267918.00,1500.00,nan,nan,nan,nan,nan,1.51,51.88,29.05,71.08,-199.92,6417.73,8025.60,3.00,0.00,47.00,
268028.00,1750.00,1.08,51.93,29.76,71.08,-179.26,1.32,51.88,28.88,71.08,-199.92,6210.72,7282.00,3.00,1435.00,8.00,
268137.00,2000.00,1.01,51.82,29.44,71.08,-192.53,0.92,51.86,28.76,71.25,-199.92,5969.06,7033.59,3.00,339.00,1159.00,
268247.00,2250.00,0.97,51.77,29.27,71.08,-199.92,0.90,52.04,28.52,71.50,-199.92,5890.56,5694.05,3.00,173.00,1031.00,
