time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2, 
27699.00,1500.00,1.11,3.73,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,8.00,0.00,
27818.00,1750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,40.00,0.00,
27938.00,2000.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,29.00,0.00,
28059.00,2250.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,11.00,0.00,
28173.00,2500.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,60.00,0.00,
28283.00,2750.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,1.00,0.00,0.00,
28393.00,3000.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6228.76,7000.00,1.00,52.00,0.00,
28503.00,3250.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,5154.35,6000.00,1.00,22.00,0.00,
28614.00,3500.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4726.89,5500.00,1.00,98.00,0.00,
28724.00,3750.00,1.15,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,4497.88,5300.00,1.00,22.00,0.00,
36676.00,1500.00,1.13,0.39,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,67.00,0.00,
36786.00,1750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,21.00,0.00,
36896.00,2000.00,1.14,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,26.00,0.00,
37006.00,2250.00,1.14,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,25.00,0.00,
37116.00,2500.00,1.12,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,28.00,0.00,
37227.00,2750.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,7000.00,7000.00,2.00,84.00,0.00,
37337.00,3000.00,1.13,0.00,0.00,0.00,0.00,nan,nan,nan,nan,nan,6241.56,7000.00,2.00,74.00,0.00,
