OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1000.00,1970-01-01 00:00:01.000,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.11,0.00,0.00,0.00,-0.37,0.07,17.00,10.00,0.00,0.00
2000.00,1970-01-01 00:00:02.000,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.12,26.03,26.03,25.75,-0.36,0.08,17.00,10.00,0.00,0.00
3000.00,1970-01-01 00:00:03.000,0.00,0.00,0.00,0.88,0.00,1.00,1.00,0.00,0.00,12.96,25.99,25.94,25.73,-0.29,0.07,17.00,10.00,0.00,0.00
4000.00,1970-01-01 00:00:04.000,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.01,25.97,25.99,25.71,-0.34,0.08,17.00,10.00,0.00,0.00
5000.00,1970-01-01 00:00:05.000,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.97,26.05,26.05,25.74,-0.39,0.09,17.00,10.00,0.00,0.00
6000.00,1970-01-01 00:00:06.000,0.00,0.00,0.00,0.85,0.00,1.00,1.00,0.00,0.00,12.88,26.01,26.07,25.73,-0.37,0.07,17.00,10.00,0.00,0.00
7000.00,1970-01-01 00:00:07.000,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.93,26.05,26.05,25.79,-0.40,0.08,17.00,10.00,0.00,0.00
8000.00,1970-01-01 00:00:08.000,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.88,26.05,26.01,25.71,-0.40,0.07,17.00,10.00,0.00,0.00
9000.00,1970-01-01 00:00:09.000,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.87,26.13,26.07,25.81,-0.33,0.07,17.00,10.00,0.00,0.00
10000.00,1970-01-01 00:00:10.000,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.89,26.01,26.05,25.79,-0.36,0.07,17.00,10.00,0.00,0.00
11000.00,1970-01-01 00:00:11.000,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.91,26.12,26.12,25.80,-0.37,0.07,17.00,10.00,0.00,0.00
