time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2, 
338031,1500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6517.98,8025.6,1,0,0,
338140,1750,0.98,54.11,27.93,83.86,-199.92,1.51,54.1,27.5,84.18,-199.92,6296.11,7282,1,1042,23,
338250,2000,1.07,54.03,27.79,83.9,-199.92,1.09,54.15,27.54,84.2,-199.92,6072.27,7033.59,1,212,99,
338361,2250,0.97,53.95,27.66,83.95,-199.92,1.01,54.3,27.46,84.27,-199.92,5992.78,5694.05,1,196,718,
338471,2500,0.98,53.89,27.61,83.96,-199.92,1.01,54.56,27.43,84.52,-199.92,6050.38,5714.76,1,142,560,
338581,2750,0.97,53.89,27.61,83.97,-199.92,0.99,54.79,27.6,84.92,-199.92,5823.03,5677.04,1,132,513,
338692,3000,0.96,53.92,27.55,83.99,-199.92,1,55.11,27.76,85.23,-199.92,6411.19,5816.78,1,60,428,
338802,3250,0.94,53.99,27.53,84.04,-199.92,1,55.8,27.86,85.56,-199.92,6019.78,5827.79,1,86,450,
338912,3500,0.95,53.97,27.54,84.04,-199.92,1,56.92,27.95,85.89,-199.92,6110.89,5751.43,1,153,394,
339041,3750,0.97,53.99,27.54,84.11,-199.92,1,58.58,28.09,86.13,-199.92,6169.7,5802.56,1,45,438,
339152,4000,nan,nan,nan,nan,nan,0.99,59.34,28.22,86.42,-199.92,5866.47,5913.87,1,0,165,
401535,1500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6517.98,8025.6,2,0,0,
401648,1750,0.93,56.61,30.3,89.58,-199.92,1.51,57.47,30.81,89.7,-199.92,6296.11,7282,2,949,33,
401784,2000,1,56.66,30.41,89.61,-199.92,1.14,57.67,30.89,89.75,-199.92,6072.27,7033.59,2,234,202,
401897,2250,0.96,56.69,30.47,89.62,-199.92,0.98,58.06,31.03,89.83,-199.92,5992.78,5694.05,2,123,1021,
402009,2500,0.96,56.75,30.52,89.59,-199.92,1.01,58.25,31.36,90.12,-199.92,6050.38,5714.76,2,150,841,
402123,2750,0.95,56.77,30.6,89.53,-199.92,0.97,58.29,31.74,90.5,-199.92,5823.03,5677.04,2,100,659,
402237,3000,0.96,56.83,30.59,89.65,-199.92,0.98,58.47,32.16,90.8,-199.92,6411.19,5816.78,2,131,717,
402352,3250,0.92,56.93,30.63,89.64,-199.92,0.98,59.04,32.57,91.1,-199.92,6019.78,5827.79,2,177,655,
402466,3500,0.96,56.98,30.69,89.65,-199.92,0.98,59.62,32.9,91.35,-199.92,6110.89,5751.43,2,119,649,
402580,3750,0.95,57.06,30.75,89.62,-199.92,0.98,60.3,33.32,91.73,-199.92,6169.7,5802.56,2,75,644,
402695,4000,nan,nan,nan,nan,nan,0.97,60.64,33.52,92.02,-199.92,5866.47,5913.87,2,0,248,
511629,1500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6517.98,8025.6,3,0,0,
511744,1750,0.96,53.57,34.35,85.87,-192.35,1.51,54.02,33.79,85.52,-199.92,6296.11,7282,3,1354,24,
511859,2000,1,53.6,34.24,85.75,-192.66,1.17,54.18,33.64,85.58,-199.92,6072.27,7033.59,3,383,294,
511973,2250,0.99,53.56,34.17,85.63,-199.92,1.01,55.3,33.46,85.59,-199.92,5992.78,5694.05,3,193,1006,
512087,2500,0.99,53.63,34.13,85.59,-199.92,1.02,56.52,33.25,85.81,-199.92,6050.38,5714.76,3,207,827,
512202,2750,0.98,53.65,34,85.58,-199.92,1,57.33,32.92,86.1,-199.92,5823.03,5677.04,3,254,706,
