OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle, burning
734.00,1970-00-00 00:00:00.734,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.24,0.00,0.00,0.00,0.00,-0.43,0.01,17.00,10.00,0.00,0.00
1962.00,1970-01-01 00:00:01.962,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.24,45.88,66.66,-62.66,39.48,-0.42,0.01,17.00,10.00,0.00,0.00
2062.00,1970-01-01 00:00:02.062,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.21,45.88,66.66,-62.66,39.48,-0.41,-0.00,17.00,10.00,0.00,0.00
2162.00,1970-01-01 00:00:02.162,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.20,45.88,66.66,-62.66,39.48,-0.40,0.00,17.00,10.00,0.00,0.00
2262.00,1970-01-01 00:00:02.262,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.14,45.88,66.52,-62.37,39.48,-0.44,-0.01,17.00,10.00,0.00,0.00
2362.00,1970-01-01 00:00:02.362,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.22,45.88,66.52,-62.37,39.37,-0.38,-0.00,17.00,10.00,0.00,0.00
2462.00,1970-01-01 00:00:02.462,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.17,45.88,66.52,-62.37,39.37,-0.44,-0.01,17.00,10.00,0.00,0.00
2562.00,1970-01-01 00:00:02.562,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.17,45.91,66.59,-62.15,39.37,-0.40,-0.00,17.00,10.00,0.00,0.00
2662.00,1970-01-01 00:00:02.662,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.20,45.91,66.59,-62.15,39.37,-0.42,0.00,17.00,10.00,0.00,0.00
2762.00,1970-01-01 00:00:02.762,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.19,45.93,66.59,-62.04,39.39,-0.43,-0.01,17.00,10.00,0.00,0.00
