time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, lambda_2, ,oil_temp2, air_temp2, water_temp2, t_inj_1, t_inj_2, sweep,
545818.00,250.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
545944.00,500.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
546029.00,750.00,1.06,47.17,0.00,52.30,nan,nan,nan,nan,7093.54,7000.00,3.00,
546114.00,1000.00,nan,nan,nan,nan,nan,nan,nan,nan,7000.00,7000.00,3.00,
546199.00,1250.00,0.91,46.51,0.00,56.30,nan,nan,nan,nan,7093.54,7000.00,3.00,
546284.00,1500.00,1.47,47.72,0.00,46.53,nan,nan,nan,nan,7140.31,7000.00,3.00,
546370.00,1750.00,1.21,47.12,0.00,50.49,0.87,46.66,0.00,53.42,6111.65,6093.54,3.00,
546456.00,2000.00,0.82,46.49,0.00,55.36,1.31,46.29,0.00,52.08,5554.39,5625.01,3.00,
546542.00,2250.00,0.78,46.62,0.00,53.10,1.08,46.44,0.00,53.10,5277.89,5393.34,3.00,
546628.00,2500.00,0.82,46.40,0.00,53.77,0.94,46.51,0.00,53.52,5300.00,5385.29,3.00,
546714.00,2750.00,0.90,46.39,0.00,54.60,0.99,46.58,0.00,53.39,5372.16,5381.46,3.00,
546801.00,3000.00,1.06,46.73,0.00,52.31,0.99,47.05,0.00,53.76,5393.54,5386.35,3.00,
546886.00,3250.00,1.01,46.39,0.00,53.88,1.05,47.66,0.00,53.65,5393.54,5386.75,3.00,
546972.00,3500.00,0.89,46.28,0.00,55.18,1.02,48.25,0.00,53.82,5393.54,5378.35,3.00,
547095.00,3750.00,1.06,46.40,0.00,53.36,0.99,48.91,0.00,55.43,5393.54,5387.42,3.00,
547180.00,4000.00,nan,nan,nan,nan,1.16,48.40,0.00,54.07,5300.00,5390.69,3.00,
547265.00,4250.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,3.00,
547350.00,4500.00,nan,nan,nan,nan,nan,nan,nan,nan,5300.00,5300.00,3.00,
