OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle, burning
734.00,1970-00-00 00:00:00.734,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.24,0.00,0.00,0.00,0.00,-0.40,0.01,17.00,10.00,0.00,0.00
2017.00,1970-01-01 00:00:02.017,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.24,45.29,67.62,-80.84,42.33,-0.35,0.01,17.00,10.00,0.00,0.00
2117.00,1970-01-01 00:00:02.117,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.11,45.29,67.62,-80.84,42.33,-0.36,0.00,17.00,10.00,0.00,0.00
2217.00,1970-01-01 00:00:02.217,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.11,45.29,67.62,-80.84,42.33,-0.36,0.00,17.00,10.00,0.00,0.00
2317.00,1970-01-01 00:00:02.317,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.16,45.29,67.57,-80.37,42.33,-0.35,0.01,17.00,10.00,0.00,0.00
2417.00,1970-01-01 00:00:02.417,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.22,45.29,67.57,-80.37,42.19,-0.36,0.01,17.00,10.00,0.00,0.00
2517.00,1970-01-01 00:00:02.517,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.09,45.29,67.57,-80.37,42.19,-0.35,0.00,17.00,10.00,0.00,0.00
2617.00,1970-01-01 00:00:02.617,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.19,45.30,67.50,-80.31,42.19,-0.40,0.01,17.00,10.00,0.00,0.00
2717.00,1970-01-01 00:00:02.717,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.07,45.30,67.50,-80.31,42.19,-0.37,0.00,17.00,10.00,0.00,0.00
2817.00,1970-01-01 00:00:02.817,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.06,45.38,67.50,-80.16,42.14,-0.36,0.01,17.00,10.00,0.00,0.00
2917.00,1970-01-01 00:00:02.917,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.20,45.38,67.50,-80.16,42.14,-0.37,0.00,17.00,10.00,0.00,0.00
3017.00,1970-01-01 00:00:03.017,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.21,45.38,67.50,-80.16,42.14,-0.36,0.00,17.00,10.00,0.00,0.00
3117.00,1970-01-01 00:00:03.117,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.09,45.29,67.51,-80.07,42.14,-0.36,0.01,17.00,10.00,0.00,0.00
3217.00,1970-01-01 00:00:03.217,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.21,45.29,67.51,-80.07,42.06,-0.34,-0.00,17.00,10.00,0.00,0.00
3317.00,1970-01-01 00:00:03.317,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.11,45.33,67.48,-79.97,42.06,-0.40,0.00,17.00,10.00,0.00,0.00
3417.00,1970-01-01 00:00:03.417,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.11,45.33,67.48,-79.97,42.06,-0.37,0.00,17.00,10.00,0.00,0.00
3517.00,1970-01-01 00:00:03.517,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.21,45.33,67.48,-79.97,42.06,-0.37,0.01,17.00,10.00,0.00,0.00
3617.00,1970-01-01 00:00:03.617,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.23,45.35,67.37,-79.90,41.98,-0.38,0.00,17.00,10.00,0.00,0.00
3717.00,1970-01-01 00:00:03.717,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.09,45.35,67.37,-79.90,41.98,-0.34,0.00,17.00,10.00,0.00,0.00
3817.00,1970-01-01 00:00:03.817,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.23,45.35,67.37,-79.90,41.98,-0.40,0.02,17.00,10.00,0.00,0.00
3917.00,1970-01-01 00:00:03.917,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.25,45.37,67.46,-79.82,41.98,-0.37,0.01,17.00,10.00,0.00,0.00
4017.00,1970-01-01 00:00:04.017,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.06,45.37,67.46,-79.82,41.96,-0.35,0.00,17.00,10.00,0.00,0.00
4117.00,1970-01-01 00:00:04.117,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.22,45.37,67.44,-79.71,41.96,-0.37,0.00,17.00,10.00,0.00,0.00
