time_ms,  RPM, lambda_1, oil_temp1, air_temp1, water_temp1, exhaust_temp1, lambda_2, oil_temp2, air_temp2, water_temp2, exhaust_temp2, t_inj_1, t_inj_2, sweep, datapoints1, datapoints2, 
134834.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6417.73,7000.00,1.00,0.00,0.00,
134953.00,1750.00,1.37,46.21,26.32,65.77,-199.93,1.51,45.82,25.84,65.77,-199.92,5825.92,6256.40,1.00,1761.00,45.00,
135068.00,2000.00,1.34,45.99,26.12,65.77,-199.92,1.51,45.80,25.75,66.41,-199.92,5432.24,5756.40,1.00,435.00,394.00,
135178.00,2250.00,1.45,45.95,26.08,65.77,-199.92,1.37,45.86,25.76,66.88,-199.92,5363.04,5483.81,1.00,328.00,1342.00,
135289.00,2500.00,1.51,45.87,26.00,65.77,-199.92,1.24,45.99,25.86,67.31,-199.92,5403.20,5421.21,1.00,294.00,1098.00,
135399.00,2750.00,1.51,45.82,25.90,65.77,-199.92,1.22,46.11,26.03,67.71,-199.92,5266.07,5410.06,1.00,176.00,884.00,
135510.00,3000.00,1.51,45.82,25.90,65.77,-199.92,1.31,46.26,26.08,68.05,-199.92,5651.55,5455.03,1.00,247.00,880.00,
135620.00,3250.00,1.51,45.85,25.86,65.77,-199.92,1.34,46.37,26.07,68.33,-199.92,5453.67,5467.82,1.00,188.00,828.00,
135730.00,3500.00,1.51,45.80,25.79,65.77,-199.92,1.31,46.51,26.02,68.57,-199.92,5361.24,5453.32,1.00,161.00,788.00,
135879.00,3750.00,1.51,45.79,25.78,65.77,-199.92,1.31,46.58,26.01,68.93,-199.92,5483.62,5457.46,1.00,187.00,718.00,
135988.00,4000.00,nan,nan,nan,nan,nan,1.37,46.69,26.06,69.21,-199.92,5446.93,5486.42,1.00,0.00,297.00,
173129.00,1500.00,nan,nan,nan,nan,nan,1.51,47.25,26.91,73.77,-199.92,6417.73,7256.40,2.00,0.00,33.00,
173239.00,1750.00,1.17,47.36,27.65,73.13,-199.92,nan,nan,nan,nan,nan,5908.45,6256.40,2.00,1480.00,0.00,
173350.00,2000.00,1.22,47.19,27.35,73.13,-199.92,1.49,47.29,26.83,73.96,-199.92,5539.98,6002.38,2.00,349.00,303.00,
173461.00,2250.00,1.28,47.14,27.28,73.13,-199.92,1.16,47.48,26.73,74.20,-199.92,5505.03,5564.28,2.00,174.00,1061.00,
173571.00,2500.00,1.29,47.19,27.20,73.13,-199.92,1.12,47.75,26.49,74.47,-199.92,5550.61,5481.96,2.00,231.00,793.00,
173682.00,2750.00,1.23,47.18,27.11,73.13,-199.92,1.10,47.85,26.31,74.77,-199.92,5379.63,5457.82,2.00,117.00,669.00,
173792.00,3000.00,1.28,47.15,27.13,73.13,-199.92,1.16,47.96,26.16,75.04,-199.92,5792.95,5534.95,2.00,152.00,711.00,
173902.00,3250.00,1.25,47.15,27.07,73.13,-199.92,1.18,48.01,25.98,75.31,-199.92,5578.82,5559.16,2.00,185.00,585.00,
174047.00,3500.00,1.29,47.20,27.01,73.13,-199.92,1.17,48.08,25.89,75.64,-199.92,5507.27,5536.90,2.00,188.00,610.00,
174156.00,3750.00,1.28,47.23,26.94,73.13,-199.92,1.17,48.21,25.84,75.98,-199.92,5623.95,5542.76,2.00,56.00,626.00,
174266.00,4000.00,1.28,47.23,26.94,73.13,-199.92,1.19,48.34,25.89,76.17,-199.92,5586.36,5583.14,2.00,25.00,199.00,
221970.00,1500.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6417.73,7256.40,3.00,0.00,0.00,
222079.00,1750.00,1.07,47.76,27.88,80.47,-199.92,1.51,48.48,26.90,80.47,-199.92,5943.46,6512.80,3.00,1051.00,11.00,
222187.00,2000.00,1.14,47.84,27.61,80.47,-199.92,1.39,48.55,26.80,80.47,-199.92,5612.17,6195.73,3.00,210.00,395.00,
222295.00,2250.00,1.19,47.93,27.44,80.47,-199.92,1.09,48.73,26.62,80.47,-199.92,5600.39,5608.76,3.00,212.00,689.00,
222405.00,2500.00,1.18,48.04,27.39,80.47,-199.92,1.06,49.17,26.42,80.75,-199.92,5642.43,5512.81,3.00,86.00,842.00,
222516.00,2750.00,1.13,48.10,27.25,80.47,-199.92,1.06,49.47,26.20,81.19,-199.92,5442.30,5485.41,3.00,103.00,761.00,
222626.00,3000.00,1.20,48.15,27.19,80.47,-199.92,1.10,49.71,26.04,81.38,-199.92,5890.67,5582.75,3.00,65.00,592.00,
222754.00,3250.00,1.11,48.22,27.13,80.47,-199.92,1.09,49.83,25.87,81.59,-199.92,5633.83,5605.75,3.00,182.00,635.00,
222866.00,3500.00,1.17,48.34,27.09,80.47,-199.92,1.08,50.01,25.87,81.86,-199.92,5592.61,5574.99,3.00,96.00,545.00,
222977.00,3750.00,1.17,48.37,27.05,80.47,-199.92,1.09,50.20,25.96,82.14,-199.92,5709.95,5589.36,3.00,77.00,563.00,
