time_ms, RPM, lambda_1, lambda_2, t_inj_1, t_inj_2, lambda_1_sum, lambda_2_sum, sweep
61463,0,1.47,nan,13865.66,7100,475,0,1
61531,250,nan,nan,7567.7,7100,0,0,1
61598,500,nan,nan,7100,7100,0,0,1
61665,750,1.47,nan,12864.27,7100,95,0,1
61732,1000,nan,nan,8627.2,7100,0,0,1
61799,1250,1.47,nan,11416.26,7100,65,0,1
61865,1500,nan,nan,9343.9,9438.52,0,0,1
61927,1750,0.34,1.47,4362.73,11778.13,3745,59,1
61988,2000,0.28,0.41,2495.91,6141.57,935,1627,1
62050,2250,0.58,0.65,2920.6,2262.24,877,3283,1
62111,2500,1.11,0.71,1885.78,3103.87,690,3033,1
62172,2750,1.47,0.61,3300.56,2368.36,676,2732,1
62233,3000,1.34,0.55,2981.81,2495.31,704,2684,1
62339,3250,0.91,0.69,3648.73,2258.18,751,2628,1
62402,3500,0.33,0.84,2002.84,2431.81,536,2844,1
62465,3750,0.27,0.94,935.67,2266.93,32,2895,1
62528,4000,nan,0.76,5600,2239.91,0,1219,1
62590,4250,nan,nan,5600,6652.59,0,0,1
62652,4500,nan,nan,5500,6653.61,0,0,1
62715,4750,nan,nan,5500,5500,0,0,1
62778,5000,nan,nan,4500,4500,0,0,1
62841,5250,nan,nan,4500,4500,0,0,1
62904,5500,nan,nan,4500,4500,0,0,1
62966,5750,nan,nan,4501,4501,0,0,1
63029,6000,nan,nan,4500,4500,0,0,1
110589,0,1.47,nan,14333.35,7100,1047,0,2
110651,250,nan,nan,7567.7,7100,0,0,2
110713,500,nan,nan,7100,7100,0,0,2
110775,750,1.47,nan,13331.97,7100,188,0,2
110837,1000,nan,nan,8627.2,7100,0,0,2
110899,1250,1.47,nan,11883.96,7100,134,0,2
110961,1500,nan,1.47,9343.9,9906.22,0,133,2
111077,1750,0.33,1.47,3693,12245.83,7644,134,2
111140,2000,0.63,0.41,2122.01,5547.09,1982,2864,2
111203,2250,1.01,0.79,2920.6,2048.83,1704,6926,2
111266,2500,1.3,0.84,2187.91,3103.87,1480,5840,2
111329,2750,1.44,0.86,3738.98,2368.36,1275,5494,2
111392,3000,1.07,0.87,2981.81,2495.31,1411,5405,2
111456,3250,0.64,0.96,3289.95,2258.18,1469,5363,2
111519,3500,0.33,0.86,1331.88,2431.81,1235,5505,2
111583,3750,0.42,0.88,357.76,2266.93,65,5730,2
111647,4000,nan,0.79,5600,2025.2,0,2438,2
111710,4250,nan,nan,5600,6652.59,0,0,2
111774,4500,nan,nan,5500,6653.61,0,0,2
111837,4750,nan,nan,5500,5500,0,0,2
111900,5000,nan,nan,4500,4500,0,0,2
111964,5250,nan,nan,4500,4500,0,0,2
112027,5500,nan,nan,4500,4500,0,0,2
112090,5750,nan,nan,4501,4501,0,0,2
112153,6000,nan,nan,4500,4500,0,0,2
163934,0,1.47,nan,14801.03,7100,1338,0,3
163998,250,nan,nan,7567.7,7100,0,0,3
164062,500,nan,nan,7100,7100,0,0,3
164125,750,1.47,nan,13799.67,7100,282,0,3
164189,1000,nan,nan,8627.2,7100,0,0,3
164253,1250,1.47,nan,12351.66,7100,210,0,3
164317,1500,1.47,1.47,9811.6,10373.92,140,273,3
164381,1750,0.43,1.47,3123.82,12713.52,11497,196,3
164445,2000,0.91,0.42,2122.01,4965.93,3089,4052,3
164508,2250,1.15,0.87,2920.6,2048.83,2475,10357,3
164572,2500,1.35,0.88,2537.31,3103.87,2175,8671,3
164636,2750,1.28,0.95,4014.63,2368.36,1915,8434,3
164700,3000,0.88,0.94,2981.81,2495.31,2110,8122,3
164764,3250,0.68,1.01,2969.53,2258.18,2573,8092,3
164828,3500,0.88,0.83,1331.88,2431.81,3140,8102,3
164891,3750,1.39,0.84,748.4,2266.93,882,8566,3
164955,4000,1.47,0.85,6067.7,2025.2,61,3778,3
165019,4250,nan,nan,5600,6652.59,0,0,3
165100,4500,nan,nan,5500,6653.61,0,0,3
165162,4750,nan,nan,5500,5500,0,0,3
165224,5000,nan,nan,4500,4500,0,0,3
165285,5250,nan,nan,4500,4500,0,0,3
165347,5500,nan,nan,4500,4500,0,0,3
165409,5750,nan,nan,4501,4501,0,0,3
165471,6000,nan,nan,4500,4500,0,0,3
