OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1081.00,1970-01-01 00:00:01.081,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.11,26.34,26.43,27.08,-0.36,0.10,17.00,10.00,0.00,0.00
2174.00,1970-01-01 00:00:02.174,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,13.08,26.38,26.52,27.14,-0.36,0.11,17.00,10.00,0.00,0.00
3267.00,1970-01-01 00:00:03.267,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.90,26.45,26.59,27.14,-0.43,0.08,17.00,10.00,0.00,0.00
4267.00,1970-01-01 00:00:04.267,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.95,26.50,26.50,27.20,-0.39,0.08,17.00,10.00,0.00,0.00
5267.00,1970-01-01 00:00:05.267,0.00,0.00,0.00,0.85,0.00,1.00,1.00,0.00,0.00,12.99,26.45,26.55,27.14,-0.38,0.11,17.00,10.00,0.00,0.00
6267.00,1970-01-01 00:00:06.267,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.89,26.48,26.59,27.17,-0.31,0.09,17.00,10.00,0.00,0.00
7267.00,1970-01-01 00:00:07.267,0.00,0.00,0.00,0.86,0.00,1.00,1.00,0.00,0.00,12.88,26.45,26.59,27.20,-0.33,0.10,17.00,10.00,0.00,0.00
8267.00,1970-01-01 00:00:08.267,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.94,26.54,26.52,27.23,-0.37,0.08,17.00,10.00,0.00,0.00
9267.00,1970-01-01 00:00:09.267,0.00,0.00,0.00,0.85,0.00,1.00,1.00,0.00,0.00,12.86,26.54,26.57,27.23,-0.38,0.10,17.00,10.00,0.00,0.00
10267.00,1970-01-01 00:00:10.267,0.00,0.00,0.00,0.85,0.00,1.00,1.00,0.00,0.00,12.85,26.54,26.55,27.26,-0.47,0.09,17.00,10.00,0.00,0.00
11267.00,1970-01-01 00:00:11.267,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.90,26.55,26.63,27.17,-0.46,0.10,17.00,10.00,0.00,0.00
12267.00,1970-01-01 00:00:12.267,0.00,0.00,0.00,0.81,0.00,1.00,1.00,0.00,0.00,12.87,26.45,26.50,27.23,-0.36,0.10,17.00,10.00,0.00,0.00
13267.00,1970-01-01 00:00:13.267,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.82,26.52,26.52,27.20,-0.44,0.10,17.00,10.00,0.00,0.00
14267.00,1970-01-01 00:00:14.267,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.81,26.54,26.65,27.26,-0.40,0.10,17.00,10.00,0.00,0.00
15274.00,1970-01-01 00:00:15.274,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.84,26.57,26.54,27.21,-0.35,0.10,17.00,10.00,0.00,0.00
16367.00,1970-01-01 00:00:16.367,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.81,26.54,26.57,27.26,-0.38,0.10,17.00,10.00,0.00,0.00
17462.00,1970-01-01 00:00:17.462,0.00,0.00,0.00,0.82,0.00,1.00,1.00,0.00,0.00,12.79,26.55,26.63,27.26,-0.45,0.10,17.00,10.00,0.00,0.00
18555.00,1970-01-01 00:00:18.555,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.81,26.54,26.61,27.23,-0.44,0.10,17.00,10.00,0.00,0.00
19648.00,1970-01-01 00:00:19.648,0.00,0.00,0.00,0.83,0.00,1.00,1.00,0.00,0.00,12.76,26.63,26.63,27.28,-0.41,0.10,17.00,10.00,0.00,0.00
20741.00,1970-01-01 00:00:20.741,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.90,26.50,26.56,27.27,-0.37,0.10,17.00,10.00,0.00,0.00
21828.00,1970-01-01 00:00:21.828,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.87,26.54,26.57,27.28,-0.48,0.10,17.00,10.00,0.00,0.00
22915.00,1970-01-01 00:00:22.915,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.88,26.59,26.59,27.26,-0.56,0.10,17.00,10.00,0.00,0.00
24002.00,1970-01-01 00:00:24.002,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.87,26.56,26.61,27.28,-0.45,0.11,17.00,10.00,0.00,0.00
25095.00,1970-01-01 00:00:25.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.84,26.57,26.63,27.30,-0.36,0.10,17.00,10.00,0.00,0.00
26095.00,1970-01-01 00:00:26.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.71,26.59,26.63,27.28,-0.37,0.10,17.00,10.00,0.00,0.00
27095.00,1970-01-01 00:00:27.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.84,26.61,26.65,27.26,-0.37,0.10,17.00,10.00,0.00,0.00
28095.00,1970-01-01 00:00:28.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.77,26.54,26.67,27.25,-0.68,0.09,17.00,10.00,0.00,0.00
29095.00,1970-01-01 00:00:29.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.75,26.55,26.59,27.25,-0.69,0.10,17.00,10.00,0.00,0.00
30095.00,1970-01-01 00:00:30.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.78,26.52,26.59,27.38,-0.67,0.09,17.00,10.00,0.00,0.00
31095.00,1970-01-01 00:00:31.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.79,26.54,26.65,27.38,-0.69,0.10,17.00,10.00,0.00,0.00
32095.00,1970-01-01 00:00:32.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.62,26.59,26.61,27.32,-0.68,0.09,17.00,10.00,0.00,0.00
33095.00,1970-01-01 00:00:33.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.75,26.52,26.66,27.31,-0.62,0.09,17.00,10.00,0.00,0.00
34095.00,1970-01-01 00:00:34.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.74,26.52,26.72,27.38,-0.67,0.09,17.00,10.00,0.00,0.00
35095.00,1970-01-01 00:00:35.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.62,26.66,26.65,27.39,-0.69,0.10,17.00,10.00,0.00,0.00
36095.00,1970-01-01 00:00:36.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.76,26.52,26.63,27.38,-0.65,0.10,17.00,10.00,0.00,0.00
37114.00,1970-01-01 00:00:37.114,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.73,26.57,26.70,27.37,-0.64,0.10,17.00,10.00,0.00,0.00
38209.00,1970-01-01 00:00:38.209,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.56,26.59,26.66,27.38,-0.70,0.07,17.00,10.00,0.00,0.00
39295.00,1970-01-01 00:00:39.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.71,26.63,26.67,27.34,-0.72,0.07,17.00,10.00,0.00,0.00
40295.00,1970-01-01 00:00:40.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.73,26.61,26.72,27.42,-0.64,0.09,17.00,10.00,0.00,0.00
41295.00,1970-01-01 00:00:41.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.74,26.63,26.73,27.42,-0.62,0.10,17.00,10.00,0.00,0.00
42295.00,1970-01-01 00:00:42.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.74,26.59,26.68,27.34,-0.72,0.07,17.00,10.00,0.00,0.00
43295.00,1970-01-01 00:00:43.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.73,26.67,26.68,27.39,-0.70,0.09,17.00,10.00,0.00,0.00
44295.00,1970-01-01 00:00:44.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.61,26.63,26.73,27.39,-0.62,0.09,17.00,10.00,0.00,0.00
45295.00,1970-01-01 00:00:45.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.73,26.52,26.73,27.48,-0.64,0.08,17.00,10.00,0.00,0.00
46295.00,1970-01-01 00:00:46.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.72,26.63,26.63,27.45,-0.70,0.09,17.00,10.00,0.00,0.00
47295.00,1970-01-01 00:00:47.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.52,26.61,26.72,27.41,-0.68,0.10,17.00,10.00,0.00,0.00
48295.00,1970-01-01 00:00:48.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.69,26.59,26.72,27.52,-0.70,0.09,17.00,10.00,0.00,0.00
49295.00,1970-01-01 00:00:49.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.73,26.61,26.67,27.42,-0.36,0.10,17.00,10.00,0.00,0.00
50295.00,1970-01-01 00:00:50.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.78,26.63,26.78,27.34,-0.36,0.10,17.00,10.00,0.00,0.00
51307.00,1970-01-01 00:00:51.307,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.78,26.63,26.83,27.45,-0.35,0.10,17.00,10.00,0.00,0.00
52400.00,1970-01-01 00:00:52.400,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.62,26.65,26.76,27.38,-0.37,0.10,17.00,10.00,0.00,0.00
53493.00,1970-01-01 00:00:53.493,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.80,26.59,26.73,27.47,-0.39,0.09,17.00,10.00,0.00,0.00
54586.00,1970-01-01 00:00:54.586,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.75,26.67,26.79,27.39,-0.35,0.10,17.00,10.00,0.00,0.00
55681.00,1970-01-01 00:00:55.681,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.62,26.63,26.76,27.53,-0.48,0.10,17.00,10.00,0.00,0.00
56774.00,1970-01-01 00:00:56.774,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.73,26.66,26.70,27.39,-0.56,0.08,17.00,10.00,0.00,0.00
57860.00,1970-01-01 00:00:57.860,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.74,26.59,26.84,27.47,-0.47,0.08,17.00,10.00,0.00,0.00
58954.00,1970-01-01 00:00:58.954,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.63,26.63,26.84,27.47,-0.37,0.10,17.00,10.00,0.00,0.00
60047.00,1970-01-01 00:01:00.047,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.78,26.63,26.80,27.45,-0.45,0.10,17.00,10.00,0.00,0.00
61140.00,1970-01-01 00:01:01.140,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.70,26.57,26.80,27.56,-0.56,0.09,17.00,10.00,0.00,0.00
62233.00,1970-01-01 00:01:02.233,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.71,26.57,26.80,27.55,-0.55,0.09,17.00,10.00,0.00,0.00
63326.00,1970-01-01 00:01:03.326,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.58,26.65,26.78,27.55,-0.42,0.07,1.00,10.00,0.00,0.00
64326.00,1970-01-01 00:01:04.326,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.75,26.57,26.83,27.50,-0.38,0.09,1.00,10.00,0.00,0.00
65326.00,1970-01-01 00:01:05.326,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.56,26.54,26.84,27.49,-0.56,0.09,1.00,10.00,0.00,0.00
