OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle, burning
761.00,1970-00-00 00:00:00.761,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.00,12.23,0.00,0.00,0.00,0.00,-0.33,-0.00,17.00,10.00,0.00,0.00
1995.00,1970-01-01 00:00:01.995,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.23,42.51,63.74,-85.38,30.45,-0.31,-0.00,17.00,10.00,0.00,0.00
2095.00,1970-01-01 00:00:02.095,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.09,42.51,63.74,-85.38,30.45,-0.30,0.01,17.00,10.00,0.00,0.00
2195.00,1970-01-01 00:00:02.195,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.22,42.51,63.74,-85.38,30.45,-0.33,0.03,17.00,10.00,0.00,0.00
2295.00,1970-01-01 00:00:02.295,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.20,42.48,63.73,-84.77,30.45,-0.32,0.02,17.00,10.00,0.00,0.00
2395.00,1970-01-01 00:00:02.395,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.06,42.48,63.73,-84.77,30.46,-0.30,0.02,17.00,10.00,0.00,0.00
2495.00,1970-01-01 00:00:02.495,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.26,42.48,63.73,-84.77,30.46,-0.31,0.03,17.00,10.00,0.00,0.00
2595.00,1970-01-01 00:00:02.595,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.22,42.51,63.61,-84.67,30.46,-0.29,0.06,17.00,10.00,0.00,0.00
2695.00,1970-01-01 00:00:02.695,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.23,42.51,63.61,-84.67,30.46,-0.18,0.28,17.00,10.00,0.00,0.00
2795.00,1970-01-01 00:00:02.795,0.00,0.00,0.00,1.51,0.00,1.00,1.00,0.00,0.00,12.08,42.50,63.60,-84.59,30.48,-0.02,0.41,17.00,10.00,0.00,0.00
