Time,Speed [km/h],Distance [m],RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption [km/l],Fuel consumed [g],Battery voltage [V],Oil temperature [°C],Water temperature [°C],Exhaust temperature [°C],Brake front [bar],Brake rear [bar],TestState
2018-06-27 23:02:19.407,0.0,0.0,0.0,1.4677,false,A1,2.058,0.0,0.0,12.43053,38.3125,31.72656,70.125,-9.745866,-0.260706,TEST_STOPPED
2018-06-27 23:02:19.553,-497.59,0.0,0.0,1.4677,true,A1,2.058,0.0,0.0,9.904097,38.21094,31.70313,70.03906,-9.747244,-0.32151,TEST_BURNING
2018-06-27 23:02:19.657,-497.59,0.0,0.0,1.4677,true,A1,2.058,0.0,0.0,11.10575,38.21094,31.70313,70.03906,-9.747244,-0.33671,TEST_BURNING
2018-06-27 23:02:19.757,-497.59,0.0,3.145477,1.4677,true,A1,2.058,0.0,0.012047,11.2401,38.23438,31.72656,70.00781,-9.747244,-0.398174,TEST_BURNING
2018-06-27 23:02:19.856,-497.59,0.0,874.2023,1.4677,true,A1,2.058,0.0,0.024093,11.02335,38.23438,31.72656,70.00781,-9.747244,-0.359842,TEST_BURNING
2018-06-27 23:02:19.957,0.0,0.0,1293.773,1.4677,false,A1,2.058,0.0,0.03614,12.21424,38.23438,31.72656,70.00781,-9.747244,-0.281195,TEST_BURNING
2018-06-27 23:02:20.063,0.0,0.0,1716.517,1.4677,false,A1,2.058,0.0,0.053937,12.252,38.23438,31.72656,69.88281,-9.747244,-0.274585,TEST_BURNING
2018-06-27 23:02:20.160,0.0,0.0,1757.598,1.4677,false,A1,2.058,0.0,0.061805,12.2845,38.23438,31.72656,69.88281,-9.747244,-0.328118,TEST_BURNING
2018-06-27 23:02:20.321,0.0,0.0,1791.419,1.4677,false,A1,2.058,0.0,0.085376,12.28679,38.23438,31.78125,76.48438,-9.747244,-0.324814,TEST_BURNING
2018-06-27 23:02:20.396,0.0,0.0,1792.918,1.4677,false,A1,2.058,0.0,0.093221,12.29252,38.23438,31.78125,76.48438,-9.747244,-0.350589,TEST_BURNING
2018-06-27 23:02:20.497,0.0,0.0,1785.05,1.4677,false,A1,2.058,0.0,0.101072,12.3051,38.23438,31.78125,76.48438,-9.747244,-0.338031,TEST_BURNING
2018-06-27 23:02:20.606,1.22,0.117035,1791.767,1.4677,false,A1,2.058,1.2202,0.11677,12.29778,38.23438,31.79688,88.76563,-9.74311,-0.351912,TEST_BURNING
2018-06-27 23:02:20.706,1.22,0.117035,1801.504,1.4677,false,A1,2.058,1.143429,0.12461,12.32776,38.23438,31.79688,88.76563,-9.744488,-0.371077,TEST_BURNING
2018-06-27 23:02:20.815,1.22,0.117035,1814.031,1.4677,false,A1,2.058,1.015713,0.140278,12.32044,38.23438,31.79688,88.76563,-9.747244,-0.384956,TEST_BURNING
2018-06-27 23:02:20.889,1.51,0.23407,1812.552,1.4677,false,A1,2.058,1.923993,0.148111,12.32227,38.29688,31.75,98.15625,-9.747244,-0.322831,TEST_BURNING
2018-06-27 23:02:20.991,1.51,0.23407,1811.375,1.4677,false,A1,2.058,1.739961,0.163777,12.29732,38.29688,31.75,98.15625,-9.747244,-0.367111,TEST_BURNING
