OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
1088,1970-01-01 00:00:01,0,0,0,0.37,0,1,1,0,0,12.6,55.7,77.66,152.33,0,-0.42,17,10,0
2194,1970-01-01 00:00:02,1.09,0.23,0,0.37,0,1,1,999,0,12.61,55.72,77.56,152.02,0,-0.27,17,10,0
2294,1970-01-01 00:00:02,1.09,0.23,0,0.35,1,1,1,999,0,10.22,55.72,77.56,152.02,0,-0.31,23,10,0
2394,1970-01-01 00:00:02,1.09,0.23,51.91,0.35,1,1,1,43.81,0.01,10.5,55.72,77.56,152.02,0,-0.32,23,7100,-20
2494,1970-01-01 00:00:02,1.09,0.23,778.19,0.36,1,1,1,21.94,0.01,11.56,55.7,77.66,151.95,0,-0.31,23,7077.45,-34
2594,1970-01-01 00:00:02,-0,0.23,1338.99,0.36,0,1,1,14.82,0.02,12.26,55.7,77.66,151.95,0,-0.25,21,6762.88,-45
2694,1970-01-01 00:00:02,-0,0.23,1957.14,0.36,0,1,1,9.62,0.03,12.35,55.7,77.66,151.95,0,-0.29,21,5458.57,-68
2794,1970-01-01 00:00:02,1.45,0.35,1904.64,0.35,0,1,1,12.27,0.03,12.39,55.65,77.66,151.64,0,-0.3,21,5469.07,-65
2894,1970-01-01 00:00:02,2.14,0.47,1782.9,0.35,0,1,1,12.59,0.04,12.4,55.65,77.66,151.64,0,-0.33,21,5493.42,-58
2994,1970-01-01 00:00:02,3.05,0.59,1820.5,0.35,0,1,1,14.11,0.05,12.38,55.72,77.62,158.58,0,-0.28,21,5485.9,-59
3094,1970-01-01 00:00:03,3.43,0.7,1829.91,0.33,0,1,1,14.04,0.06,12.33,55.72,77.62,158.58,0,-0.28,21,5484.02,-60
3312,1970-01-01 00:00:03,5.14,1.05,1810.8,0.34,0,1,1,16.75,0.07,12.42,55.67,77.62,167.35,0,-0.32,21,5487.84,-59
3412,1970-01-01 00:00:03,5.9,1.29,1799.53,0.34,0,1,1,18.02,0.08,12.43,55.67,77.62,167.35,0,-0.31,21,5490.09,-58
3512,1970-01-01 00:00:03,5.96,1.4,1796.41,0.34,0,1,1,18.54,0.09,12.41,55.67,77.62,167.35,0,-0.31,21,5490.72,-58
3612,1970-01-01 00:00:03,6.62,1.64,1780.31,0.34,0,1,1,19.43,0.1,12.44,55.68,77.63,178.33,0,-0.28,21,5493.94,-58
3712,1970-01-01 00:00:03,7.26,1.87,1788.96,0.34,0,1,1,21.14,0.11,12.43,55.68,77.63,178.33,0,-0.26,21,5492.21,-58
3812,1970-01-01 00:00:03,7.75,2.11,1806.77,0.34,0,1,1,21.68,0.12,12.42,55.68,77.63,178.33,0,-0.3,21,5488.65,-59
3912,1970-01-01 00:00:03,8.28,2.34,1781.34,0.32,0,1,1,23.07,0.12,12.41,55.63,77.52,185.97,0,-0.25,21,5493.73,-58
4012,1970-01-01 00:00:04,6.18,2.46,1759.87,0.34,0,1,1,22.33,0.13,12.42,55.63,77.52,185.97,0,-0.31,21,5498.03,-56
4112,1970-01-01 00:00:04,5.88,2.57,1763.77,0.33,0,1,1,22.52,0.14,12.41,55.73,77.61,192.93,0,-0.25,21,5497.25,-56
4212,1970-01-01 00:00:04,5.61,2.75,1765.46,0.33,0,1,1,23.19,0.14,12.42,55.73,77.61,192.93,0,-0.27,21,5496.91,-56
4430,1970-01-01 00:00:04,5.89,3.1,1763.64,0.32,0,1,1,22.84,0.16,12.33,55.73,77.47,199.24,0,-0.26,21,5497.27,-56
4530,1970-01-01 00:00:04,6.26,3.28,1759.76,0.33,0,1,1,23.4,0.17,12.44,55.73,77.47,199.24,0,-0.27,21,5498.05,-56
4630,1970-01-01 00:00:04,6.59,3.51,1796.03,0.34,0,1,1,23.62,0.18,12.46,55.73,77.47,199.24,0,-0.27,21,5490.79,-58
4730,1970-01-01 00:00:04,6.61,3.69,1804.78,0.34,0,1,1,24.11,0.18,12.45,55.73,77.55,206.51,0,-0.29,21,5489.04,-59
4830,1970-01-01 00:00:04,6.96,3.86,1820.64,0.34,0,1,1,23.91,0.19,12.46,55.73,77.55,206.51,0,-0.28,21,5485.87,-59
4930,1970-01-01 00:00:04,7.21,4.1,1828.04,0.34,0,1,1,24.71,0.2,12.46,55.73,77.55,206.51,0,-0.25,21,5484.39,-60
5030,1970-01-01 00:00:05,7.47,4.33,1857.41,0.34,0,1,1,24.84,0.21,12.44,55.74,77.5,211.62,0,-0.23,21,5478.52,-62
5130,1970-01-01 00:00:05,7.75,4.56,1870.3,0.33,0,1,1,25.55,0.21,12.44,55.74,77.5,211.62,0,-0.26,21,5475.94,-62
5230,1970-01-01 00:00:05,8.02,4.8,1955.35,0.34,0,1,1,25.64,0.22,12.36,55.67,77.5,216.71,0,-0.32,21,5458.93,-68
5330,1970-01-01 00:00:05,8.31,5.03,1979.22,0.35,0,1,1,25.72,0.23,12.49,55.67,77.5,216.71,0,-0.28,21,5454.16,-69
5549,1970-01-01 00:00:05,8.6,5.56,2056.59,0.34,0,1,1,26.67,0.25,12.41,55.75,77.45,221.82,0,-0.33,21,5438.68,-72
5649,1970-01-01 00:00:05,8.78,5.79,2048.62,0.33,0,1,1,26.7,0.26,12.42,55.75,77.45,221.82,0,-0.31,21,5440.28,-71
5749,1970-01-01 00:00:05,9.2,6.09,2139.38,0.33,0,1,1,26.99,0.27,12.43,55.75,77.45,221.82,0,-0.27,21,5422.12,-73
5849,1970-01-01 00:00:05,9.4,6.32,2160.33,0.33,0,1,1,27.02,0.28,12.44,55.68,77.52,228.29,0,-0.31,21,5417.93,-73
5949,1970-01-01 00:00:05,9.51,6.61,2192.06,0.33,0,1,1,27.77,0.28,12.42,55.68,77.52,228.29,0,-0.23,21,5411.59,-74
6049,1970-01-01 00:00:06,9.95,6.91,2239.43,0.33,0,1,1,28,0.29,12.44,55.68,77.52,228.29,0,-0.28,21,5402.11,-75
6149,1970-01-01 00:00:06,10.06,7.2,2299.64,0.33,0,1,1,28.22,0.3,12.44,55.7,77.34,233.3,0,-0.27,21,5380.14,-76
6249,1970-01-01 00:00:06,10.45,7.49,2334.22,0.35,0,1,1,28.43,0.31,12.47,55.7,77.34,233.3,0,-0.24,21,5366.31,-77
6349,1970-01-01 00:00:06,10.45,7.78,2330.73,0.34,0,1,1,28.63,0.32,12.44,55.74,77.45,238.57,0,-0.24,21,5367.71,-76
6449,1970-01-01 00:00:06,10.79,8.13,2435.51,0.31,0,1,1,29.02,0.33,12.42,55.74,77.45,238.57,0,-0.3,21,5325.8,-78
6667,1970-01-01 00:00:06,11.41,8.84,2537.37,0.33,0,1,1,29.34,0.36,12.44,55.81,77.4,244.09,0,-0.28,21,5337.37,-80
6767,1970-01-01 00:00:06,11.69,9.19,2579.92,0.33,0,1,1,29.68,0.37,12.46,55.81,77.4,244.09,0,-0.29,21,5379.92,-81
6867,1970-01-01 00:00:06,12.03,9.48,2657.4,0.32,0,1,1,29.81,0.38,12.4,55.81,77.4,244.09,0,-0.3,21,5457.4,-82
6967,1970-01-01 00:00:06,12.36,9.83,2664.48,0.33,0,1,1,30.1,0.39,12.45,55.72,77.49,251.13,0,-0.22,21,5464.48,-82
7067,1970-01-01 00:00:07,12.86,10.24,2810.77,0.33,0,1,1,30.16,0.4,12.44,55.72,77.49,251.13,0,-0.31,21,5525.69,-85
7167,1970-01-01 00:00:07,13.46,10.65,3072.04,0.32,0,1,1,30.6,0.41,12.43,55.72,77.49,251.13,0,-0.35,21,5478.82,-90
7267,1970-01-01 00:00:07,13.67,11,2973.83,0.35,0,1,1,30.49,0.43,12.5,55.72,77.38,257.23,0,-0.2,21,5460.47,-88
7367,1970-01-01 00:00:07,13.68,11.41,2822.4,0.32,0,1,1,30.88,0.44,12.38,55.72,77.38,257.23,0,-0.22,21,5521.04,-85
7467,1970-01-01 00:00:07,14.06,11.82,3034.36,0.29,0,1,1,31.27,0.45,12.41,55.77,77.34,263.74,0,-0.3,21,5463.75,-89
7567,1970-01-01 00:00:07,14.26,12.23,3102.14,0.3,0,1,1,31.29,0.46,12.35,55.77,77.34,263.74,0,-0.21,21,5490.85,-90
7667,1970-01-01 00:00:07,14.74,12.64,3150.02,0.3,0,1,1,31.31,0.48,12.4,55.77,77.34,263.74,0,-0.28,21,5510.01,-91
7785,1970-01-01 00:00:07,14.95,13.17,3275.82,0.3,0,1,1,31.59,0.5,12.4,55.79,77.38,270.66,0,-0.28,21,5570.66,-93
7885,1970-01-01 00:00:07,15.47,13.58,3315.38,0.29,0,1,1,31.59,0.51,12.39,55.79,77.38,270.66,0,-0.23,21,5602.3,-94
7985,1970-01-01 00:00:07,15.94,14.04,3474.84,0.29,0,1,1,32.02,0.52,12.41,55.79,77.38,270.66,0,-0.16,21,5729.87,-97
8085,1970-01-01 00:00:08,16.27,14.51,3417.15,0.29,0,1,1,32.11,0.54,12.4,55.7,77.45,279.73,0,-0.24,21,5683.72,-96
8185,1970-01-01 00:00:08,16.61,14.98,3573.77,0.29,0,1,1,32.2,0.55,12.36,55.7,77.45,279.73,0,-0.21,21,5661.48,-99
8285,1970-01-01 00:00:08,16.96,15.51,3628.78,0.27,0,1,1,32.42,0.57,12.35,55.7,77.45,279.73,0,-0.25,21,5595.47,-100
8385,1970-01-01 00:00:08,17.31,15.98,3722.55,0.28,0,1,1,32.52,0.58,12.36,55.8,77.4,286.91,0,-0.25,21,5482.94,-102
8485,1970-01-01 00:00:08,17.76,16.5,3776.55,0.29,0,1,1,32.47,0.6,12.4,55.8,77.4,286.91,0,-0.28,21,5465.93,-102
8585,1970-01-01 00:00:08,17.95,17.03,3609.78,0.29,0,1,1,32.67,0.62,12.36,55.72,77.31,294.33,0,-0.29,21,5618.26,-99
