OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
1093,1970-01-01 00:00:01.093,0,0,0,0.38,0,1,1,0,0,12.57,39.14,39.38,36.49,-4.19,0.42,17,10,0
2180,1970-01-01 00:00:02.180,0,0,0,0.39,0,1,1,0,0,12.57,39.14,39.4,36.57,-4.2,0.41,17,10,0
3273,1970-01-01 00:00:03.273,0,0,0,0.39,0,1,1,0,0,12.57,39.15,39.48,36.65,-4.2,0.42,17,10,0
4273,1970-01-01 00:00:04.273,0,0,0,0.39,0,1,1,0,0,12.56,39.15,39.45,36.61,-4.19,0.41,17,10,0
5273,1970-01-01 00:00:05.273,0,0,0,0.39,0,1,1,0,0,12.54,39.2,39.44,36.56,-4.2,0.41,17,10,0
6273,1970-01-01 00:00:06.273,0,0,0,0.39,0,1,1,0,0,12.52,39.17,39.48,36.59,-4.21,0.41,17,10,0
7273,1970-01-01 00:00:07.273,0,0,0,0.39,0,1,1,0,0,12.53,39.23,39.4,36.57,-4.2,0.4,17,10,0
8273,1970-01-01 00:00:08.273,0,0,0,0.39,0,1,1,0,0,12.53,39.23,39.42,36.57,-4.19,0.41,17,10,0
9273,1970-01-01 00:00:09.273,0,0,0,0.39,0,1,1,0,0,12.52,39.13,39.46,36.59,-4.2,0.4,17,10,0
