OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
1087,1970-01-01 00:00:01.087,0,0,0,0.38,0,1,1.22,0,0,13.01,41.07,41.32,40.05,0,-0.16,17,10,0
2174,1970-01-01 00:00:02.174,0,0,0,0.38,0,1,1.22,0,0,12.99,41.08,41.28,40.16,0,-0.16,17,10,0
3174,1970-01-01 00:00:03.174,7.05,1.11,0,0.39,0,1,1.22,999,0,13.02,41.16,41.23,40.21,0,-0.16,17,10,0
4174,1970-01-01 00:00:04.174,7.24,3.1,0,0.39,0,1,1.22,999,0,12.99,41.14,41.3,40.14,0,-0.21,17,10,0
5174,1970-01-01 00:00:05.174,6.21,4.86,0,0.39,0,1,1.22,999,0,12.97,41.13,41.26,40.25,0,-0.17,17,10,0
6174,1970-01-01 00:00:06.174,-0,5.09,0,0.38,0,1,1.22,999,0,13,41.16,41.23,40.2,0,-0.16,17,10,0
7174,1970-01-01 00:00:07.174,0,5.09,0,0.39,0,1,1.22,999,0,13.01,41.13,41.3,40.14,0,-0.2,17,10,0
8174,1970-01-01 00:00:08.174,0.59,5.15,0,0.39,0,1,1.22,999,0,12.95,41.14,41.27,40.12,0,-0.16,17,10,0
9174,1970-01-01 00:00:09.174,0.85,5.21,0,0.39,0,1,1.22,999,0,13.01,41.12,41.27,40.14,0,-0.16,17,10,0
10174,1970-01-01 00:00:10.174,-0,5.27,0,0.39,0,1,1.22,999,0,12.96,41.08,41.21,40.2,0,-0.17,17,10,0
11174,1970-01-01 00:00:11.174,-0,5.27,0,0.39,0,1,1.22,999,0,12.99,41.23,41.3,40.19,0,-0.16,17,10,0
12174,1970-01-01 00:00:12.174,0,5.27,0,0.39,0,1,1.22,999,0,13.01,41.1,41.27,40.14,0,-0.16,17,10,0
13281,1970-01-01 00:00:13.281,-0,5.27,0,0.39,0,1,1.22,999,0,13,41.19,41.26,40.17,0,-0.23,17,10,0
14393,1970-01-01 00:00:14.393,0,5.33,0,0.39,0,1,1.22,999,0,13,41.18,41.28,40.17,0,-0.16,17,10,0
15505,1970-01-01 00:00:15.505,-0,5.33,0,0.39,0,1,1.22,999,0,13,41.18,41.27,40.15,0,-0.18,17,10,0
16617,1970-01-01 00:00:16.617,0,5.33,0,0.38,0,1,1.22,999,0,12.99,41.16,41.26,40.13,0,-0.15,17,10,0
17729,1970-01-01 00:00:17.729,-0,5.33,0,0.39,0,1,1.22,999,0,13,41.23,41.28,40.12,0,-0.16,17,10,0
18729,1970-01-01 00:00:18.729,-0,5.33,0,0.38,0,1,1.22,999,0,12.97,41.13,41.25,40.19,0,-0.16,17,10,0
19729,1970-01-01 00:00:19.729,0,5.33,0,0.39,0,1,1.22,999,0,12.99,41.05,41.18,40.1,0,-0.16,17,10,0
20729,1970-01-01 00:00:20.729,0,5.33,0,0.39,0,1,1.22,999,0,13.01,41.1,41.27,40.12,0,-0.16,17,10,0
21729,1970-01-01 00:00:21.729,0,5.33,0,0.39,0,1,1.22,999,0,13,41.16,41.27,40.07,0,-0.22,17,10,0
22729,1970-01-01 00:00:22.729,0,5.33,0,0.39,0,1,1.22,999,0,13,41.13,41.2,40.1,0,-0.15,17,10,0
23729,1970-01-01 00:00:23.729,0,5.33,0,0.39,0,1,1.22,999,0,12.97,41.12,41.23,40.12,0,-0.22,17,10,0
24729,1970-01-01 00:00:24.729,0,5.33,0,0.39,0,1,1.22,999,0,13.01,41.07,41.25,40.01,0,-0.15,17,10,0
25729,1970-01-01 00:00:25.729,-0,5.38,0,0.39,0,1,1.22,999,0,12.99,41.1,41.23,40.09,0,-0.19,17,10,0
26729,1970-01-01 00:00:26.729,-0,5.44,0,0.38,0,1,1.22,999,0,12.95,41.16,41.23,40.07,0,-0.16,17,10,0
27729,1970-01-01 00:00:27.729,0.84,5.5,0,0.37,0,1,1.22,999,0,13,41.05,41.25,40.1,0,-0.16,17,10,0
28784,1970-01-01 00:00:28.784,-0,5.56,0,0.39,0,1,1.22,999,0,12.99,41.08,41.23,40.08,0,-0.2,17,10,0
29896,1970-01-01 00:00:29.896,0,5.56,0,0.39,0,1,1.22,999,0,12.96,41.08,41.26,40.05,0,-0.16,17,10,0
31002,1970-01-01 00:00:31.002,0,5.62,0,0.37,0,1,1.22,999,0,12.98,41.12,41.3,40.14,0,-0.16,17,10,0
32002,1970-01-01 00:00:32.002,0,5.62,0,0.39,0,1,1.22,999,0,12.95,41,41.25,40.03,0,-0.16,17,10,0
33002,1970-01-01 00:00:33.002,-0,5.62,0,0.39,0,1,1.22,999,0,13,41.07,41.26,40.12,0,-0.16,17,10,0
34002,1970-01-01 00:00:34.002,-0,5.62,0,0.39,0,1,1.22,999,0,12.95,41.08,41.28,39.95,0,-0.16,17,10,0
35002,1970-01-01 00:00:35.002,0,5.62,3.47,0.39,0,1,1.22,880.84,0.01,12.95,41.12,41.26,40.03,0,-0.17,17,8676.2,-20
36002,1970-01-01 00:00:36.002,0,5.62,0,0.39,0,1,1.22,880.84,0.01,12.97,41.13,41.3,40.03,0,-0.15,17,8676.2,-20
37002,1970-01-01 00:00:37.002,0,5.62,0,0.39,0,1,1.22,880.84,0.01,12.93,41.09,41.12,39.99,0,-0.25,17,8676.2,-20
38002,1970-01-01 00:00:38.002,0,5.62,0,0.38,0,1,1.22,880.84,0.01,12.99,41.13,41.21,40.07,0,-0.17,17,8676.2,-20
39002,1970-01-01 00:00:39.002,0,5.62,0,0.38,0,1,1.22,880.84,0.01,12.95,41.16,41.25,40.12,0,-0.25,17,8676.2,-20
40007,2018-07-06 19:04:08.007,0,5.62,0,0.38,0,1,1.22,880.84,0.01,13.05,41.05,41.14,40.05,0,-0.17,17,8676.2,-20
41007,2018-07-06 19:04:09.007,0,5.62,0,0.38,0,1,1.22,880.84,0.01,12.98,41.01,41.18,39.98,0,-0.19,17,8676.2,-20
42093,2018-07-06 19:04:10.093,0.62,5.68,0,0.39,0,1,1.22,890.01,0.01,12.98,41.09,41.09,39.98,0,-0.16,17,8676.2,-20
43205,2018-07-06 19:04:11.205,-0,5.73,0,0.39,0,1,1.22,899.19,0.01,12.99,41.09,41.08,39.98,0,-0.18,17,8676.2,-20
44317,2018-07-06 19:04:12.317,0,5.73,0,0.39,0,1,1.22,899.19,0.01,12.97,41.07,41.05,39.97,0,-0.16,17,8676.2,-20
45423,2018-07-06 19:04:13.423,-0,5.79,0,0.39,0,1,1.22,908.36,0.01,12.98,41.05,41.23,40.01,0,-0.23,17,8676.2,-20
46541,2018-07-06 19:04:14.541,0,5.79,0,0.39,0,1,1.22,908.36,0.01,12.94,41.01,41.16,39.97,0,-0.16,17,8676.2,-20
47653,2018-07-06 19:04:15.653,0.78,5.85,0,0.39,0,1,1,917.54,0.01,13,41.02,41.03,39.96,0,-0.16,17,8676.2,-20
48765,2018-07-06 19:04:16.765,0.85,5.91,0,0.39,0,1,1,926.71,0.01,12.99,40.94,41.16,39.97,0,-0.18,17,8676.2,-20
49765,2018-07-06 19:04:17.765,-0,5.91,0,0.38,0,1,1,926.71,0.01,12.99,41.02,41.05,39.88,0,-0.17,17,8676.2,-20
