OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
3174,1970-01-01 00:00:03.174,0,0,0,0.3,0,0,1.88,0,0,13.09,19.85,20.27,19.7,0,-0.09,17,10,0
4174,1970-01-01 00:00:04.174,0,0,0,0.33,0,0,1.88,0,0,13.11,19.96,20.25,19.8,0,-0.1,17,10,0
5174,1970-01-01 00:00:05.174,0,0,0,0.32,0,0,1.88,0,0,13.05,19.92,20.33,19.81,0,-0.1,17,10,0
7174,1970-01-01 00:00:07.174,0,0,0,0.28,0,0,1.88,0,0,13.03,20.02,20.35,19.83,0,-0.09,17,10,0
9174,1970-01-01 00:00:09.174,0,0,0,0.3,0,0,1.88,0,0,13.03,20.07,20.31,19.81,0,-0.1,17,10,0
10174,1970-01-01 00:00:10.174,0,0,0,0.29,0,0,1.88,0,0,13.04,20.13,20.29,19.83,0,-0.09,17,10,0
12174,1970-01-01 00:00:12.174,0,0,0,0.3,0,0,2.02,0,0,13.01,19.98,20.33,19.84,0,-0.1,17,10,0
13174,1970-01-01 00:00:13.174,0,0,0,0.29,0,0,2.02,0,0,13.03,20.16,20.35,19.8,0,-0.1,17,10,0
14174,1970-01-01 00:00:14.174,0,0,0,0.29,0,0,2.02,0,0,13,20.16,20.33,19.8,0,-0.1,17,10,0
15210,1970-01-01 00:00:15.210,0,0,0,0.29,0,0,2.02,0,0,12.99,20.18,20.35,19.88,0,-0.09,17,10,0
16299,1970-01-01 00:00:16.299,0,0,0,0.26,0,0,2.02,0,0,12.98,20.14,20.34,19.83,0,-0.1,17,10,0
17386,1970-01-01 00:00:17.386,0,0,0,0.29,0,0,2.02,0,0,12.98,20.16,20.36,19.91,0,-0.09,17,10,0
18470,1970-01-01 00:00:18.470,0,0,0,0.29,0,0,2.02,0,0,12.97,20.11,20.35,19.88,0,-0.09,17,10,0
20885,1970-01-01 00:00:20.885,0,0,0,0.27,1,0,2.02,0,0,10.67,20.19,20.27,19.92,0,-0.14,7,10,0
21285,1970-01-01 00:00:21.285,0,0,1007.29,0.27,1,0,2.02,0,0.04,11.87,20.23,20.29,19.77,0,-0.15,7,16128,-38
21385,1970-01-01 00:00:21.385,0,0,1040.39,0.27,1,0,2.02,0,0.05,12.17,20.23,20.29,19.77,0,-0.14,7,16128,-38
21585,1970-01-01 00:00:21.585,0,0,1089.95,0.27,1,0,2.02,0,0.08,12.14,20.22,20.29,19.98,0,-0.14,7,16128,-39
21734,1970-01-01 00:00:21.734,0,0,1096.32,0.27,1,0,2.02,0,0.09,11.68,20.13,20.29,19.63,0,-0.14,7,16128,-39
21834,1970-01-01 00:00:21.834,0,0,1116.93,0.27,1,0,2.02,0,0.11,12.15,20.13,20.29,19.63,0,-0.15,7,16128,-40
21934,1970-01-01 00:00:21.934,0,0,1101.4,0.27,1,0,2.04,0,0.12,12.14,20.13,20.29,19.63,0,-0.16,7,16128,-39
22334,1970-01-01 00:00:22.334,0,0,1094.24,0.27,1,0,2.08,0,0.16,11.99,20.2,20.29,19.86,0,-0.14,7,16656,-39
22434,1970-01-01 00:00:22.434,0,0,1138.16,0.26,1,0,1.99,0,0.17,12,20.2,20.29,19.86,0,-0.15,7,15912,-40
22534,1970-01-01 00:00:22.534,0,0,1166.03,0.26,1,0,1.95,0,0.19,11.95,20.24,20.29,20.01,0,-0.15,7,15584,-40
22834,1970-01-01 00:00:22.834,0,0,1114.08,0.26,1,0,1.95,0,0.23,11.89,20.22,20.29,20.45,0,-0.13,7,15576,-40
22934,1970-01-01 00:00:22.934,0,0,1071.06,0.27,1,0,1.95,0,0.24,11.7,20.22,20.29,20.45,0,-0.16,7,15576,-39
23034,1970-01-01 00:00:23.034,0,0,1118.15,0.26,1,0,1.95,0,0.25,11.55,20.22,20.29,20.45,0,-0.14,7,15576,-40
23334,1970-01-01 00:00:23.334,0,0,1142.82,0.26,1,0,1.95,0,0.29,12.05,20.27,20.29,20.56,0,-0.15,7,15576,-40
23434,1970-01-01 00:00:23.434,0,0,1168.04,0.26,1,0,1.95,0,0.3,12.07,20.23,20.29,20.65,0,-0.15,7,15576,-41
