OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
6173,2018-07-06 22:24:06.173,0,0,0,0.3,0,1,1,0,0,12.28,35.06,34.79,31.73,0,-0.14,17,10,0
7173,2018-07-06 22:24:07.173,0,0,0,0.3,0,1,1,0,0,12.28,35.09,34.84,31.73,0,-0.14,17,10,0
8173,2018-07-06 22:24:08.173,0,0,0,0.29,0,1,1,0,0,12.27,35.08,34.79,31.77,0,-0.14,17,10,0
9173,2018-07-06 22:24:09.173,0,0,0,0.29,0,1,1,0,0,12.28,35.13,34.84,31.8,0,-0.14,17,10,0
10173,2018-07-06 22:24:10.173,0,0,0,0.29,0,1,1,0,0,12.29,35.13,34.8,31.8,0,-0.14,17,10,0
11173,2018-07-06 22:24:11.173,0,0,0,0.29,0,1,1,0,0,12.26,35.17,34.84,31.77,0,-0.14,17,10,0
12173,2018-07-06 22:24:12.173,1.03,0.18,0,0.29,0,1,1,999,0,12.26,35.13,34.83,31.67,0,-0.14,17,10,0
13173,2018-07-06 22:24:13.173,-0,0.35,0,0.29,0,1,1,999,0,12.25,35.14,34.83,31.76,0,-0.14,17,10,0
14176,2018-07-06 22:24:14.176,-0,0.35,0,0.29,0,1,1,999,0,12.25,35.13,34.8,31.75,0,-0.14,17,10,0
15288,2018-07-06 22:24:15.288,0,0.35,0,0.28,0,1,1,999,0,12.24,35.12,34.77,31.66,0,-0.14,17,10,0
16400,2018-07-06 22:24:16.400,-0,0.35,0,0.29,0,1,1,999,0,12.24,35.19,34.88,31.73,0,-0.14,17,10,0
17512,2018-07-06 22:24:17.512,-0,0.35,0,0.28,0,1,1,999,0,12.24,35.17,34.78,31.8,0,-0.14,17,10,0
18623,2018-07-06 22:24:18.623,0,0.35,0,0.28,0,1,1,999,0,12.24,35.16,34.91,31.77,0,-0.14,17,10,0
23023,2018-07-06 22:24:23.023,0,0.35,0,0.28,0,1,1,999,0,12.28,35.19,34.81,31.82,0,-0.14,17,10,0
26353,2018-07-06 22:24:26.353,2.35,2.22,0,0.28,0,1,1,999,0,12.3,35.12,34.88,31.77,0,-0.14,17,10,0
