OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
1087,1970-01-01 00:00:01.087,0,0,0,0.33,0,1,1.22,0,0,13.13,40.83,41.13,43.32,0,-0.14,17,10,0
2174,1970-01-01 00:00:02.174,0,0,0,0.37,0,1,1.22,0,0,13.16,40.91,41.16,43.37,0,-0.26,17,10,0
3281,1970-01-01 00:00:03.281,0.97,0.06,0,0.37,0,1,1.22,999,0,13.23,40.88,41.16,43.32,0,-0.17,17,10,0
4393,1970-01-01 00:00:04.393,-0,0.06,0,0.35,0,1,1.22,999,0,13.21,40.88,41.2,43.39,0,-0.14,17,10,0
5505,1970-01-01 00:00:05.505,0,0.06,0,0.37,0,1,1.22,999,0,13.18,40.87,41.23,43.34,0,-0.14,17,10,0
6617,1970-01-01 00:00:06.617,-0,0.06,0,0.37,0,1,1.22,999,0,13.24,40.85,41.16,43.35,0,-0.15,17,10,0
7729,1970-01-01 00:00:07.729,-0,0.06,0,0.38,0,1,1.22,999,0,13.23,40.96,41.2,43.35,0,-0.25,17,10,0
8836,1970-01-01 00:00:08.836,0,0.06,0,0.35,0,1,1.22,999,0,13.17,40.93,41.19,43.35,0,-0.15,17,10,0
9936,1970-01-01 00:00:09.936,0,0.06,0,0.37,0,1,1.22,999,0,13.21,40.94,41.2,43.34,0,-0.14,17,10,0
11036,1970-01-01 00:00:11.036,0,0.06,0,0.38,0,1,1.22,999,0,13.22,40.94,41.25,43.3,0,-0.24,17,10,0
12136,1970-01-01 00:00:12.136,0,0.06,0,0.37,0,1,1.22,999,0,13.23,40.89,41.16,43.37,0,-0.14,17,10,0
12806,1970-01-01 00:00:12.806,0,0.06,0,0.37,0,0,1.22,999,0,13.2,40.93,41.16,43.4,0,-0.14,5,10,0
12906,1970-01-01 00:00:12.906,0,0.06,0,0.35,1,0,1.22,999,0,10.44,40.93,41.19,43.33,0,-0.34,7,10,0
13006,1970-01-01 00:00:13.006,0,0.06,0,0.36,1,0,1.22,999,0,12.12,40.93,41.19,43.33,0,-0.17,7,10,0
13106,1970-01-01 00:00:13.106,0,0.06,9.21,0.36,1,0,1.22,8.24,0.01,12.09,40.93,41.19,43.33,0,-0.15,7,9776,-20
13248,1970-01-01 00:00:13.248,0,0.06,1665.67,0.37,0,0,1.22,2.75,0.03,12.41,40.91,41.1,43.3,0,-0.14,5,9776,-54
13348,1970-01-01 00:00:13.348,0,0.06,2155.79,0.36,0,0,1.22,1.65,0.04,13.07,40.91,41.1,43.3,0,-0.14,5,9776,-73
13448,1970-01-01 00:00:13.448,0,0.06,2631.98,0.35,0,0,1.22,1.18,0.06,13.07,40.91,41.1,43.3,0,-0.15,5,9776,-82
