 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
1.56,0.12,0,0.25,0,1,1.28, inf,0,13.05,37.78,33.91,44.98,0,-0.32,16,10,0
0,0.12,0,0.25,0,1,1.28, inf,0,13.05,37.86,34.2,45.02,0,-0.3,16,10,0
1.16,0.23,0,0.25,0,1,1.28, inf,0,12.99,37.74,34.05,44.95,0,-0.29,16,10,0
0,0.23,0,0.26,0,1,1.28, inf,0,12.94,37.7,34.24,44.83,0,3.59,16,10,0
0,0.23,0,0.25,0,1,1.28, inf,0,12.93,37.77,34.32,44.76,0,-0.42,16,10,0
1.06,0.35,1427.81,0.25,0,1,1.28,26.12,0.02,12.76,37.86,34.32,44.76,0,-0.35,20,8932,0
1.53,0.7,1715.46,0.26,0,1,1.28,8.87,0.1,12.86,37.88,34.36,67.55,0,-0.27,20,6072.73,0
1.47,1.05,1765.72,0.25,0,1,1.28,7.39,0.17,12.84,37.8,34.3,96.11,0,-0.28,20,5606.38,0
1.77,1.52,1788.38,0.25,0,1,1.28,7.29,0.25,12.79,37.84,34.25,116.88,0,-0.24,20,5594.81,0
2.19,2.11,1784.28,0.25,0,1,1.28,7.73,0.33,12.78,37.88,34.09,130.23,0,-0.26,20,5596.9,0
2.75,2.81,1832.37,0.25,0,1,1.28,8.35,0.41,12.71,37.66,33.95,145.66,0,-0.22,20,5572.36,0
2.67,3.63,1309.99,0.25,0,1,1.28,9.4,0.47,12.82,37.42,33.79,142.7,0,-0.25,16,8932,0
1.63,4.21,112.07,0.25,1,1,1.28,10.9,0.47,11.6,37.23,33.66,129.33,0,-0.27,22,0,0
1.94,4.68,1793.7,0.25,0,1,1.28,10.42,0.55,12.72,37.2,33.57,134.42,0,-0.21,20,5592.1,0
3.46,5.62,1802.78,0.25,0,1,1.28,10.94,0.63,12.68,37.17,33.55,151.5,0,-0.2,20,5587.46,0
4.32,6.79,914.11,0.25,0,1,1.28,12.1,0.68,12.74,37.02,33.52,155.2,0,-0.24,16,8932,0
4.42,7.96,0,0.25,0,1,1.28,14.03,0.69,12.74,36.91,33.44,138.86,0,-0.24,16,8932,0
4.32,9.13,0,0.25,0,1,1.28,16.09,0.69,12.74,36.93,33.33,128.86,0,-0.23,16,8932,0
3.87,10.3,0,0.25,0,1,1.28,18.16,0.69,12.81,36.95,33.42,122.94,0,1.45,16,8932,0
2.76,11.24,0,0.25,0,1,1.28,19.81,0.69,12.79,36.98,33.4,116.17,0,1.61,16,8932,0
1.86,11.82,0,0.25,0,1,1.28,20.84,0.69,12.82,36.86,33.35,110.58,0,-0.38,16,8932,0
1.82,12.29,0,1.47,0,1,1.28,21.66,0.69,12.81,36.91,33.35,107,0,-0.31,16,8932,0
1.52,12.76,0,1.47,0,1,1.28,22.49,0.69,12.78,36.89,33.3,102.63,0,-0.29,16,8932,0
1.29,13.11,0,1.47,0,1,1.28,23.11,0.69,12.8,37.02,33.34,98.73,0,-0.26,16,8932,0
0,13.34,0,1.47,1,1,1.28,23.52,0.69,10.4,37.15,33.33,95.15,0,-0.29,22,8932,0
2.09,13.93,1786.99,1.47,0,1,1.28,21.85,0.78,12.72,37.24,33.28,109.84,0,-0.22,20,5595.52,0
