OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
797.00,1970-00-00 00:00:00.797,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.45,0.00,0.00,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
903.00,1970-00-00 00:00:00.903,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.45,0.00,0.00,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
1003.00,1970-01-01 00:00:01.003,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.43,0.00,0.00,0.00,0.00,-0.61,0.07,17.00,10.00,0.00
1103.00,1970-01-01 00:00:01.103,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.44,49.87,57.62,0.00,0.00,-0.61,0.08,17.00,10.00,0.00
1203.00,1970-01-01 00:00:01.203,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.42,49.87,57.62,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
1303.00,1970-01-01 00:00:01.303,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.43,49.87,57.62,0.00,0.00,-0.60,0.08,17.00,10.00,0.00
1403.00,1970-01-01 00:00:01.403,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.44,49.84,57.66,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
1503.00,1970-01-01 00:00:01.503,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.44,49.84,57.66,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
1603.00,1970-01-01 00:00:01.603,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.44,49.89,57.62,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
1703.00,1970-01-01 00:00:01.703,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.43,49.89,57.62,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
1803.00,1970-01-01 00:00:01.803,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.43,49.89,57.62,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
1903.00,1970-01-01 00:00:01.903,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.43,49.87,57.63,0.00,0.00,-0.58,0.08,17.00,10.00,0.00
2003.00,1970-01-01 00:00:02.003,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.42,49.87,57.63,0.00,0.00,-0.57,0.08,17.00,10.00,0.00
2103.00,1970-01-01 00:00:02.103,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.44,49.89,57.59,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
2247.00,1970-01-01 00:00:02.247,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.42,49.89,57.59,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
2377.00,1970-01-01 00:00:02.377,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.42,49.81,57.57,0.00,0.00,-0.58,0.08,17.00,10.00,0.00
2562.00,1970-01-01 00:00:02.562,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.40,49.81,57.57,0.00,0.00,-0.60,0.08,17.00,10.00,0.00
2740.00,1970-01-01 00:00:02.740,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.37,49.79,57.57,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
2875.00,1970-01-01 00:00:02.875,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.41,49.79,57.57,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
3014.00,1970-01-01 00:00:03.014,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.39,49.77,57.52,0.00,0.00,-0.60,0.08,17.00,10.00,0.00
3175.00,1970-01-01 00:00:03.175,1.34,0.12,0.00,0.30,0.00,1.00,1.00,999.00,0.00,12.38,49.77,57.52,0.00,0.00,-0.60,0.08,17.00,10.00,0.00
3275.00,1970-01-01 00:00:03.275,1.34,0.12,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.40,49.80,57.48,0.00,0.00,-0.67,0.07,17.00,10.00,0.00
3375.00,1970-01-01 00:00:03.375,1.34,0.12,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.31,49.80,57.48,0.00,0.00,-0.60,0.08,17.00,10.00,0.00
3579.00,1970-01-01 00:00:03.579,-0.00,0.12,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.36,49.79,57.38,0.00,0.00,-0.64,0.08,17.00,10.00,0.00
3719.00,1970-01-01 00:00:03.719,-0.00,0.12,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.37,49.79,57.38,0.00,0.00,-0.60,0.08,17.00,10.00,0.00
3859.00,1970-01-01 00:00:03.859,0.00,0.12,0.00,0.29,0.00,1.00,1.00,999.00,0.00,12.34,49.74,57.30,0.00,0.00,-0.51,0.07,17.00,10.00,0.00
4035.00,1970-01-01 00:00:04.035,1.41,0.23,0.00,0.29,0.00,1.00,1.00,999.00,0.00,12.35,49.74,57.30,0.00,0.00,-0.52,0.08,17.00,10.00,0.00
4233.00,1970-01-01 00:00:04.233,1.41,0.23,0.00,0.29,0.00,1.00,1.00,999.00,0.00,12.28,49.73,57.34,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
4333.00,1970-01-01 00:00:04.333,1.41,0.23,0.00,0.28,0.00,1.00,1.00,999.00,0.00,12.27,49.73,57.34,0.00,0.00,-0.56,0.07,17.00,10.00,0.00
4433.00,1970-01-01 00:00:04.433,-0.00,0.23,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.35,49.70,57.32,0.00,0.00,-0.64,0.07,17.00,10.00,0.00
4533.00,1970-01-01 00:00:04.533,-0.00,0.23,0.00,0.29,0.00,1.00,1.00,999.00,0.00,12.30,49.70,57.32,0.00,0.00,-0.55,0.08,17.00,10.00,0.00
4633.00,1970-01-01 00:00:04.633,-0.00,0.23,0.00,0.29,0.00,1.00,1.00,999.00,0.00,12.30,49.70,57.32,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
4801.00,1970-01-01 00:00:04.801,1.32,0.35,0.00,0.29,0.00,1.00,1.00,999.00,0.00,12.29,49.74,57.38,0.00,0.00,-0.58,0.08,17.00,10.00,0.00
5000.00,1970-01-01 00:00:05.000,1.32,0.35,0.00,0.29,0.00,1.00,1.00,999.00,0.00,12.30,49.72,57.25,0.00,0.00,-0.58,0.07,17.00,10.00,0.00
5100.00,1970-01-01 00:00:05.100,-0.00,0.35,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.27,49.72,57.25,0.00,0.00,-0.62,0.07,17.00,10.00,0.00
5200.00,1970-01-01 00:00:05.200,1.82,0.47,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.34,49.72,57.25,0.00,0.00,-0.57,0.07,17.00,10.00,0.00
