OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
106732,57:14.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.9,35.57,42.27,0,1.82,0,6600,-42
107732,57:15.7,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.95,35.63,42.13,0,1.82,0,6600,-42
108732,57:16.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.97,35.55,42.02,0,1.82,0,6600,-42
109732,57:17.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.88,35.57,41.94,0,1.82,0,6600,-42
110732,57:18.7,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.85,35.57,41.87,0,1.81,0,6600,-42
111732,57:19.7,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,34.92,35.57,41.76,0,1.81,0,6600,-42
112763,57:20.8,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.92,35.69,41.75,0,1.82,0,6600,-42
113869,57:21.9,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.94,35.65,41.63,0,1.82,0,6600,-42
114969,57:23.0,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.92,35.62,41.53,0,1.81,0,6600,-42
116075,57:24.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.85,35.63,41.45,0,1.81,0,6600,-42
117075,57:25.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.9,35.65,41.47,0,1.82,0,6600,-42
118075,57:26.1,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.9,35.64,41.41,0,1.81,0,6600,-42
119075,57:27.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.95,35.66,41.37,0,1.82,0,6600,-42
120075,57:28.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.9,35.69,41.34,0,1.81,0,6600,-42
121075,57:29.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.9,35.62,41.3,0,1.82,0,6600,-42
122075,57:30.1,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.98,35.66,41.31,0,1.82,0,6600,-42
123075,57:31.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.88,35.7,41.16,0,1.81,0,6600,-42
124075,57:32.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.96,35.73,41.08,0,1.8,0,6600,-42
125075,57:33.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.97,35.69,41.13,0,1.8,0,6600,-42
126075,57:34.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,34.99,35.66,41.02,0,1.8,0,6600,-42
127099,57:35.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.99,35.71,40.98,0,1.81,0,6600,-42
128199,57:36.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,34.99,35.77,40.98,0,1.81,0,6600,-42
129299,57:37.3,0,0.35,0,1.47,0,,1,0.27,1.56,13,35.05,35.73,40.96,0,1.8,0,6600,-42
130405,57:38.4,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,35.01,35.8,40.9,0,1.81,0,6600,-42
131505,57:39.5,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.95,35.8,40.91,0,1.81,0,6600,-42
132606,57:40.6,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,34.98,35.8,40.84,0,1.8,0,6600,-42
133712,57:41.7,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,35.02,35.77,40.72,0,1.81,0,6600,-42
134818,57:42.8,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,34.98,35.8,40.8,0,1.8,0,6600,-42
135918,57:43.9,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.95,35.8,40.71,0,1.8,0,6600,-42
137018,57:45.0,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.95,35.78,40.67,0,1.8,0,6600,-42
138124,57:46.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,35.06,35.76,40.61,0,1.8,0,6600,-42
139124,57:47.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,34.97,35.84,40.69,0,1.81,0,6600,-42
140124,57:48.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.96,35.83,40.56,0,1.8,0,6600,-42
141124,57:49.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,34.94,35.83,40.59,0,1.8,0,6600,-42
142124,57:50.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.02,35.82,40.48,0,1.8,0,6600,-42
143124,57:51.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.95,35.87,40.51,0,1.8,0,6600,-42
144124,57:52.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,35.1,35.8,40.53,0,1.8,0,6600,-42
145124,57:53.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,35.08,35.8,40.5,0,1.79,0,6600,-42
146124,57:54.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.87,34.95,35.86,40.51,0,1.8,0,6600,-42
147124,57:55.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.05,35.89,40.39,0,1.8,0,6600,-42
148124,57:56.1,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,35.04,35.8,40.46,0,1.79,0,6600,-42
149149,57:57.1,0,0.35,0,1.47,0,,1,0.27,1.56,13,34.95,35.78,40.3,0,1.79,0,6600,-42
150249,57:58.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.85,35.03,35.87,40.3,0,1.8,0,6600,-42
151355,57:59.4,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.05,35.89,40.3,0,1.79,0,6600,-42
152456,58:00.5,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,34.99,35.91,40.35,0,1.8,0,6600,-42
153562,58:01.6,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,34.99,35.87,40.3,0,1.79,0,6600,-42
154668,58:02.7,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,35.09,35.84,40.26,0,1.79,0,6600,-42
155774,58:03.8,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.15,35.87,40.19,0,1.78,0,6600,-42
156880,58:04.9,0,0.35,0,1.47,0,,1,0.27,1.56,12.88,35.1,35.91,40.2,0,1.78,0,6600,-42
157986,58:06.0,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,35.1,35.84,40.15,0,1.79,0,6600,-42
159092,58:07.1,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,35.09,35.88,40.19,0,1.8,0,6600,-42
160198,58:08.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,35.1,35.89,40.1,0,1.78,0,6600,-42
161198,58:09.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.14,35.84,40.25,0,1.79,0,6600,-42
162198,58:10.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.1,35.89,40.07,0,1.78,0,6600,-42
163198,58:11.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,35.02,35.91,40.12,0,1.78,0,6600,-42
164198,58:12.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.16,35.82,40.05,0,1.78,0,6600,-42
165198,58:13.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.13,35.83,40.01,0,1.78,0,6600,-42
166198,58:14.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,35.09,35.87,39.97,0,1.78,0,6600,-42
167198,58:15.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.99,35.08,35.86,39.98,0,1.77,0,6600,-42
168198,58:16.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.09,35.88,39.94,0,1.78,0,6600,-42
169198,58:17.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,35.2,35.93,39.96,0,1.77,0,6600,-42
170198,58:18.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.01,35.08,35.89,39.94,0,1.78,0,6600,-42
171242,58:19.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,35.1,35.86,39.91,0,1.78,0,6600,-42
172242,58:20.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.86,35.19,35.93,39.9,0,1.78,0,6600,-42
173242,58:21.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,35.13,35.88,39.85,0,1.78,0,6600,-42
174242,58:22.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,35.19,35.94,39.85,0,1.77,0,6600,-42
175242,58:23.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.99,35.22,35.98,39.85,0,1.77,0,6600,-42
176242,58:24.2,0,0.35,0,1.47,0,,1,0.27,1.56,12.99,35.21,35.89,39.84,0,1.8,0,6600,-42
177242,58:25.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.02,35.16,35.98,39.76,0,1.79,0,6600,-42
178242,58:26.2,0,0.35,0,1.47,0,,1,0.27,1.56,13.03,35.19,35.89,39.75,0,1.78,0,6600,-42
179242,58:27.2,0.7,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.2,35.88,39.75,0,1.81,0,6600,-42
180242,58:28.2,0,0.47,0,1.47,0,,1,0.36,1.56,12.84,35.21,35.86,39.76,0,1.81,0,6600,-42
181242,58:29.2,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.21,35.94,39.75,0,1.81,0,6600,-42
182298,58:30.3,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.2,35.95,39.77,0,1.8,0,6600,-42
183410,58:31.4,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.33,36.01,39.7,0,1.78,0,6600,-42
184522,58:32.5,0,0.47,0,1.47,0,,1,0.36,1.56,13.03,35.23,35.98,39.69,0,1.81,0,6600,-42
185633,58:33.6,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.19,35.91,39.66,0,1.8,0,6600,-42
186633,58:34.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.84,35.28,35.95,39.62,0,1.81,0,6600,-42
187633,58:35.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.83,35.26,35.95,39.64,0,1.8,0,6600,-42
188633,58:36.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.84,35.3,35.93,39.68,0,1.8,0,6600,-42
189633,58:37.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.85,35.26,35.91,39.53,0,1.79,0,6600,-42
190633,58:38.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.03,35.16,35.98,39.55,0,1.81,0,6600,-42
191633,58:39.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.21,35.91,39.48,0,1.8,0,6600,-42
192633,58:40.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.03,35.3,35.98,39.52,0,1.8,0,6600,-42
193633,58:41.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.98,35.28,36,39.51,0,1.79,0,6600,-42
194633,58:42.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.28,35.91,39.53,0,1.79,0,6600,-42
195633,58:43.6,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.26,35.95,39.42,0,1.79,0,6600,-42
196658,58:44.7,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.2,35.98,39.5,0,1.8,0,6600,-42
197764,58:45.8,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.24,35.96,39.41,0,1.8,0,6600,-42
198764,58:46.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.84,35.26,35.98,39.48,0,1.79,0,6600,-42
199764,58:47.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.86,35.3,36.02,39.44,0,1.79,0,6600,-42
200764,58:48.8,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.26,35.96,39.39,0,1.8,0,6600,-42
201764,58:49.8,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.33,35.96,39.35,0,1.79,0,6600,-42
202764,58:50.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.88,35.26,36.02,39.46,0,1.78,0,6600,-42
203764,58:51.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.84,35.23,36.06,39.4,0,1.79,0,6600,-42
204764,58:52.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.87,35.32,36,39.41,0,1.79,0,6600,-42
205764,58:53.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.86,35.23,36.05,39.39,0,1.79,0,6600,-42
206764,58:54.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.85,35.32,36.02,39.38,0,1.79,0,6600,-42
207764,58:55.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.87,35.37,36.02,39.22,0,1.8,0,6600,-42
208809,58:56.8,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.39,36.04,39.34,0,1.79,0,6600,-42
209915,58:57.9,0,0.47,0,1.47,0,,1,0.36,1.56,12.85,35.3,36.05,39.28,0,1.79,0,6600,-42
211021,58:59.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.34,36.08,39.3,0,1.79,0,6600,-42
212127,59:00.1,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.28,36,39.24,0,1.79,0,6600,-42
213233,59:01.2,0,0.47,0,1.47,0,,1,0.36,1.56,12.85,35.3,36,39.26,0,1.79,0,6600,-42
214339,59:02.3,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.33,36.02,39.17,0,1.78,0,6600,-42
215445,59:03.4,0,0.47,0,1.47,0,,1,0.36,1.56,12.85,35.37,36.02,39.27,0,1.78,0,6600,-42
216546,59:04.5,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.34,36.02,39.17,0,1.8,0,6600,-42
217652,59:05.7,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.4,36.02,39.2,0,1.8,0,6600,-42
218752,59:06.8,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.3,36.07,39.14,0,1.79,0,6600,-42
219858,59:07.9,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.39,36.06,39.09,0,1.79,0,6600,-42
220964,59:09.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.87,35.3,36.04,39.13,0,1.77,0,6600,-42
221964,59:10.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.34,35.98,39.16,0,1.78,0,6600,-42
222964,59:11.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.3,36.04,39.13,0,1.78,0,6600,-42
223964,59:12.0,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.35,36.05,39.19,0,1.78,0,6600,-42
224964,59:13.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.44,36.09,39.14,0,1.78,0,6600,-42
225964,59:14.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.39,36,39.02,0,1.77,0,6600,-42
226964,59:15.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.41,36.02,39.14,0,1.78,0,6600,-42
227964,59:16.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.3,36.01,39.12,0,1.77,0,6600,-42
228964,59:17.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.33,36,39.09,0,1.78,0,6600,-42
229964,59:18.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.38,36.06,39.06,0,1.77,0,6600,-42
230964,59:19.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.32,36.06,39,0,1.78,0,6600,-42
231992,59:20.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.41,36.02,39.02,0,1.77,0,6600,-42
233098,59:21.1,0,0.47,0,1.47,0,,1,0.36,1.56,12.88,35.32,36.09,38.95,0,1.77,0,6600,-42
234204,59:22.2,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.38,36.09,38.92,0,1.77,0,6600,-42
235310,59:23.3,0,0.47,0,1.47,0,,1,0.36,1.56,12.89,35.38,36.04,38.94,0,1.77,0,6600,-42
236411,59:24.4,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.41,36.01,38.87,0,1.77,0,6600,-42
237511,59:25.5,0,0.47,0,1.47,0,,1,0.36,1.56,12.89,35.38,36.05,38.95,0,1.77,0,6600,-42
238611,59:26.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.45,36.09,38.89,0,1.78,0,6600,-42
239711,59:27.7,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.38,36.16,38.85,0,1.77,0,6600,-42
240811,59:28.8,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.44,36.07,38.85,0,1.78,0,6600,-42
241917,59:29.9,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.41,36.05,38.77,0,1.77,0,6600,-42
243023,59:31.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.41,36.1,38.84,0,1.78,0,6600,-42
244023,59:32.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.39,36.1,38.87,0,1.77,0,6600,-42
245023,59:33.0,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.46,36.14,38.78,0,1.77,0,6600,-42
246023,59:34.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.47,36.12,38.8,0,1.77,0,6600,-42
247023,59:35.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.41,36.13,38.85,0,1.78,0,6600,-42
248023,59:36.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.4,36.1,38.84,0,1.77,0,6600,-42
249023,59:37.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.91,35.46,36.1,38.8,0,1.77,0,6600,-42
250023,59:38.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.34,36.12,38.8,0,1.78,0,6600,-42
251023,59:39.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.91,35.4,36.18,38.8,0,1.78,0,6600,-42
252023,59:40.0,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.44,36.07,38.85,0,1.77,0,6600,-42
253023,59:41.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.53,36.19,38.76,0,1.77,0,6600,-42
254065,59:42.1,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.42,36.16,38.83,0,1.77,0,6600,-42
255166,59:43.2,0,0.47,0,1.47,0,,1,0.36,1.56,12.89,35.39,36.13,38.77,0,1.77,0,6600,-42
256272,59:44.3,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.46,36.12,38.8,0,1.77,0,6600,-42
257378,59:45.4,0,0.47,0,1.47,0,,1,0.36,1.56,12.92,35.46,36.19,38.73,0,1.76,0,6600,-42
258484,59:46.5,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.41,36.13,38.7,0,1.76,0,6600,-42
259590,59:47.6,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.46,36.21,38.7,0,1.76,0,6600,-42
260691,59:48.7,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.49,36.12,38.76,0,1.76,0,6600,-42
261797,59:49.8,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.41,36.12,38.71,0,1.77,0,6600,-42
262903,59:50.9,0,0.47,0,1.47,0,,1,0.36,1.56,12.93,35.41,36.16,38.66,0,1.76,0,6600,-42
263903,59:51.9,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.47,36.16,38.65,0,1.76,0,6600,-42
264903,59:52.9,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.46,36.14,38.77,0,1.77,0,6600,-42
265903,59:53.9,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.46,36.14,38.7,0,1.77,0,6600,-42
266903,59:54.9,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.42,36.14,38.69,0,1.77,0,6600,-42
267903,59:55.9,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.46,36.06,38.63,0,1.76,0,6600,-42
268903,59:56.9,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.46,36.16,38.62,0,1.75,0,6600,-42
269903,59:57.9,0,0.47,0,1.47,0,,1,0.36,1.56,12.97,35.44,36.1,38.62,0,1.75,0,6600,-42
270903,59:58.9,0,0.47,0,1.47,0,,1,0.36,1.56,12.93,35.51,36.18,38.67,0,1.74,0,6600,-42
271903,59:59.9,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.48,36.1,38.62,0,1.75,0,6600,-42
272903,00:00.9,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.52,36.09,38.59,0,1.75,0,6600,-42
273940,00:01.9,0,0.47,0,1.47,0,,1,0.36,1.56,12.96,35.49,36.1,38.64,0,1.74,0,6600,-42
275046,00:03.0,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.48,36.19,38.63,0,1.75,0,6600,-42
276152,00:04.2,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.58,36.18,38.66,0,1.74,0,6600,-42
277258,00:05.3,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.57,36.14,38.59,0,1.75,0,6600,-42
278364,00:06.4,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.55,36.16,38.56,0,1.74,0,6600,-42
279470,00:07.5,0,0.47,0,1.47,0,,1,0.36,1.56,12.97,35.53,36.19,38.56,0,1.73,0,6600,-42
280571,00:08.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.98,35.53,36.12,38.55,0,1.73,0,6600,-42
281571,00:09.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.51,36.16,38.59,0,1.73,0,6600,-42
282571,00:10.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.97,35.49,36.16,38.56,0,1.73,0,6600,-42
283571,00:11.6,0,0.47,0,1.47,0,,1,0.36,1.56,13,35.59,36.13,38.47,0,1.72,0,6600,-42
284571,00:12.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.97,35.6,36.13,38.49,0,1.72,0,6600,-42
285571,00:13.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.55,36.16,38.45,0,1.72,0,6600,-42
286571,00:14.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.65,36.3,38.42,0,1.73,0,6600,-42
287571,00:15.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.65,36.19,38.38,0,1.73,0,6600,-42
288571,00:16.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.98,35.57,36.18,38.28,0,1.73,0,6600,-42
289571,00:17.6,0,0.47,0,1.47,0,,1,0.36,1.56,12.98,35.64,36.21,38.4,0,1.72,0,6600,-42
290571,00:18.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.63,36.19,38.38,0,1.72,0,6600,-42
291613,00:19.6,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.62,36.18,38.26,0,1.72,0,6600,-42
292713,00:20.7,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.66,36.14,38.27,0,1.71,0,6600,-42
293713,00:21.7,0,0.47,0,1.47,0,,1,0.36,1.56,12.98,35.63,36.21,38.28,0,1.71,0,6600,-42
294713,00:22.7,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.64,36.27,38.34,0,1.71,0,6600,-42
295713,00:23.7,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.6,36.26,38.27,0,1.71,0,6600,-42
296713,00:24.7,0,0.47,0,1.47,0,,1,0.36,1.56,12.98,35.66,36.12,38.24,0,1.72,0,6600,-42
297713,00:25.7,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.62,36.3,38.28,0,1.7,0,6600,-42
298713,00:26.7,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.71,36.32,38.28,0,1.69,0,6600,-42
299713,00:27.7,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.67,36.2,38.33,0,1.7,0,6600,-42
300713,00:28.7,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.66,36.32,38.27,0,1.7,0,6600,-42
301713,00:29.7,0,0.47,0,1.47,0,,1,0.36,1.56,12.99,35.73,36.23,38.3,0,1.69,0,6600,-42
302713,00:30.7,0,0.47,0,1.45,0,,1,0.36,1.56,13.02,35.71,36.3,38.23,0,1.69,0,6600,-42
303764,00:31.8,0,0.47,0,1.47,0,,1,0.36,1.56,13.02,35.77,36.34,38.36,0,1.68,0,6600,-42
304764,00:32.8,0,0.47,0,1.47,0,,1,0.36,1.56,13.01,35.67,36.28,38.27,0,1.69,0,6600,-42
305764,00:33.8,0,0.47,0,1.45,0,,1,0.36,1.56,13,35.77,36.34,38.31,0,1.69,0,6600,-42
306764,00:34.8,0,0.47,0,1.45,0,,1,0.36,1.56,13.01,35.66,36.27,38.24,0,1.69,0,6600,-42
307764,00:35.8,0,0.47,0,1.45,0,,1,0.36,1.56,13,35.66,36.26,38.21,0,1.68,0,6600,-42
308764,00:36.8,0,0.47,0,1.45,0,,1,0.36,1.56,13,35.82,36.3,38.28,0,1.68,0,6600,-42
309764,00:37.8,0,0.47,0,1.46,0,,1,0.36,1.56,12.99,35.7,36.28,38.23,0,1.68,0,6600,-42
310764,00:38.8,0,0.47,0,1.44,0,,1,0.36,1.56,13,35.73,36.27,38.26,0,1.67,0,6600,-42
311764,00:39.8,0,0.47,0,1.45,0,,1,0.36,1.56,13,35.66,36.28,38.2,0,1.68,0,6600,-42
312764,00:40.8,0,0.47,0,1.42,0,,1,0.36,1.56,13.02,35.77,36.3,38.2,0,1.69,0,6600,-42
313764,00:41.8,0,0.47,0,1.47,0,,1,0.36,1.56,12.98,35.77,36.34,38.2,0,1.68,0,6600,-42
314810,00:42.8,0,0.47,0,1.42,0,,1,0.36,1.56,13.02,35.83,36.34,38.26,0,1.67,0,6600,-42
315913,00:43.9,0,0.47,0,1.41,0,,1,0.36,1.56,13.01,35.83,36.34,38.22,0,1.68,0,6600,-42
317019,00:45.0,0,0.47,0,1.38,0,,1,0.36,1.56,12.99,35.77,36.2,38.15,0,1.67,0,6600,-42
318125,00:46.1,0,0.47,0,1.41,0,,1,0.36,1.56,12.99,35.78,36.3,38.13,0,1.67,0,6600,-42
319232,00:47.2,0,0.47,0,1.43,0,,1,0.36,1.56,12.98,35.75,36.21,38.21,0,1.66,0,6600,-42
320338,00:48.3,0,0.47,0,1.42,0,,1,0.36,1.56,13.02,35.87,36.27,38.2,0,1.69,0,6600,-42
321338,00:49.3,0,0.47,0,1.37,0,,1,0.36,1.56,13.01,35.8,36.28,38.21,0,1.67,0,6600,-42
322338,00:50.3,0,0.47,0,1.37,0,,1,0.36,1.56,13,35.8,36.37,38.23,0,1.69,0,6600,-42
323338,00:51.3,0,0.47,0,1.42,0,,1,0.36,1.56,13,35.73,36.28,38.23,0,1.67,0,6600,-42
324338,00:52.3,0,0.47,0,1.35,0,,1,0.36,1.56,12.99,35.77,36.23,38.1,0,1.68,0,6600,-42
325338,00:53.3,0,0.47,0,1.35,0,,1,0.36,1.56,13,35.76,36.2,38.16,0,1.67,0,6600,-42
326338,00:54.3,0,0.47,0,1.41,0,,1,0.36,1.56,12.99,35.71,36.23,38.12,0,1.66,0,6600,-42
327338,00:55.3,0,0.47,0,1.36,0,,1,0.36,1.56,13.01,35.76,36.23,38.06,0,1.66,0,6600,-42
328338,00:56.3,0,0.47,0,1.41,0,,1,0.36,1.56,13,35.76,36.23,38.15,0,1.66,0,6600,-42
329338,00:57.3,0,0.47,0,1.35,0,,1,0.36,1.56,13.01,35.75,36.25,38.06,0,1.66,0,6600,-42
330338,00:58.3,0,0.47,0,1.36,0,,1,0.36,1.56,12.99,35.8,36.23,38.04,0,1.66,0,6600,-42
