 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
0,0,0,0.25,0,1,1.24,0,0,12.35,49.99,42.44,67.98,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.33,49.95,42.52,67.86,0,-0.21,16,10,0
0,0,0,0.28,0,1,1.24,0,0,12.33,50.05,42.5,67.85,0,-0.2,16,10,0
0,0,0,0.28,0,1,1.24,0,0,12.3,49.97,42.44,67.73,0,-0.2,16,10,0
0,0,0,0.28,0,1,1.24,0,0,12.3,49.98,42.53,67.64,0,-0.2,16,10,0
0,0,0,0.28,0,1,1.24,0,0,12.27,49.97,42.5,67.51,0,-0.23,16,10,0
0,0,0,0.28,0,1,1.24,0,0,12.23,50,42.5,67.36,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.24,49.87,42.6,67.29,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.26,49.97,42.51,67.13,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.21,49.84,42.48,67.01,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.24,49.87,42.57,66.95,0,-0.2,16,10,0
0,0,0,0.26,0,1,1.24,0,0,12.22,49.79,42.48,66.84,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.22,49.82,42.52,66.8,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.21,49.81,42.39,66.73,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.2,49.77,42.55,66.56,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.21,49.67,42.48,66.42,0,-0.2,16,10,0
0,0,0,0.26,0,1,1.24,0,0,12.2,49.72,42.48,66.35,0,-0.2,16,10,0
0,0,0,0.26,0,1,1,0,0,12.22,49.67,42.51,66.22,0,-0.21,16,10,0
0,0,0,0.27,0,1,1,0,0,12.26,49.65,42.48,66.21,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.23,49.64,42.48,66.07,0,-0.21,16,10,0
0,0,0,0.27,0,1,1,0,0,12.23,49.58,42.51,65.89,0,-0.23,16,10,0
0,0,1625.15,0.27,0,1,1,0,0.04,12.04,49.64,42.48,65.4,0,-0.2,20,5659.06,0
1.67,0.23,1969.88,0.27,0,1,1,0.01,0.1,12.13,49.63,42.46,83.92,0,-0.21,20,4386.3,0
2.25,0.7,1905.48,0.26,0,1,1,0.01,0.16,12.08,49.64,42.44,115.2,0,-0.2,20,4372.66,0
4.09,1.76,2019.12,0.26,0,1,1,0.02,0.22,12.14,49.57,42.48,140.16,0,-0.19,20,4371.15,0
5.79,3.16,2151.71,0.26,0,1,1,0.02,0.29,12.15,49.48,42.46,156,0,-0.22,20,4369.63,0
7.84,5.27,1818.35,0.26,0,1,1,0.03,0.35,12.15,49.48,42.45,171.8,0,-0.2,20,4325.69,0
9.62,7.72,2064.58,0.25,0,1,1,0.04,0.43,12.14,49.48,42.5,184.2,0,-0.19,20,4264.35,0
11.66,10.77,2708.58,1.47,0,1,1,0.05,0.5,12.14,49.55,42.5,203.26,0,-0.23,20,4225,0
13.46,14.4,2928.3,1.47,0,1,1,0.05,0.6,12.06,49.55,42.62,222.91,0,-0.25,20,4225,0
15.16,18.84,3273.02,1.47,0,1,1,0.06,0.71,12.13,49.54,42.68,239.97,0,-0.22,20,4225,0
17.32,23.99,3549.57,1.47,0,1,1,0.06,0.84,12.12,49.62,42.78,258.69,0,-0.19,20,4225,0
17.65,29.38,1587.5,1.47,0,2,1,0.07,0.95,12.09,49.62,42.73,245.88,0,-0.23,20,6090,0
18.1,34.41,1719.85,1.47,0,2,1,0.07,1.02,12.15,49.67,42.77,226.73,0,-0.23,20,4292.39,0
18.64,39.56,1769.1,1.47,0,2,1,0.08,1.09,12.14,49.73,42.8,225.13,0,-0.21,20,4289.36,0
19.43,44.82,2140.35,1.47,0,2,1,0.08,1.16,12.14,49.77,42.75,230.1,0,-0.23,20,4271.93,0
20.35,50.44,2030.49,1.47,0,2,1.09,0.09,1.24,12.09,49.73,42.86,235.63,0,-0.23,20,4636.22,0
21.62,56.41,2511.59,0.49,0,2,1.8,0.09,1.37,12.07,49.81,43.5,245.01,0,-0.2,20,7633.52,0
22.82,62.61,2413.32,0.25,0,2,1.8,0.09,1.52,12.05,49.91,44.19,252.64,0,-0.23,20,7621.9,0
24.23,69.28,2675,0.25,0,2,1.8,0.09,1.66,12.09,50.02,45.09,259.98,0,-0.21,20,7621.9,0
25.57,76.19,2954.55,0.25,0,2,1.8,0.09,1.81,12.08,50.02,45.57,268.16,0,-0.27,20,7621.9,0
27.02,83.68,3113.64,0.36,0,2,1.49,0.09,1.96,12.09,50.09,46.09,274.79,0,-0.19,20,6307.93,0
28.44,91.4,3212.41,0.58,0,2,1.49,0.1,2.1,12.08,50.24,46.4,289.52,0,-0.21,20,6307.93,0
30.2,100.3,3443.49,0.59,0,2,1.49,0.1,2.26,12.08,50.45,47,304.88,0,-0.25,20,6307.93,0
31.89,109.9,3553.35,0.62,0,2,1.49,0.1,2.44,12.06,50.56,47.37,317.33,0,-0.22,20,6307.93,0
33.61,120.08,3644.27,0.52,0,2,1.49,0.1,2.63,12.12,50.74,47.73,326.89,0,-0.23,20,6307.93,0
35.39,130.73,3826.11,0.52,0,2,1.49,0.1,2.82,12.1,50.97,48.05,336.61,0,-0.22,20,6387.46,0
37.06,141.96,4091.28,0.55,0,2,1.49,0.1,3.03,12.09,51.16,48.3,346.62,0,-0.22,20,6560.49,0
36.37,153.2,2000.36,1.47,0,2,1.49,0.11,3.2,12.14,51.44,48.57,314.54,0,-0.21,16,6375.73,0
36,164.32,833.01,1.47,0,2,1.49,0.11,3.25,12.14,51.73,48.9,265.49,0,-0.23,16,52.26,0
34.9,174.97,0,1.47,0,2,1.49,0.12,3.25,12.17,52.02,49.38,247.43,0,-0.24,16,0,0
34.99,185.73,0,1.47,0,2,1.49,0.13,3.25,12.17,52.29,49.66,234.87,0,-0.23,16,0,0
