OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
810.00,1970-00-00 00:00:00.810,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,12.42,0.00,0.00,0.00,0.00,-0.62,0.07,17.00,10.00,0.00
915.00,1970-00-00 00:00:00.915,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.42,0.00,0.00,0.00,0.00,-0.62,0.07,17.00,10.00,0.00
1015.00,1970-01-01 00:00:01.015,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.39,0.00,0.00,0.00,0.00,-0.63,0.07,17.00,10.00,0.00
1115.00,1970-01-01 00:00:01.115,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.25,53.35,70.24,0.00,0.00,-0.62,0.07,17.00,10.00,0.00
1215.00,1970-01-01 00:00:01.215,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.36,53.35,70.24,0.00,0.00,-0.62,0.07,17.00,10.00,0.00
1315.00,1970-01-01 00:00:01.315,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.40,53.35,70.24,0.00,0.00,-0.61,0.08,17.00,10.00,0.00
1415.00,1970-01-01 00:00:01.415,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.27,53.34,70.31,0.00,0.00,-0.58,0.07,17.00,10.00,0.00
1533.00,1970-01-01 00:00:01.533,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.27,53.34,70.31,0.00,0.00,-0.64,0.08,17.00,10.00,0.00
1633.00,1970-01-01 00:00:01.633,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.39,53.38,70.25,0.00,0.00,-0.64,0.07,17.00,10.00,0.00
1788.00,1970-01-01 00:00:01.788,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.27,53.38,70.25,0.00,0.00,-0.62,0.08,17.00,10.00,0.00
1888.00,1970-01-01 00:00:01.888,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.26,53.39,70.30,0.00,0.00,-0.62,0.07,17.00,10.00,0.00
1988.00,1970-01-01 00:00:01.988,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.36,53.39,70.30,0.00,0.00,-0.62,0.08,17.00,10.00,0.00
2094.00,1970-01-01 00:00:02.094,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.26,53.39,70.30,0.00,0.00,-0.59,0.08,17.00,10.00,0.00
2285.00,1970-01-01 00:00:02.285,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.39,53.37,70.18,0.00,0.00,-0.58,0.08,17.00,10.00,0.00
2439.00,1970-01-01 00:00:02.439,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.26,53.34,70.20,0.00,0.00,-0.67,0.05,17.00,10.00,0.00
2609.00,1970-01-01 00:00:02.609,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.38,53.34,70.20,0.00,0.00,-0.64,0.08,17.00,10.00,0.00
2766.00,1970-01-01 00:00:02.766,0.00,0.00,0.00,0.29,0.00,1.00,1.00,0.00,0.00,12.23,53.32,70.25,0.00,0.00,-0.60,0.08,17.00,10.00,0.00
2937.00,1970-01-01 00:00:02.937,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.37,53.32,70.25,0.00,0.00,-0.66,0.08,17.00,10.00,0.00
3112.00,1970-01-01 00:00:03.112,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.35,53.34,70.23,0.00,0.00,-0.69,0.05,17.00,10.00,0.00
3212.00,1970-01-01 00:00:03.212,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.25,53.34,70.23,0.00,0.00,-0.63,0.07,17.00,10.00,0.00
3312.00,1970-01-01 00:00:03.312,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.34,53.34,70.23,0.00,0.00,-0.61,0.07,17.00,10.00,0.00
3412.00,1970-01-01 00:00:03.412,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.17,53.30,70.20,0.00,0.00,-0.65,0.07,17.00,10.00,0.00
3512.00,1970-01-01 00:00:03.512,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.25,53.30,70.20,0.00,0.00,-0.56,0.07,17.00,10.00,0.00
3612.00,1970-01-01 00:00:03.612,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.33,53.30,70.20,0.00,0.00,-0.63,0.07,17.00,10.00,0.00
3786.00,1970-01-01 00:00:03.786,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.18,53.39,70.20,0.00,0.00,-0.62,0.08,17.00,10.00,0.00
3886.00,1970-01-01 00:00:03.886,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.20,53.41,70.13,0.00,0.00,-0.64,0.07,17.00,10.00,0.00
3986.00,1970-01-01 00:00:03.986,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.23,53.41,70.13,0.00,0.00,-0.61,0.07,17.00,10.00,0.00
4086.00,1970-01-01 00:00:04.086,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.30,53.41,70.13,0.00,0.00,-0.67,0.07,17.00,10.00,0.00
4196.00,1970-01-01 00:00:04.196,0.00,0.00,0.00,0.29,0.00,1.00,1.00,0.00,0.00,12.16,53.33,70.16,0.00,0.00,-0.57,0.08,17.00,10.00,0.00
4296.00,1970-01-01 00:00:04.296,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.32,53.33,70.16,0.00,0.00,-0.58,0.04,17.00,10.00,0.00
4441.00,1970-01-01 00:00:04.441,0.00,0.00,0.00,0.29,0.00,1.00,1.00,0.00,0.00,12.18,53.33,70.16,0.00,0.00,-0.64,0.05,17.00,10.00,0.00
4541.00,1970-01-01 00:00:04.541,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.13,53.32,70.18,0.00,0.00,-0.52,0.07,17.00,10.00,0.00
4680.00,1970-01-01 00:00:04.680,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.13,53.32,70.18,0.00,0.00,-0.56,0.07,17.00,10.00,0.00
4780.00,1970-01-01 00:00:04.780,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.32,53.32,70.15,0.00,0.00,-0.65,0.07,17.00,10.00,0.00
4921.00,1970-01-01 00:00:04.921,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.24,53.32,70.15,0.00,0.00,-0.61,0.07,17.00,10.00,0.00
5021.00,1970-01-01 00:00:05.021,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.27,53.30,70.15,0.00,0.00,-0.56,0.08,17.00,10.00,0.00
5197.00,1970-01-01 00:00:05.197,0.00,0.00,0.00,0.29,0.00,1.00,1.00,0.00,0.00,12.22,53.30,70.15,0.00,0.00,-0.60,0.07,17.00,10.00,0.00
5297.00,1970-01-01 00:00:05.297,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.21,53.33,70.04,0.00,0.00,-0.67,0.04,17.00,10.00,0.00
5473.00,1970-01-01 00:00:05.473,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.27,53.33,70.04,0.00,0.00,-0.68,0.04,17.00,10.00,0.00
5573.00,1970-01-01 00:00:05.573,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.25,53.30,70.08,0.00,0.00,-0.58,0.07,17.00,10.00,0.00
5755.00,1970-01-01 00:00:05.755,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.26,53.30,70.08,0.00,0.00,-0.63,0.07,17.00,10.00,0.00
5855.00,1970-01-01 00:00:05.855,0.00,0.00,0.00,0.27,0.00,1.00,1.00,0.00,0.00,12.11,53.30,70.10,0.00,0.00,-0.62,0.08,17.00,10.00,0.00
5955.00,1970-01-01 00:00:05.955,0.00,0.00,0.00,0.26,0.00,1.00,1.00,0.00,0.00,12.25,53.30,70.10,0.00,0.00,-0.65,0.07,17.00,10.00,0.00
6079.00,1970-01-01 00:00:06.079,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.13,53.23,70.02,0.00,0.00,-0.52,0.08,17.00,10.00,0.00
6179.00,1970-01-01 00:00:06.179,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.10,53.23,70.02,0.00,0.00,-0.59,0.07,17.00,10.00,0.00
6279.00,1970-01-01 00:00:06.279,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.27,53.23,70.02,0.00,0.00,-0.64,0.07,17.00,10.00,0.00
6444.00,1970-01-01 00:00:06.444,0.00,0.00,0.00,0.25,0.00,1.00,1.00,0.00,0.00,12.15,53.27,69.97,0.00,0.00,-0.63,0.08,17.00,10.00,0.00
6544.00,1970-01-01 00:00:06.544,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.16,53.27,69.97,0.00,0.00,-0.61,0.05,17.00,10.00,0.00
6644.00,1970-01-01 00:00:06.644,0.00,0.00,0.00,0.28,0.00,1.00,1.00,0.00,0.00,12.21,53.23,69.97,0.00,0.00,-0.64,0.05,17.00,10.00,0.00
