OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1115.00,1970-01-01 00:00:01.115,24.97,5.15,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.41,44.52,63.81,-0.01,-0.63,-0.01,17.00,10.00,0.00,0.00
2233.00,1970-01-01 00:00:02.233,25.68,13.11,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.40,44.53,63.81,-0.01,-0.56,0.02,17.00,10.00,0.00,0.00
3351.00,1970-01-01 00:00:03.351,25.53,21.07,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.37,44.53,63.79,-0.01,-0.29,0.04,17.00,10.00,0.00,0.00
4469.00,1970-01-01 00:00:04.469,25.37,28.91,0.00,0.81,0.00,2.00,1.00,999.00,0.00,12.33,44.57,63.83,-0.01,-0.00,0.46,17.00,10.00,0.00,0.00
5581.00,1970-01-01 00:00:05.581,24.33,36.51,0.00,0.82,0.00,2.00,1.00,999.00,0.00,12.33,44.48,63.74,-0.01,2.73,3.03,17.00,10.00,0.00,0.00
6581.00,1970-01-01 00:00:06.581,20.18,42.60,0.00,0.80,0.00,2.00,1.00,999.00,0.00,12.32,44.50,63.72,-0.01,7.83,7.51,17.00,10.00,0.00,0.00
7581.00,1970-01-01 00:00:07.581,13.09,46.81,0.00,0.82,0.00,2.00,1.00,999.00,0.00,12.30,44.55,63.67,-0.01,8.94,8.32,17.00,10.00,0.00,0.00
8581.00,1970-01-01 00:00:08.581,5.80,49.04,0.00,0.82,0.00,1.00,1.00,999.00,0.00,12.27,44.45,63.56,-0.01,7.33,7.31,17.00,10.00,0.00,0.00
9581.00,1970-01-01 00:00:09.581,1.78,49.51,0.00,0.80,0.00,1.00,1.00,999.00,0.00,12.19,44.45,63.67,-0.01,5.26,5.91,17.00,10.00,0.00,0.00
10479.00,1970-01-01 00:00:10.479,0.00,49.51,0.00,0.81,0.00,1.00,1.00,999.00,0.00,12.25,44.50,63.54,-0.01,-0.67,-0.08,21.00,10.00,0.00,1.00
10579.00,1970-01-01 00:00:10.579,0.00,49.51,0.00,0.81,1.00,1.00,1.00,999.00,0.00,10.02,44.48,63.60,-0.01,-0.61,-0.11,23.00,10.00,0.00,1.00
10679.00,1970-01-01 00:00:10.679,0.00,49.51,11.33,0.81,1.00,1.00,1.00,999.00,0.01,10.66,44.48,63.60,-0.01,-0.77,-0.25,23.00,6006.00,-20.00,1.00
10779.00,1970-01-01 00:00:10.779,0.00,49.51,754.22,0.80,1.00,1.00,1.00,999.00,0.01,11.37,44.48,63.60,-0.01,-0.65,-0.11,23.00,6006.00,-33.00,1.00
10879.00,1970-01-01 00:00:10.879,0.00,49.51,1244.43,0.82,0.00,1.00,1.00,999.00,0.02,11.69,44.44,63.60,-0.01,-0.66,-0.06,21.00,6006.00,-42.00,1.00
10979.00,1970-01-01 00:00:10.979,0.00,49.51,1728.53,0.80,0.00,1.00,1.00,999.00,0.02,12.16,44.44,63.60,-0.01,-0.68,-0.09,21.00,5456.97,-56.00,1.00
11153.00,1970-01-01 00:00:11.153,0.00,49.51,1857.04,0.80,0.00,1.00,1.00,999.00,0.04,12.15,44.46,63.48,-0.01,-0.68,-0.04,21.00,5448.26,-62.00,1.00
11253.00,1970-01-01 00:00:11.253,0.00,49.51,1870.76,0.81,0.00,1.00,1.00,787.47,0.05,12.17,44.46,63.48,-0.01,-0.69,-0.09,21.00,5453.75,-62.00,1.00
11353.00,1970-01-01 00:00:11.353,0.00,49.51,1871.64,0.81,0.00,1.00,1.00,710.63,0.05,12.20,44.46,63.48,-0.01,-0.68,-0.07,21.00,5454.10,-62.00,1.00
11453.00,1970-01-01 00:00:11.453,0.00,49.51,1869.68,0.81,0.00,1.00,1.00,594.59,0.06,12.18,44.48,63.48,-0.01,-0.69,-0.06,21.00,5453.32,-62.00,1.00
11553.00,1970-01-01 00:00:11.553,1.36,49.62,1861.74,0.82,0.00,1.00,1.00,551.04,0.07,12.20,44.48,63.48,-0.01,-0.65,-0.07,21.00,5450.14,-62.00,1.00
11653.00,1970-01-01 00:00:11.653,1.36,49.62,1856.01,0.82,0.00,1.00,1.00,478.82,0.08,12.19,44.48,63.48,-0.01,-0.66,-0.06,21.00,5447.84,-62.00,1.00
11753.00,1970-01-01 00:00:11.753,1.55,49.74,1851.91,0.80,0.00,1.00,1.00,450.44,0.08,12.21,44.39,63.48,-0.01,-0.65,-0.06,21.00,5446.20,-62.00,1.00
11853.00,1970-01-01 00:00:11.853,1.55,49.74,1862.49,0.80,0.00,1.00,1.00,401.09,0.09,12.13,44.39,63.48,-0.01,-0.65,-0.06,21.00,5450.44,-62.00,1.00
11953.00,1970-01-01 00:00:11.953,1.90,49.86,1853.65,0.81,0.00,1.00,1.00,362.35,0.10,12.20,44.47,63.52,-0.01,-0.69,-0.06,21.00,5446.90,-62.00,1.00
12053.00,1970-01-01 00:00:12.053,1.90,49.86,1854.74,0.82,0.00,1.00,1.00,345.31,0.11,12.23,44.47,63.52,-0.01,-0.67,-0.06,21.00,5447.34,-62.00,1.00
12153.00,1970-01-01 00:00:12.153,2.25,49.97,1842.36,0.82,0.00,1.00,1.00,316.38,0.12,12.21,44.47,63.52,-0.01,-0.69,-0.06,21.00,5442.38,-61.00,1.00
12284.00,1970-01-01 00:00:12.284,2.57,50.09,1851.59,0.81,0.00,1.00,1.00,292.02,0.13,12.21,44.44,63.52,-0.01,-0.73,-0.06,21.00,5446.08,-62.00,1.00
12384.00,1970-01-01 00:00:12.384,2.87,50.21,1861.94,0.82,0.00,1.00,1.00,281.55,0.13,12.24,44.44,63.52,-0.01,-0.68,-0.07,21.00,5450.22,-62.00,1.00
12484.00,1970-01-01 00:00:12.484,2.87,50.21,1824.40,0.82,0.00,1.00,1.00,261.65,0.14,12.21,44.44,63.52,-0.01,-0.65,-0.06,21.00,5435.19,-59.00,1.00
12584.00,1970-01-01 00:00:12.584,3.13,50.32,1853.48,0.81,0.00,1.00,1.00,253.29,0.15,12.23,44.39,63.52,-0.01,-0.65,-0.08,21.00,5446.83,-62.00,1.00
12684.00,1970-01-01 00:00:12.684,3.39,50.44,1847.66,0.82,0.00,1.00,1.00,237.64,0.16,12.22,44.39,63.52,-0.01,-0.67,-0.07,21.00,5444.50,-61.00,1.00
12784.00,1970-01-01 00:00:12.784,3.62,50.56,1836.72,0.82,0.00,1.00,1.00,230.81,0.16,12.22,44.39,63.52,-0.01,-0.69,-0.05,21.00,5440.12,-61.00,1.00
12884.00,1970-01-01 00:00:12.884,3.84,50.68,1796.78,0.82,0.00,1.00,1.00,217.88,0.17,12.24,44.39,63.52,-0.01,-0.66,-0.07,21.00,5424.13,-58.00,1.00
12984.00,1970-01-01 00:00:12.984,4.04,50.79,1817.33,0.81,0.00,1.00,1.00,212.20,0.18,12.23,44.39,63.52,-0.01,-0.69,-0.07,21.00,5432.36,-59.00,1.00
13084.00,1970-01-01 00:00:13.084,4.24,50.91,1843.71,0.82,0.00,1.00,1.00,201.28,0.19,12.19,44.37,63.52,-0.01,-0.66,-0.06,21.00,5442.92,-61.00,1.00
13184.00,1970-01-01 00:00:13.184,4.64,51.14,1830.55,0.82,0.00,1.00,1.00,196.93,0.19,12.24,44.37,63.52,-0.01,-0.68,-0.05,21.00,5437.65,-60.00,1.00
13409.00,1970-01-01 00:00:13.409,5.02,51.38,1816.83,0.80,0.00,1.00,1.00,179.13,0.21,12.19,44.47,63.44,-0.01,-0.64,-0.05,21.00,5432.16,-59.00,1.00
13509.00,1970-01-01 00:00:13.509,5.31,51.61,1814.36,0.80,0.00,1.00,1.00,175.80,0.22,12.23,44.47,63.44,-0.01,-0.66,-0.06,21.00,5431.17,-59.00,1.00
13609.00,1970-01-01 00:00:13.609,5.47,51.73,1823.57,0.81,0.00,1.00,1.00,168.42,0.23,12.20,44.47,63.44,-0.01,-0.66,-0.05,21.00,5434.86,-59.00,1.00
13709.00,1970-01-01 00:00:13.709,5.76,51.96,1822.96,0.81,0.00,1.00,1.00,165.53,0.23,12.23,44.46,63.44,-0.01,-0.66,-0.06,21.00,5434.61,-59.00,1.00
13809.00,1970-01-01 00:00:13.809,5.91,52.08,1835.68,0.81,0.00,1.00,1.00,159.03,0.24,12.24,44.46,63.44,-0.01,-0.67,-0.05,21.00,5439.70,-61.00,1.00
13909.00,1970-01-01 00:00:13.909,6.19,52.31,1822.19,0.82,0.00,1.00,1.00,156.51,0.25,12.25,44.46,63.44,-0.01,-0.64,-0.06,21.00,5434.30,-59.00,1.00
14009.00,1970-01-01 00:00:14.009,6.30,52.43,1804.62,0.82,0.00,1.00,1.00,150.75,0.26,12.23,44.37,63.44,-0.01,-0.67,-0.06,21.00,5427.27,-59.00,1.00
14109.00,1970-01-01 00:00:14.109,6.54,52.67,1813.70,0.82,0.00,1.00,1.00,148.53,0.26,12.23,44.37,63.44,-0.01,-0.67,-0.05,21.00,5430.91,-59.00,1.00
14209.00,1970-01-01 00:00:14.209,6.66,52.78,1835.87,0.82,0.00,1.00,1.00,143.37,0.27,12.23,44.50,63.45,-0.01,-0.67,-0.06,21.00,5439.78,-61.00,1.00
14309.00,1970-01-01 00:00:14.309,6.94,53.02,1859.74,0.81,0.00,1.00,1.00,138.88,0.28,12.25,44.50,63.45,-0.01,-0.63,-0.04,21.00,5449.34,-62.00,1.00
14535.00,1970-01-01 00:00:14.535,7.39,53.48,1894.72,0.82,0.00,1.00,1.00,133.01,0.30,12.23,44.37,63.45,-0.01,-0.67,-0.05,21.00,5463.34,-64.00,1.00
14635.00,1970-01-01 00:00:14.635,7.59,53.72,1890.33,0.81,0.00,1.00,1.00,129.22,0.31,12.24,44.37,63.45,-0.01,-0.65,-0.05,21.00,5461.59,-64.00,1.00
14735.00,1970-01-01 00:00:14.735,7.80,53.95,1936.42,0.82,0.00,1.00,1.00,127.68,0.31,12.25,44.37,63.45,-0.01,-0.65,-0.06,21.00,5480.04,-66.00,1.00
14835.00,1970-01-01 00:00:14.835,8.02,54.19,1948.49,0.81,0.00,1.00,1.00,124.22,0.32,12.20,44.42,63.47,-0.01,-0.71,-0.08,21.00,5484.88,-67.00,1.00
14935.00,1970-01-01 00:00:14.935,8.19,54.42,1992.53,0.82,0.00,1.00,1.00,120.96,0.34,12.24,44.42,63.47,-0.01,-0.66,-0.05,21.00,5502.51,-69.00,1.00
15035.00,1970-01-01 00:00:15.035,8.39,54.66,2029.39,0.81,0.00,1.00,1.00,119.67,0.34,12.24,44.42,63.47,-0.01,-0.68,-0.05,21.00,5470.19,-71.00,1.00
