 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
0,0,0,0.25,0,1,1.28,0,0,12.17,52.63,41.2,96.86,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.1,52.68,41.23,96.63,0,-0.23,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.21,52.61,41.3,96.45,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.15,52.59,41.25,96.2,0,-0.21,16,10,0
0,0,0,0.26,0,1,1.28,0,0,12.17,52.55,41.34,95.99,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.08,52.56,41.31,95.98,0,-0.27,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.05,52.54,41.36,95.66,0,-0.22,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.13,52.5,41.28,95.4,0,-0.37,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.18,52.49,41.18,95.2,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.14,52.4,41.23,95.05,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.11,52.42,41.34,94.84,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.1,52.36,41.28,94.69,0,-0.26,16,10,0
0,0,0,0.26,0,1,1.28,0,0,12.21,52.43,41.32,94.5,0,-0.29,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.16,52.34,41.28,94.34,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.13,52.36,41.28,94.13,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.17,52.33,41.26,93.87,0,-0.3,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.08,52.34,41.38,93.77,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.15,52.27,41.19,93.55,0,-0.36,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.09,52.22,41.28,93.41,0,-0.29,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.18,52.24,41.3,93.16,0,-0.23,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.05,52.18,41.26,92.98,0,-0.22,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.18,52.23,41.3,92.8,0,-0.36,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.2,52.2,41.23,92.63,0,-0.2,16,10,0
0,0,10839.09,1.47,0,1,1.28,0,0.02,11.81,52.09,41.26,93.11,0,-0.21,20,8953,0
0,0,2178.23,1.47,0,1,1.28,0,0.07,12.01,52.11,41.2,99.13,0,-0.18,20,5575.19,0
1.71,0.44,1837.29,1.47,0,1,1.28,0.01,0.15,12.03,52.09,41.16,136.27,0,-0.21,20,5551.94,0
3.37,1.23,2038.06,1.47,0,1,1.28,0.01,0.23,12.06,52,41.19,164.91,0,-0.21,20,5559.69,0
5.08,2.55,1746.69,1.04,0,1,1.28,0.02,0.31,12.07,52.07,41.23,182.02,0,-0.22,20,5561.63,0
6.89,4.3,2253.99,1.18,0,1,1.28,0.02,0.39,12.03,51.95,41.21,200.59,0,-0.23,20,5461.91,0
8.93,6.58,2837.38,1.15,0,1,1.28,0.03,0.49,12.07,52.02,41.25,215.73,0,-0.25,20,5403.78,0
11.15,9.48,3197.26,1.42,0,1,1.28,0.03,0.62,12.07,51.98,41.38,238.63,0,-0.22,20,5403.78,0
13.53,12.99,3829.89,1.32,0,1,1.28,0.04,0.77,12.07,52,41.52,265.27,0,-0.24,20,5570.59,0
