 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
0,0,0,0.25,0,1,1,0,0,12.3,35.03,35.67,31.06,0,-0.2,16,10,0
0,0,0,0.25,0,1,1,0,0,12.3,35.02,35.69,31.06,0,-0.21,16,10,0
0,0,0,0.27,0,1,1,0,0,12.29,35.1,35.67,31.09,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.26,35.1,35.71,31.05,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.25,35.02,35.76,31.1,0,-0.2,16,10,0
0,0,0,0.25,0,1,1,0,0,12.24,35.05,35.76,31,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.25,35.08,35.73,30.98,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.26,35.06,35.73,31.02,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.24,35.01,35.73,30.99,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.24,35.09,35.73,30.95,0,-0.2,16,10,0
0,0,0,0.26,0,1,1,0,0,12.22,34.99,35.64,30.97,0,-0.21,16,10,0
0,0,0,0.27,0,1,1,0,0,12.23,35.03,35.67,30.93,0,-0.2,16,10,0
0,0,0,0.25,0,1,1,0,0,12.26,34.98,35.64,30.97,0,-0.21,16,10,0
0,0,0,0.27,0,1,1,0,0,12.27,35.04,35.69,30.99,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.27,34.99,35.65,30.97,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.25,35.06,35.65,30.95,0,-0.2,16,10,0
0,0,0,0.27,0,1,1,0,0,12.24,34.96,35.59,30.98,0,-0.21,16,10,0
0,0,0,0.25,0,1,1,0,0,12.23,35.01,35.63,30.91,0,-0.21,16,10,0
0,0,0,0.27,0,1,1,0,0,12.26,35.01,35.67,30.95,0,-0.2,16,10,0
