OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C), Air Temperature (C), Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle
4335.00,1970-01-01 00:00:04.335,5.03,6.50,0.00,0.26,0.00,1.00,1.00,999.00,0.00,12.27,47.20,50.56,1372.05,0.00,-0.51,0.06,17.00,10.00,0.00
4435.00,1970-01-01 00:00:04.435,5.05,6.61,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.24,47.24,50.54,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
4535.00,1970-01-01 00:00:04.535,5.04,6.73,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.21,47.24,50.54,1372.05,0.00,-0.57,0.06,17.00,10.00,0.00
4635.00,1970-01-01 00:00:04.635,5.01,6.85,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.26,47.24,50.54,1372.05,0.00,-0.56,0.06,17.00,10.00,0.00
4735.00,1970-01-01 00:00:04.735,4.90,7.02,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.25,47.24,50.63,1372.05,0.00,-0.59,0.06,17.00,10.00,0.00
4835.00,1970-01-01 00:00:04.835,4.91,7.14,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.25,47.24,50.63,1372.05,0.00,-0.53,0.06,17.00,10.00,0.00
4935.00,1970-01-01 00:00:04.935,5.01,7.31,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.22,47.22,50.63,1372.05,0.00,-0.58,0.07,17.00,10.00,0.00
5035.00,1970-01-01 00:00:05.035,5.01,7.43,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.25,47.22,50.63,1372.05,0.00,-0.50,0.06,17.00,10.00,0.00
5135.00,1970-01-01 00:00:05.135,5.02,7.55,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.23,47.22,50.63,1372.05,0.00,-0.55,0.06,17.00,10.00,0.00
5235.00,1970-01-01 00:00:05.235,4.96,7.67,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.21,47.25,50.59,1372.05,0.00,-0.57,0.07,17.00,10.00,0.00
5335.00,1970-01-01 00:00:05.335,4.82,7.84,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.27,47.25,50.59,1372.05,0.00,-0.54,0.07,17.00,10.00,0.00
5435.00,1970-01-01 00:00:05.435,4.79,7.96,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.19,47.23,50.70,1372.05,0.00,-0.60,0.06,17.00,10.00,0.00
5535.00,1970-01-01 00:00:05.535,4.75,8.08,0.00,0.27,0.00,1.00,1.00,999.00,0.00,12.25,47.23,50.70,1372.05,0.00,-0.53,0.06,17.00,10.00,0.00
5635.00,1970-01-01 00:00:05.635,4.85,8.25,0.00,0.25,0.00,1.00,1.00,999.00,0.00,12.24,47.23,50.70,1372.05,0.00,-0.56,0.07,17.00,10.00,0.00
