 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
0,0,0,0.25,0,1,1.28,0,0,12.16,47.6,39.62,67.8,0,-0.24,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.25,47.63,39.66,67.76,0,-0.35,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.18,47.56,39.57,67.63,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.13,47.57,39.63,67.55,0,-0.22,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.21,47.52,39.69,67.41,0,-0.35,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.21,47.54,39.58,67.29,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.18,47.45,39.58,67.04,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.13,47.43,39.58,67.08,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.1,47.48,39.63,66.83,0,-0.25,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.18,47.48,39.62,66.8,0,-0.32,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.18,47.34,39.55,66.66,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.12,47.32,39.58,66.52,0,-0.22,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.14,47.31,39.6,66.48,0,-0.31,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.19,47.25,39.53,66.38,0,-0.23,16,10,0
0,0,0,0.26,0,1,1.28,0,0,12.2,47.27,39.59,66.3,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.17,47.23,39.58,66.17,0,-0.21,16,10,0
0,0,0,0.27,0,1,1.28,0,0,12.1,47.23,39.62,65.97,0,-0.22,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.21,47.16,39.55,65.92,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.28,0,0,12.21,47.12,39.64,65.79,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.18,47.11,39.64,65.6,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.16,47.09,39.62,65.52,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.11,47.09,39.66,65.4,0,-0.24,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.19,47.04,39.58,65.29,0,-0.35,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.18,47.06,39.6,65.2,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.18,47.02,39.6,65,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.15,47.02,39.55,64.88,0,-0.22,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.13,47,39.58,64.85,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.15,47.06,39.62,64.7,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.1,46.94,39.57,64.59,0,-0.22,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.18,46.93,39.6,64.45,0,-0.37,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.21,46.94,39.55,64.41,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.19,46.96,39.63,64.34,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.18,46.91,39.55,64.16,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.28,0,0,12.13,46.88,39.55,64.09,0,-0.21,16,10,0
1.98,0.12,1791.83,1.47,0,1,1.28,0,0.07,12.05,46.84,39.63,70.53,0,-0.27,20,5606.2,0
1.67,0.47,1750,1.47,0,1,1.28,0.01,0.15,12.07,46.84,39.58,99.41,0,-0.28,20,5555.81,0
3.81,1.4,1829.71,1.47,0,1,1.28,0.01,0.22,12.09,46.81,39.51,132.84,0,-0.23,20,5565.78,0
5.9,2.81,1878.96,1.47,0,1,1.28,0.02,0.31,12.05,46.81,39.57,157.11,0,-0.24,20,5561.63,0
8.25,5.03,2004.17,1.24,0,1,1.28,0.03,0.39,12.06,46.79,39.51,171.5,0,-0.23,20,5498.63,0
11.01,7.84,2610.32,1.17,0,1,1.28,0.04,0.48,12.07,46.73,39.62,192.03,0,-0.19,20,5403.78,0
13.81,11.35,2913.14,1.47,0,1,1.28,0.04,0.6,12.04,46.77,39.62,211.84,0,-0.22,20,5403.78,0
16.79,15.8,3545.83,1.17,0,1,1.28,0.05,0.74,12.01,46.76,39.62,240.48,0,-0.24,20,5403.78,0
17.58,20.83,2117.62,1.47,0,2,1.28,0.05,0.87,12.09,46.76,39.58,258.05,0,-0.31,20,5438.95,0
18.51,26.1,2219.9,1.47,0,2,1.28,0.06,0.95,12.12,46.74,39.7,222.39,0,-0.21,20,5460.89,0
19.43,31.37,2473.71,1.47,0,2,1.28,0.07,1.04,12.11,46.76,39.7,229.09,0,-0.25,20,5446.41,0
20.74,37.45,2344.91,1.3,0,2,1.28,0.07,1.15,12.11,46.87,39.64,237.7,0,-0.28,20,5414.41,0
22.03,44.12,2685.85,1.06,0,2,1.28,0.08,1.26,12.06,47,39.62,246.95,0,-0.26,20,5412.3,0
23.41,51.14,2772.98,1.08,0,2,1.28,0.08,1.37,12.06,47.11,39.8,257.15,0,-0.23,20,5403.78,0
24.97,58.75,2447.19,1.17,0,2,1.28,0.09,1.5,12.11,47.34,40.15,266.17,0,-0.24,20,5403.78,0
26.3,66.71,2814.39,1.21,0,2,1.28,0.09,1.63,12.13,47.38,40.78,274.39,0,-0.21,20,5403.78,0
27.82,75.14,3000.55,1.3,0,2,1.28,0.09,1.76,12.15,47.52,41.85,283.18,0,-0.19,20,5403.78,0
29.48,83.91,3072.25,1.2,0,2,1.28,0.1,1.9,12.14,47.61,42.91,292.1,0,-0.25,20,5403.78,0
29.64,93.16,1761.36,1.47,0,2,1.28,0.1,2.04,12.15,48.01,43.51,285.57,0,-0.25,16,5621.79,0
29.27,102.17,10804.01,1.47,0,2,1.28,0.11,2.07,12.17,48.14,44.67,242.08,0,-0.24,16,0,0
28.83,110.95,0,1.47,0,2,1.28,0.12,2.07,12.17,48.5,45.65,224.46,0,-0.24,16,0,0
28.44,119.73,0,1.47,0,2,1.28,0.13,2.07,12.19,48.66,46.11,211.33,0,-0.24,16,0,0
28.01,128.27,0,1.47,0,2,1.28,0.14,2.07,12.2,48.95,46.36,200.63,0,-0.22,16,0,0
27.54,136.7,0,1.47,0,2,1.28,0.14,2.07,12.2,49.26,46.53,191.68,0,-0.23,16,0,0
27.29,145.12,0,1.47,0,2,1.28,0.15,2.07,12.17,49.45,46.69,184.05,0,-0.25,16,0,0
26.75,153.32,0,1.47,0,2,1.28,0.16,2.07,12.2,49.63,46.86,177.59,0,-0.22,16,0,0
26.37,160.69,0,1.47,0,2,1.28,0.17,2.07,12.2,49.8,46.94,172.81,0,-0.22,16,0,0
25.93,167.94,0,1.47,0,2,1.28,0.18,2.07,12.2,50.11,47.02,167.14,0,-0.23,16,0,0
25.55,175.08,0,1.47,0,2,1.28,0.19,2.07,12.19,50.2,47.13,163.34,0,-0.24,16,0,0
25.2,182.11,0,1.47,0,2,1.28,0.19,2.07,12.18,50.42,47.34,158.77,0,-0.24,16,0,0
24.78,189.01,0,1.47,0,2,1.28,0.2,2.07,12.21,50.5,47.48,154.7,0,-0.23,16,0,0
24.4,195.8,0,1.47,0,2,1.28,0.21,2.07,12.2,50.67,47.38,151.66,0,-0.24,16,0,0
23.91,202.47,0,1.47,0,2,1.28,0.21,2.07,12.2,50.83,47.34,148,0,-0.23,16,0,0
23.54,209.02,0,1.47,0,2,1.28,0.22,2.07,12.21,50.9,47.06,144.69,0,-0.24,16,0,0
23.21,215.46,0,1.47,0,2,1.28,0.23,2.07,12.2,51.02,46.91,142.38,0,-0.24,16,0,0
22.84,221.9,0,1.47,0,2,1.28,0.24,2.07,12.2,51.07,46.7,139.58,0,-0.22,16,0,0
22.39,228.1,0,1.47,0,2,1.28,0.24,2.07,12.2,51.19,46.38,136.85,0,-0.23,16,0,0
22.02,234.89,0,1.47,0,2,1.28,0.25,2.07,12.19,51.26,46.23,134.4,0,-0.23,16,0,0
