OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1097.00,1970-01-01 00:00:01.097,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.37,39.99,54.28,-0.01,-0.67,-0.04,17.00,10.00,0.00,0.00
2193.00,1970-01-01 00:00:02.193,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.37,40.09,54.25,-0.01,-0.68,-0.04,17.00,10.00,0.00,0.00
3280.00,1970-01-01 00:00:03.280,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.37,40.14,54.30,-0.01,-0.66,-0.04,17.00,10.00,0.00,0.00
3380.00,1970-01-01 00:00:03.380,0.00,0.00,0.00,0.80,1.00,1.00,1.00,0.00,0.00,9.86,40.14,54.30,-0.01,-0.72,-0.04,23.00,10.00,0.00,1.00
3480.00,1970-01-01 00:00:03.480,0.00,0.00,0.00,0.81,1.00,1.00,1.00,0.00,0.00,10.92,40.14,54.30,-0.01,-0.73,-0.07,23.00,10.00,0.00,1.00
3580.00,1970-01-01 00:00:03.580,0.00,0.00,34.39,0.81,1.00,1.00,1.00,0.00,0.01,11.16,40.13,54.25,-0.01,-0.68,-0.06,23.00,6006.00,-20.00,1.00
3680.00,2019-05-24 14:13:23.680,0.00,0.00,1004.91,0.81,1.00,1.00,1.00,0.00,0.01,11.61,40.13,54.25,-0.01,-0.63,-0.05,23.00,6006.00,-38.00,1.00
3780.00,2019-05-24 14:13:23.780,0.00,0.00,1639.55,0.80,0.00,1.00,1.00,0.00,0.02,12.17,40.13,54.25,-0.01,-0.66,-0.04,21.00,5670.75,-54.00,1.00
3880.00,2019-05-24 14:13:23.880,0.00,0.00,1705.71,0.81,0.00,1.00,1.00,0.00,0.03,12.19,40.10,54.25,-0.01,-0.69,-0.04,21.00,5511.81,-55.00,1.00
3980.00,2019-05-24 14:13:23.980,0.00,0.00,1730.20,0.81,0.00,1.00,1.00,0.00,0.04,12.25,40.10,54.25,-0.01,-0.66,-0.05,21.00,5452.96,-56.00,1.00
4080.00,2019-05-24 14:13:24.080,0.00,0.00,1734.28,0.82,0.00,1.00,1.00,0.00,0.04,12.23,40.15,54.23,-0.01,-0.69,-0.04,21.00,5443.17,-56.00,1.00
4180.00,2019-05-24 14:13:24.180,0.00,0.00,1744.16,0.80,0.00,1.00,1.00,0.00,0.05,12.25,40.15,54.23,-0.01,-0.65,-0.05,21.00,5419.43,-56.00,1.00
4401.00,2019-05-24 14:13:24.401,1.86,0.12,1739.33,0.80,0.00,1.00,1.00,1.30,0.07,12.24,40.12,54.30,-0.01,-0.68,-0.05,21.00,5431.03,-56.00,1.00
4501.00,2019-05-24 14:13:24.501,1.86,0.12,1748.97,0.82,0.00,1.00,1.00,1.21,0.07,12.25,40.12,54.30,-0.01,-0.66,-0.04,21.00,5407.89,-56.00,1.00
4601.00,2019-05-24 14:13:24.601,0.00,0.12,1756.72,0.80,0.00,1.00,1.00,1.06,0.08,12.27,40.12,54.30,-0.01,-0.69,-0.04,21.00,5408.09,-56.00,1.00
4701.00,2019-05-24 14:13:24.701,0.00,0.12,1756.29,0.80,0.00,1.00,1.00,1.00,0.09,12.25,40.12,54.30,-0.01,-0.66,-0.04,21.00,5407.92,-56.00,1.00
4801.00,2019-05-24 14:13:24.801,0.00,0.12,1748.94,0.82,0.00,1.00,1.00,0.94,0.09,12.27,40.12,54.30,-0.01,-0.67,-0.04,21.00,5407.95,-56.00,1.00
4901.00,2019-05-24 14:13:24.901,1.25,0.23,1732.95,0.82,0.00,1.00,1.00,1.70,0.10,12.27,40.12,54.30,-0.01,-0.66,-0.05,21.00,5446.36,-56.00,1.00
5001.00,2019-05-24 14:13:25.001,1.25,0.23,1745.56,0.82,0.00,1.00,1.00,1.62,0.11,12.26,40.08,54.30,-0.01,-0.68,-0.04,21.00,5416.08,-56.00,1.00
5101.00,2019-05-24 14:13:25.101,1.72,0.35,1757.57,0.80,0.00,1.00,1.00,2.23,0.12,12.19,40.08,54.30,-0.01,-0.68,-0.04,21.00,5408.43,-56.00,1.00
5201.00,2019-05-24 14:13:25.201,1.72,0.35,1746.17,0.82,0.00,1.00,1.00,2.13,0.12,12.25,40.13,54.26,-0.01,-0.65,-0.03,21.00,5414.61,-56.00,1.00
5301.00,2019-05-24 14:13:25.301,2.06,0.47,1736.36,0.82,0.00,1.00,1.00,2.63,0.13,12.28,40.13,54.26,-0.01,-0.69,-0.04,21.00,5438.16,-56.00,1.00
5401.00,2019-05-24 14:13:25.401,2.06,0.47,1748.43,0.81,0.00,1.00,1.00,2.53,0.14,12.27,40.13,54.26,-0.01,-0.65,-0.04,21.00,5409.17,-56.00,1.00
5526.00,2019-05-24 14:13:25.526,2.33,0.59,1748.63,0.81,0.00,1.00,1.00,2.95,0.15,12.27,40.19,54.21,-0.01,-0.66,-0.04,21.00,5408.68,-56.00,1.00
5626.00,2019-05-24 14:13:25.626,2.56,0.70,1736.66,0.80,0.00,1.00,1.00,3.42,0.15,12.29,40.19,54.21,-0.01,-0.68,-0.04,21.00,5437.44,-56.00,1.00
5726.00,2019-05-24 14:13:25.726,2.78,0.82,1739.99,0.80,0.00,1.00,1.00,3.75,0.16,12.26,40.19,54.21,-0.01,-0.65,-0.04,21.00,5429.45,-56.00,1.00
5826.00,2019-05-24 14:13:25.826,2.78,0.82,1741.63,0.82,0.00,1.00,1.00,3.63,0.17,12.27,40.12,54.21,-0.01,-0.67,-0.03,21.00,5425.51,-56.00,1.00
5926.00,2019-05-24 14:13:25.926,2.99,0.94,1741.98,0.82,0.00,1.00,1.00,3.92,0.18,12.26,40.12,54.21,-0.01,-0.66,-0.04,21.00,5424.66,-56.00,1.00
