 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us),Ignition angle
0,0,0,0.25,0,1,1.24,0,0,12.23,61.91,44.02,137.81,0,-0.2,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.24,61.93,44.04,137.46,0,-0.2,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.2,61.92,44.15,137.09,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.19,61.8,44.12,136.76,0,-0.2,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.2,61.84,44.14,136.35,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.2,61.72,44.08,136.03,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.22,61.73,44.2,135.62,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.2,61.64,44.09,135.23,0,-0.23,16,10,0
0,0,0,0.26,0,1,1.24,0,0,12.19,61.62,44.14,135.03,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.18,61.6,44.17,134.62,0,-0.2,16,10,0
0,0,0,0.26,0,1,1.24,0,0,12.23,61.53,44.09,134.19,0,-0.24,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.2,61.44,44.09,133.84,0,-0.21,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.19,61.41,44.13,133.55,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.2,61.38,44.05,133.14,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.2,61.34,44.03,132.89,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.19,61.21,44,132.46,0,-0.2,16,10,0
0,0,0,0.25,0,1,1.24,0,0,12.18,61.09,43.98,132.01,0,-0.2,16,10,0
0,0,0,0.27,0,1,1.24,0,0,12.21,61.09,44,131.64,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.22,61.02,43.96,131.44,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.17,60.99,44.01,131,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.2,61,44,130.63,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,60.95,44.02,130.4,0,-0.22,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.17,60.93,44.01,130.08,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,60.81,44,129.69,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.21,60.79,44,129.46,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.2,60.74,44.01,129.23,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.22,60.64,43.93,128.84,0,-0.24,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.18,60.58,43.98,128.56,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.22,60.55,43.96,128.3,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,60.55,44.01,127.95,0,-0.23,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.18,60.37,43.91,127.45,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,60.34,43.91,127.16,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.2,60.34,43.84,126.77,0,-0.23,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,60.23,43.82,126.38,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.18,60.14,43.8,125.99,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,60.04,43.64,125.55,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.2,60.05,43.8,125.3,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.17,59.91,43.65,124.54,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,59.88,43.8,124.27,0,-0.23,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.2,59.8,43.8,123.91,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.21,59.71,43.73,123.56,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.21,59.72,43.71,123.31,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.22,59.62,43.76,122.88,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.19,59.56,43.76,122.49,0,-0.21,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.18,59.51,43.76,122.12,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.18,59.44,43.73,121.73,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.21,59.37,43.68,121.32,0,-0.2,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.18,59.35,43.66,120.91,0,-0.22,16,10,0
0,0,0,1.47,0,1,1.24,0,0,12.18,59.23,43.78,120.54,0,-0.2,16,10,0
