OnTime (ms),Time (UTC),Speed (km/h),Distance (m),RPM,Lambda,Starter,Gear,Fuel correction,Fuel consumption (km/l),Fuel consumed (g),Battery voltage (V),Oil temperature (C),Water temperature (C),Exhaust temperature (C),Brake front (bar),Brake rear (bar),State,Injection duration (us),Injection angle,burning
1089.00,1970-01-01 00:00:01.089,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.68,30.50,30.87,-0.01,5.51,4.97,17.00,10.00,0.00,0.00
2182.00,1970-01-01 00:00:02.182,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.67,30.59,30.88,-0.01,5.51,4.98,17.00,10.00,0.00,0.00
3278.00,1970-01-01 00:00:03.278,0.00,0.00,0.00,0.86,0.00,1.00,1.00,0.00,0.00,12.59,30.63,30.91,-0.01,5.47,4.97,17.00,10.00,0.00,0.00
4371.00,1970-01-01 00:00:04.371,0.00,0.00,0.00,0.85,0.00,1.00,1.00,0.00,0.00,12.58,30.70,30.95,-0.01,5.56,4.97,17.00,10.00,0.00,0.00
5458.00,1970-01-01 00:00:05.458,0.00,0.00,0.00,0.80,0.00,1.00,1.00,0.00,0.00,12.58,30.71,30.90,-0.01,5.47,4.96,17.00,10.00,0.00,0.00
6551.00,1970-01-01 00:00:06.551,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.56,30.68,31.02,-0.01,5.52,4.96,17.00,10.00,0.00,0.00
7644.00,1970-01-01 00:00:07.644,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.55,30.68,30.95,-0.01,5.51,4.96,17.00,10.00,0.00,0.00
8644.00,1970-01-01 00:00:08.644,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.53,30.69,30.98,-0.01,5.55,4.96,17.00,10.00,0.00,0.00
9644.00,1970-01-01 00:00:09.644,0.00,0.00,0.00,0.84,0.00,1.00,1.00,0.00,0.00,12.50,30.77,31.02,-0.01,5.54,4.96,17.00,10.00,0.00,0.00
10644.00,1970-01-01 00:00:10.644,0.00,0.00,0.00,0.83,0.00,0.00,1.00,0.00,0.00,12.50,30.80,30.99,-0.01,5.53,4.96,1.00,10.00,0.00,0.00
11644.00,1970-01-01 00:00:11.644,0.00,0.00,0.00,0.83,0.00,0.00,1.00,0.00,0.00,12.50,30.80,30.95,-0.01,5.53,4.96,1.00,10.00,0.00,0.00
12351.00,1970-01-01 00:00:12.351,0.00,0.00,0.00,0.83,0.00,0.00,1.00,0.00,0.00,12.48,30.82,30.99,-0.01,5.53,4.96,5.00,10.00,0.00,1.00
12451.00,1970-01-01 00:00:12.451,0.00,0.00,0.00,0.82,1.00,0.00,1.00,0.00,0.00,10.51,30.82,30.99,-0.01,5.39,4.95,7.00,10.00,0.00,1.00
