 Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Ignition angle
0,0,0,1.47,0,1,1,0,0,12.26,43.3,41.52,40.37,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.35,41.51,40.38,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,43.21,41.46,40.41,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,43.27,41.48,40.3,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.24,41.53,40.25,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.27,41.5,40.27,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,43.37,41.5,40.25,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.25,43.24,41.58,40.23,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.32,41.5,40.23,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,43.2,41.44,40.12,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.22,41.46,40.17,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,43.15,41.47,40.23,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,43.13,41.51,40.2,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,43.21,41.47,40.17,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,43.14,41.44,40.13,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.12,41.38,40.12,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.14,41.51,40.12,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,43.07,41.43,40.09,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.25,43.09,41.41,40.05,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,43.05,41.45,39.97,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,43.06,41.45,40.01,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.25,43.12,41.46,40.07,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.23,43.06,41.36,39.96,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,43.06,41.39,39.96,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.05,41.32,39.96,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.98,41.39,39.95,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.01,41.37,39.91,0,-0.22,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.98,41.41,39.94,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,43.05,41.34,39.88,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.98,41.48,39.94,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.25,43,41.3,39.88,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,43.01,41.36,39.9,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.98,41.34,39.82,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.26,42.94,41.34,39.84,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.28,42.91,41.37,39.73,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.87,41.34,39.73,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.91,41.3,39.76,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.24,42.88,41.31,39.7,0,-0.2,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.95,41.46,39.76,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.27,42.86,41.34,39.75,0,-0.19,16,10,0
0,0,0,1.47,0,1,1,0,0,12.25,42.88,41.3,39.6,0,-0.19,16,10,0
