OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
1112,1970-01-01 00:00:01.112,-0,0.06,0,0.37,0,1,1,999,0,13.01,40.76,40.95,39.51,0,-0.16,17,10,0
2112,1970-01-01 00:00:02.112,-0,0.06,0,0.39,0,1,1,999,0,13.04,40.8,40.84,39.6,0,-0.17,17,10,0
3112,1970-01-01 00:00:03.112,0,0.06,0,0.39,0,1,1,999,0,13.04,40.84,40.95,39.58,0,-0.22,17,10,0
4112,1970-01-01 00:00:04.112,-0,0.12,0,0.39,0,1,1,999,0,13.02,40.83,41.03,39.58,0,-0.16,17,10,0
5112,1970-01-01 00:00:05.112,0,0.12,0,0.37,0,1,1,999,0,13.04,40.84,41.03,39.62,0,-0.16,17,10,0
6112,1970-01-01 00:00:06.112,0,0.12,0,0.39,0,1,1,999,0,13.04,40.93,40.98,39.58,0,-0.16,17,10,0
7112,1970-01-01 00:00:07.112,-0,0.18,0,0.37,0,1,1,999,0,13.02,40.85,40.93,39.55,0,-0.16,17,10,0
8112,1970-01-01 00:00:08.112,-0,0.18,0,0.39,0,1,1,999,0,13.02,40.88,40.96,39.55,0,-0.16,17,10,0
9112,1970-01-01 00:00:09.112,0,0.18,0,0.39,0,1,1,999,0,13.03,40.87,41,39.64,0,-0.16,16,10,0
10112,1970-01-01 00:00:10.112,-0,0.23,0,0.39,0,1,1,999,0,12.99,40.94,40.93,39.58,0,-0.2,16,10,0
11112,1970-01-01 00:00:11.112,-0,0.23,0,0.39,0,1,1,999,0,13.02,40.83,40.95,39.51,0,-0.2,16,10,0
12223,1970-01-01 00:00:12.223,0,0.23,0,0.39,0,1,1,999,0,13.01,40.83,40.87,39.55,0,-0.2,16,10,0
13223,1970-01-01 00:00:13.223,0.65,0.29,0,0.39,0,1,1,999,0,13,40.85,40.77,39.46,0,-0.16,16,10,0
14223,1970-01-01 00:00:14.223,0,0.29,0,0.39,0,1,1,999,0,13,40.77,40.88,39.55,0,-0.22,16,10,0
15223,1970-01-01 00:00:15.223,0,0.35,0,0.39,0,1,1,999,0,12.98,40.84,40.8,39.53,0,-0.16,16,10,0
16223,1970-01-01 00:00:16.223,0.88,0.41,0,0.38,0,1,1,999,0,13,40.85,40.76,39.53,0,-0.17,16,10,0
17223,1970-01-01 00:00:17.223,0.98,0.47,0,0.39,0,1,1,999,0,13.03,40.82,40.85,39.58,0,-0.23,16,10,0
18223,1970-01-01 00:00:18.223,0.74,0.53,0,0.39,0,1,1,999,0,13.02,40.85,40.84,39.62,0,-0.17,16,10,0
19223,1970-01-01 00:00:19.223,-0,0.53,0,0.38,0,1,1,999,0,13.02,40.83,40.83,39.53,0,-0.17,16,10,0
20223,1970-01-01 00:00:20.223,-0,0.53,0,0.37,0,1,1,999,0,12.99,40.77,40.83,39.45,0,-0.16,16,10,0
21223,1970-01-01 00:00:21.223,0,0.53,0,0.38,0,1,1,999,0,13.02,40.77,40.88,39.5,0,-0.16,16,10,0
22240,1970-01-01 00:00:22.240,0,0.53,0,0.37,0,1,1,999,0,13.02,40.8,40.83,39.5,0,-0.16,16,10,0
23352,1970-01-01 00:00:23.352,0,0.59,0,0.39,0,1,1,999,0,13.02,40.8,40.84,39.48,0,-0.16,16,10,0
24463,1970-01-01 00:00:24.463,-0,0.59,0,0.39,0,1,1,999,0,13.01,40.75,40.8,39.48,0,-0.18,16,10,0
25581,1970-01-01 00:00:25.581,0,0.59,0,0.39,0,1,1,999,0,12.99,40.78,40.8,39.42,0,-0.17,16,10,0
26693,1970-01-01 00:00:26.693,0,0.64,0,0.39,0,1,1,999,0,12.98,40.65,40.71,39.5,0,-0.16,16,10,0
27805,1970-01-01 00:00:27.805,0,0.7,0,0.39,0,1,1,999,0,12.99,40.71,40.78,39.38,0,-0.16,16,10,0
28917,1970-01-01 00:00:28.917,-0,0.7,0,0.39,0,1,1,999,0,13,40.73,40.82,39.42,0,-0.2,16,10,0
30029,1970-01-01 00:00:30.029,0,0.7,0,0.37,0,1,1,999,0,13,40.84,40.87,39.44,0,-0.16,16,10,0
