OnTime_ms_,Time_UTC_,Speed_km_h_,Distance_m_,RPM,Lambda,Starter,Gear,FuelCorrection,FuelConsumption_km_l_,FuelConsumed_g_,BatteryVoltage_V_,OilTemperature_C_,WaterTemperature_C_,ExhaustTemperature_C_,BrakeFront_bar_,BrakeRear_bar_,State,InjectionDuration_us_,InjectionAngle
1000,1970-01-01 00:00:01.000,0,0,0,0.38,0,1,1.22,0,0,13.27,36.12,35.62,33.87,0,-0.14,17,10,0
2000,1970-01-01 00:00:02.000,0,0,0,0.38,0,1,1.22,0,0,13.22,36.16,35.73,33.96,0,-0.17,17,10,0
3000,1970-01-01 00:00:03.000,0,0,0,0.39,0,1,1.22,0,0,13.24,36.23,35.71,33.98,0,-0.14,17,10,0
4000,1970-01-01 00:00:04.000,0,0,0,0.39,0,1,1.22,0,0,13.26,36.27,35.73,34.02,0,-0.14,17,10,0
5000,1970-01-01 00:00:05.000,0,0,0,0.37,0,1,1.22,0,0,13.23,36.23,35.73,34.05,0,-0.14,17,10,0
6000,1970-01-01 00:00:06.000,0,0,0,0.39,0,1,1.22,0,0,13.25,36.23,35.82,34.04,0,-0.14,17,10,0
7000,1970-01-01 00:00:07.000,0,0,0,0.39,0,1,1.22,0,0,13.25,36.23,35.76,33.98,0,-0.14,17,10,0
8000,1970-01-01 00:00:08.000,0,0,0,0.39,0,1,1.22,0,0,13.21,36.32,35.77,34.07,0,-0.14,17,10,0
9000,1970-01-01 00:00:09.000,0,0,0,0.39,0,1,1.22,0,0,13.23,36.36,35.77,34,0,-0.14,17,10,0
10000,1970-01-01 00:00:10.000,0,0,0,0.39,0,1,1.22,0,0,13.24,36.3,35.77,34.02,0,-0.14,17,10,0
11000,2018-07-06 17:34:03.000,0,0,0,0.39,0,1,1.22,0,0,13.24,36.28,35.77,34.09,0,-0.14,17,10,0
12000,2018-07-06 17:34:04.000,0,0,0,0.38,0,1,1.22,0,0,13.24,36.3,35.75,34.07,0,-0.14,17,10,0
13034,2018-07-06 17:34:05.034,0,0,0,0.39,0,1,1.22,0,0,13.2,36.28,35.8,34.06,0,-0.14,17,10,0
14124,2018-07-06 17:34:06.124,0,0,0,0.39,0,1,1.22,0,0,13.23,36.27,35.76,34.09,0,-0.14,17,10,0
15214,2018-07-06 17:34:07.214,0,0,0,0.39,0,1,1.22,0,0,13.21,36.3,35.87,34.04,0,-0.14,17,10,0
16298,2018-07-06 17:34:08.298,0,0,0,0.39,0,1,1.22,0,0,13.23,36.3,35.83,34.06,0,-0.14,17,10,0
17410,2018-07-06 17:34:09.410,-0,0.06,0,0.39,0,1,1.22,999,0,13.22,36.36,35.8,34.05,0,-0.16,17,10,0
18410,2018-07-06 17:34:10.410,-0,0.06,0,0.37,0,1,1.22,999,0,13.2,36.34,35.76,34.02,0,-0.15,17,10,0
19410,2018-07-06 17:34:11.410,0.64,0.12,0,0.38,0,1,1.22,999,0,13.21,36.37,35.84,33.98,0,-0.14,17,10,0
20410,2018-07-06 17:34:12.410,-0,0.12,0,0.38,0,1,1.22,999,0,13.21,36.41,35.83,34.02,0,-0.14,17,10,0
21410,2018-07-06 17:34:13.410,-0,0.12,0,0.39,0,1,1.22,999,0,13.22,36.38,35.8,34.05,0,-0.14,17,10,0
22410,2018-07-06 17:34:14.410,0,0.12,0,0.39,0,1,1.22,999,0,13.18,36.34,35.87,34.06,0,-0.16,17,10,0
23410,2018-07-06 17:34:15.410,0,0.12,0,0.39,0,1,1.22,999,0,13.19,36.32,35.8,34.05,0,-0.14,17,10,0
24410,2018-07-06 17:34:16.410,-0,0.12,0,0.39,0,1,1.22,999,0,13.2,36.41,35.89,34.05,0,-0.14,17,10,0
25410,2018-07-06 17:34:17.410,-0,0.12,0,0.39,0,1,1.22,999,0,13.17,36.3,35.89,33.95,0,-0.16,17,10,0
26410,2018-07-06 17:34:18.410,0,0.12,0,0.38,0,1,1.22,999,0,13.2,36.32,35.84,34.12,0,-0.14,17,10,0
27410,2018-07-06 17:34:19.410,0,0.12,0,0.38,0,1,1.22,999,0,13.18,36.39,35.8,34.02,0,-0.14,17,10,0
28495,2018-07-06 17:34:20.495,0,0.12,0,0.39,0,1,1.22,999,0,13.2,36.37,35.84,34.02,0,-0.14,17,10,0
29601,2018-07-06 17:34:21.601,2.44,0.29,0,0.39,0,1,1.22,999,0,13.19,36.36,35.83,34.09,0,-0.14,17,10,0
30601,2018-07-06 17:34:22.601,-0,0.29,0,0.38,0,1,1.22,999,0,13.2,36.36,35.86,34.06,0,-0.14,17,10,0
31601,2018-07-06 17:34:23.601,-0,0.35,0,0.39,0,1,1.22,999,0,13.19,36.25,35.89,34.02,0,-0.18,17,10,0
32601,2018-07-06 17:34:24.601,-0,0.35,0,0.39,0,1,1.22,999,0,13.2,36.31,35.82,34.06,0,-0.14,17,10,0
33601,2018-07-06 17:34:25.601,0,0.35,0,0.39,0,1,1.22,999,0,13.17,36.32,35.86,34.02,0,-0.15,17,10,0
34601,2018-07-06 17:34:26.601,0,0.35,0,0.37,0,1,1.22,999,0,13.18,36.3,35.83,34.06,0,-0.15,17,10,0
35601,2018-07-06 17:34:27.601,-0,0.35,0,0.39,0,1,1.22,999,0,13.19,36.38,35.89,34.09,0,-0.14,17,10,0
36601,2018-07-06 17:34:28.601,0.98,0.41,0,0.38,0,1,1.22,999,0,13.19,36.28,35.87,34.05,0,-0.15,17,10,0
37601,2018-07-06 17:34:29.601,-0,0.41,0,0.39,0,1,1.22,999,0,13.18,36.36,35.84,34.12,0,-0.18,17,10,0
38601,2018-07-06 17:34:30.601,-0,0.47,0,0.38,0,1,1.22,999,0,13.18,36.32,35.88,34.02,0,-0.14,17,10,0
39604,2018-07-06 17:34:31.604,-0,0.53,0,0.38,0,1,1.22,999,0,13.19,36.38,35.76,34.09,0,-0.15,17,10,0
40713,2018-07-06 17:34:32.713,0.65,0.64,0,0.39,0,1,1.22,999,0,13.19,36.3,35.8,34.02,0,-0.14,17,10,0
41825,2018-07-06 17:34:33.825,-0,0.64,0,0.39,0,1,1.22,999,0,13.17,36.27,35.77,34.11,0,-0.15,17,10,0
42937,2018-07-06 17:34:34.937,0.57,0.7,0,0.39,0,1,1.22,999,0,13.17,36.31,35.91,34.04,0,-0.15,17,10,0
44049,2018-07-06 17:34:36.049,-0,0.7,0,0.39,0,1,1.22,999,0,13.15,36.34,35.88,34.05,0,-0.14,17,10,0
45164,2018-07-06 17:34:37.164,0,0.7,0,0.39,0,1,1.22,999,0,13.18,36.32,35.88,34.04,0,-0.16,17,10,0
46273,2018-07-06 17:34:38.273,-0,0.7,0,0.39,0,1,1.22,999,0,13.19,36.37,35.86,34.02,0,-0.14,17,10,0
47273,2018-07-06 17:34:39.273,-0,0.76,0,0.39,0,1,1.22,999,0,13.18,36.27,35.94,34.06,0,-0.14,17,10,0
48273,2018-07-06 17:34:40.273,0.7,0.82,0,0.38,0,1,1.22,999,0,13.18,36.31,35.8,34.02,0,-0.15,17,10,0
49273,2018-07-06 17:34:41.273,-0,0.82,0,0.39,0,1,1.22,999,0,13.17,36.27,35.91,33.98,0,-0.15,17,10,0
50273,2018-07-06 17:34:42.273,-0,0.82,0,0.39,0,1,1.22,999,0,13.18,36.3,35.88,34.02,0,-0.14,17,10,0
51273,2018-07-06 17:34:43.273,0,0.82,0,0.39,0,1,1.22,999,0,13.18,36.23,35.82,34.02,0,-0.15,17,10,0
52273,2018-07-06 17:34:44.273,0,0.82,0,0.37,0,1,1.22,999,0,13.16,36.34,35.84,34.05,0,-0.14,17,10,0
53273,2018-07-06 17:34:45.273,0,0.88,0,0.39,0,1,1.22,999,0,13.16,36.37,35.88,34.07,0,-0.14,17,10,0
54273,2018-07-06 17:34:46.273,0,0.88,0,0.39,0,1,1.22,999,0,13.17,36.34,35.89,33.98,0,-0.18,17,10,0
55273,2018-07-06 17:34:47.273,-0,0.88,0,0.38,0,1,1.22,999,0,13.17,36.32,35.88,34.02,0,-0.14,17,10,0
56273,2018-07-06 17:34:48.273,-0,0.88,0,0.38,0,1,1.22,999,0,13.18,36.34,35.93,33.98,0,-0.14,17,10,0
57375,2018-07-06 17:34:49.375,0,0.88,0,0.39,0,1,1.22,999,0,13.18,36.36,35.8,33.98,0,-0.14,17,10,0
58375,2018-07-06 17:34:50.375,0,0.88,0,0.39,0,1,1.22,999,0,13.17,36.23,35.8,33.96,0,-0.15,17,10,0
59375,2018-07-06 17:34:51.375,0,0.88,0,0.39,0,1,1.22,999,0,13.17,36.3,35.91,34.04,0,-0.14,17,10,0
60375,2018-07-06 17:34:52.375,0,0.88,0,0.39,0,1,1.22,999,0,13.18,36.3,35.91,34.05,0,-0.14,17,10,0
61375,2018-07-06 17:34:53.375,0,0.88,0,0.39,0,1,1.22,999,0,13.17,36.21,35.88,34.06,0,-0.16,17,10,0
62375,2018-07-06 17:34:54.375,0,0.88,0,0.39,0,1,1.22,999,0,13.18,36.3,35.94,34.09,0,-0.14,17,10,0
63375,2018-07-06 17:34:55.375,0,0.94,0,0.39,0,1,1.22,999,0,13.16,36.31,35.91,34.05,0,-0.18,17,10,0
64375,2018-07-06 17:34:56.375,0,0.94,0,0.38,0,1,1.22,999,0,13.17,36.2,35.84,34.02,0,-0.15,17,10,0
65375,2018-07-06 17:34:57.375,-0,0.94,0,0.38,0,1,1.22,999,0,13.17,36.26,35.84,34.02,0,-0.15,17,10,0
66375,2018-07-06 17:34:58.375,-0,0.94,0,0.38,0,1,1.22,999,0,13.16,36.27,35.87,34.06,0,-0.14,17,10,0
67375,2018-07-06 17:34:59.375,0,0.94,0,0.38,0,1,1.22,999,0,13.14,36.28,35.83,34.16,0,-0.14,17,10,0
68454,2018-07-06 17:35:00.454,-0,0.99,0,0.39,0,1,1.22,999,0,13.14,36.31,35.89,34,0,-0.14,17,10,0
69454,2018-07-06 17:35:01.454,-0,1.05,0,0.39,0,1,1.22,999,0,13.17,36.26,35.84,34,0,-0.14,17,10,0
70454,2018-07-06 17:35:02.454,-0,1.05,0,0.39,0,1,1.22,999,0,13.17,36.3,35.87,34.09,0,-0.15,17,10,0
71454,2018-07-06 17:35:03.454,0.93,1.17,0,0.39,0,1,1.22,999,0,13.15,36.36,35.82,33.98,0,-0.16,17,10,0
72454,2018-07-06 17:35:04.454,0.54,1.29,0,0.37,0,1,1.22,999,0,13.16,36.27,35.75,34.02,0,-0.14,17,10,0
73454,2018-07-06 17:35:05.454,-0,1.29,0,0.39,0,1,1.22,999,0,13.17,36.3,35.89,34.04,0,-0.14,17,10,0
74454,2018-07-06 17:35:06.454,-0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.34,35.84,33.98,0,-0.15,17,10,0
75454,2018-07-06 17:35:07.454,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.25,35.82,34.04,0,-0.14,17,10,0
76454,2018-07-06 17:35:08.454,0,1.29,0,0.39,0,1,1.22,999,0,13.15,36.23,35.82,34.06,0,-0.17,17,10,0
77454,2018-07-06 17:35:09.454,-0,1.29,0,0.38,0,1,1.22,999,0,13.16,36.3,35.8,34.05,0,-0.14,17,10,0
78454,2018-07-06 17:35:10.454,0,1.29,0,0.38,0,1,1.22,999,0,13.16,36.26,35.84,34.12,0,-0.14,17,10,0
79545,2018-07-06 17:35:11.545,0,1.29,0,0.39,0,1,1.22,999,0,13.13,36.23,35.86,34.09,0,-0.14,17,10,0
80545,2018-07-06 17:35:12.545,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.34,35.96,34.09,0,-0.15,17,10,0
81545,2018-07-06 17:35:13.545,0,1.29,0,0.39,0,1,1.22,999,0,13.15,36.28,35.87,34.09,0,-0.14,17,10,0
82545,2018-07-06 17:35:14.545,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.26,35.83,34.09,0,-0.16,17,10,0
83545,2018-07-06 17:35:15.545,0,1.29,0,0.39,0,1,1.22,999,0,13.15,36.34,35.84,34.09,0,-0.15,17,10,0
84545,2018-07-06 17:35:16.545,0,1.29,0,0.39,0,1,1.22,999,0,13.17,36.21,35.82,34.09,0,-0.14,17,10,0
85545,2018-07-06 17:35:17.545,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.28,35.91,34.06,0,-0.15,17,10,0
86545,2018-07-06 17:35:18.545,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.23,35.86,34.12,0,-0.14,17,10,0
87545,2018-07-06 17:35:19.545,0,1.29,0,0.38,0,1,1.22,999,0,13.13,36.21,35.87,34.13,0,-0.14,17,10,0
88545,2018-07-06 17:35:20.545,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.34,35.91,34.06,0,-0.15,17,10,0
89545,2018-07-06 17:35:21.545,0,1.29,0,0.38,0,1,1.22,999,0,13.15,36.3,35.91,34.04,0,-0.14,17,10,0
90545,2018-07-06 17:35:22.545,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.23,35.82,34.07,0,-0.15,17,10,0
91645,2018-07-06 17:35:23.645,0,1.29,0,0.39,0,1,1.22,999,0,13.15,36.27,35.91,34.07,0,-0.16,17,10,0
92645,2018-07-06 17:35:24.645,0,1.29,0,0.38,0,1,1.22,999,0,13.12,36.28,35.89,34.07,0,-0.14,17,10,0
93645,2018-07-06 17:35:25.645,0,1.29,0,0.38,0,1,1.22,999,0,13.12,36.26,35.96,34.12,0,-0.14,17,10,0
94645,2018-07-06 17:35:26.645,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.32,35.91,34.09,0,-0.15,17,10,0
95645,2018-07-06 17:35:27.645,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.27,35.93,34.07,0,-0.14,17,10,0
96645,2018-07-06 17:35:28.645,0,1.29,0,0.39,0,1,1.22,999,0,13.12,36.25,35.84,34.11,0,-0.16,17,10,0
97645,2018-07-06 17:35:29.645,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.34,35.91,34.06,0,-0.14,17,10,0
98645,2018-07-06 17:35:30.645,0,1.29,0,0.39,0,1,1.22,999,0,13.12,36.31,35.94,34.2,0,-0.14,17,10,0
99645,2018-07-06 17:35:31.645,0,1.29,0,0.39,0,1,1.22,999,0,13.15,36.25,35.88,34.04,0,-0.16,17,10,0
100645,2018-07-06 17:35:32.645,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.28,35.86,34.09,0,-0.15,17,10,0
101645,2018-07-06 17:35:33.645,0,1.29,0,0.38,0,1,1.22,999,0,13.12,36.28,35.93,34.04,0,-0.14,17,10,0
102650,2018-07-06 17:35:34.650,0,1.29,0,0.39,0,1,1.22,999,0,13.12,36.26,35.88,34.07,0,-0.15,17,10,0
103650,2018-07-06 17:35:35.650,0,1.29,0,0.39,0,1,1.22,999,0,13.16,36.21,35.88,34.18,0,-0.15,17,10,0
104650,2018-07-06 17:35:36.650,0,1.29,0,0.39,0,1,1.22,999,0,13.15,36.25,35.91,34.06,0,-0.15,17,10,0
105650,2018-07-06 17:35:37.650,-0,1.35,0,0.39,0,1,1.22,999,0,13.12,36.16,35.93,34.13,0,-0.14,17,10,0
106650,2018-07-06 17:35:38.650,-0,1.35,0,0.39,0,1,1.22,999,0,13.12,36.31,35.84,33.98,0,-0.14,17,10,0
107650,2018-07-06 17:35:39.650,0,1.35,0,0.39,0,1,1.22,999,0,13.16,36.23,35.87,33.98,0,-0.14,17,10,0
108650,2018-07-06 17:35:40.650,0,1.35,0,0.39,0,1,1.22,999,0,13.12,36.26,35.89,33.98,0,-0.17,17,10,0
109650,2018-07-06 17:35:41.650,0,1.35,0,0.37,0,1,1.22,999,0,13.12,36.38,35.88,34.05,0,-0.15,17,10,0
110650,2018-07-06 17:35:42.650,-0,1.35,0,0.38,0,1,1.22,999,0,13.13,36.34,35.93,34.09,0,-0.15,17,10,0
111650,2018-07-06 17:35:43.650,0,1.35,0,0.37,0,1,1.22,999,0,13.15,36.3,35.89,34.12,0,-0.15,17,10,0
112650,2018-07-06 17:35:44.650,0,1.35,0,0.38,0,1,1.22,999,0,13.12,36.3,35.93,34.02,0,-0.14,17,10,0
113708,2018-07-06 17:35:45.708,0,1.35,0,0.39,0,1,1.22,999,0,13.15,36.28,35.91,34.06,0,-0.14,17,10,0
114808,2018-07-06 17:35:46.808,0,1.35,0,0.37,0,1,1.22,999,0,13.12,36.26,35.91,34.06,0,-0.14,17,10,0
115808,2018-07-06 17:35:47.808,0,1.35,0,0.39,0,1,1.22,999,0,13.15,36.32,35.91,34.09,0,-0.14,17,10,0
116808,2018-07-06 17:35:48.808,0.61,1.4,0,0.39,0,1,1.22,999,0,13.14,36.23,35.93,34.09,0,-0.18,17,10,0
117808,2018-07-06 17:35:49.808,0,1.4,0,0.37,0,1,1.22,999,0,13.14,36.23,35.91,34.16,0,-0.14,17,10,0
118808,2018-07-06 17:35:50.808,-0,1.4,0,0.39,0,1,1.22,999,0,13.15,36.3,35.95,34.09,0,-0.14,17,10,0
119808,2018-07-06 17:35:51.808,-0,1.4,0,0.39,0,1,1.22,999,0,13.15,36.28,35.91,34.06,0,-0.17,17,10,0
120808,2018-07-06 17:35:52.808,0,1.4,0,0.39,0,1,1.22,999,0,13.12,36.23,35.91,34.07,0,-0.16,17,10,0
121808,2018-07-06 17:35:53.808,0,1.4,0,0.38,0,1,1.22,999,0,13.14,36.3,35.94,34.07,0,-0.15,17,10,0
122808,2018-07-06 17:35:54.808,-0,1.4,0,0.39,0,1,1.22,999,0,13.14,36.27,35.98,34.16,0,-0.15,17,10,0
123808,2018-07-06 17:35:55.808,0,1.4,0,0.39,0,1,1.22,999,0,13.15,36.25,35.88,34.06,0,-0.16,17,10,0
124808,2018-07-06 17:35:56.808,0,1.4,0,0.38,0,1,1.22,999,0,13.13,36.21,35.91,34.06,0,-0.18,17,10,0
125883,2018-07-06 17:35:57.883,0,1.4,0,0.39,0,1,1.22,999,0,13.12,36.26,35.93,34.12,0,-0.14,17,10,0
126983,2018-07-06 17:35:58.983,0,1.4,0,0.39,0,1,1.22,999,0,13.13,36.28,35.93,34.04,0,-0.17,17,10,0
128095,2018-07-06 17:36:00.095,0,1.46,0,0.37,0,1,1.22,999,0,13.15,36.34,35.91,34.16,0,-0.14,17,10,0
129207,2018-07-06 17:36:01.207,-0,1.46,0,0.39,0,1,1.22,999,0,13.15,36.26,35.94,34.02,0,-0.14,17,10,0
130319,2018-07-06 17:36:02.319,-0,1.46,0,0.39,0,1,1.22,999,0,13.13,36.28,35.91,34.12,0,-0.15,17,10,0
131428,2018-07-06 17:36:03.428,0,1.46,0,0.39,0,1,1.22,999,0,13.15,36.28,35.98,34.05,0,-0.17,17,10,0
132428,2018-07-06 17:36:04.428,-0,1.46,0,0.37,0,1,1.22,999,0,13.14,36.31,35.95,34.09,0,-0.15,17,10,0
133428,2018-07-06 17:36:05.428,-0,1.46,0,0.39,0,1,1.22,999,0,13.15,36.26,35.91,34.11,0,-0.15,17,10,0
134428,2018-07-06 17:36:06.428,0,1.46,0,0.39,0,1,1.22,999,0,13.15,36.28,35.93,34.09,0,-0.16,17,10,0
135428,2018-07-06 17:36:07.428,0,1.46,0,0.39,0,1,1.22,999,0,13.12,36.3,35.91,34.11,0,-0.14,17,10,0
136428,2018-07-06 17:36:08.428,0,1.46,0,0.39,0,1,1.22,999,0,13.15,36.32,35.89,34.04,0,-0.14,17,10,0
